"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Cactaceae","Tacinga","werneri","(Eggli) N.P.Taylor & Stuppy","CACTACEAE Tacinga werneri (Eggli) N.P.Taylor & Stuppy","HURB000038652",,"HURB","Zappi, D.C.","6292","Native","2024","Zappi, D.C.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/38/65/2/hurb000038652.jpg","Jequitinhonha","Vista Alegre, São Pedro do Jequitinhonha, estrada para a REBIO Mata Escura."
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Passifloraceae","Passiflora","trintae","Sacco","PASSIFLORACEAE Passiflora trintae Sacco","HUEFS00227306",,"HUEFS","Almeida, R.F.","712","Native","2014","Nunes, T.S.","2021","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/22/73/6/huefs00227306.dzi","Jequitinhonha","REBIO Mata Escura"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Malpighiaceae","Heteropterys","byrsonimifolia","A.Juss.","MALPIGHIACEAE Heteropterys byrsonimifolia A.Juss.","HUEFS00227312",,"HUEFS","Almeida, R.F.","718","Native","2014","Almeida, R.F.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/22/73/12/huefs00227312.dzi","Jequitinhonha","REBIO Mata Escura"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Malpighiaceae","Amorimia","rigida","(A.Juss.) W.R.Anderson","MALPIGHIACEAE Amorimia rigida (A.Juss.) W.R.Anderson","HUEFS00227150",,"HUEFS","Almeida, R.F.","558","Native","2013","Almeida, R.F.","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/22/71/50/huefs00227150.dzi","Jequitinhonha","Reserva Biológica Mata Escura, estrada para Fazenda Porto Alegre"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Malpighiaceae","Banisteriopsis","malifolia","(Nees & Mart.) B.Gates","MALPIGHIACEAE Banisteriopsis malifolia (Nees & Mart.) B.Gates","HUEFS00227164",,"HUEFS","Almeida, R.F.","572","Native","2013","Francener, A.","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/22/71/64/huefs00227164.dzi","Jequitinhonha","Reserva Biológica Mata Escura, estrada para Pedra Azul"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Malpighiaceae","Banisteriopsis","membranifolia","(A.Juss.) B.Gates","MALPIGHIACEAE Banisteriopsis membranifolia (A.Juss.) B.Gates","HUEFS00227167",,"HUEFS","Almeida, R.F.","575","Native","2013","Francener, A.","2013","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/22/71/67/huefs00227167.dzi","Jequitinhonha","Reserva Biológica Mata Escura, estrada para Pedra Azul"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Asteraceae","Lessingianthus","dichrous","(Mart. ex Colla) P.L.R. Moraes & Guglielmone","ASTERACEAE Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone","219538","x","BHCB","Ferreira, K.F.","376","Native","2024","Teles, A.M.",,"Ouro","Ouro",,,"Reserva Biológica da Mata Escura, Beira da estrada, próximo à Torre de Observação"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Cactaceae","Facheiroa","phaeacantha","(Gürke) N.P.Taylor","CACTACEAE Facheiroa phaeacantha (Gürke) N.P.Taylor","217902","x","BHCB","Augsten, M.","1213","Native","2024","Zappi, D.C.",,"Ouro","Ouro",,,"Reserva Biológica da Mata Escura, Trilha do Joel. Trilha no interior de mata, margeando um córrego."
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Solanaceae","Solanum","thomasiifolium","Sendtn.","SOLANACEAE Solanum thomasiifolium Sendtn.","59318","x","MBML","Ferreira, K.F.","298","Native","2024","Stehmann, J.R.",,"Ouro","Ouro",,,"Reserva Biológica da Mata Escura, Próximo à antena"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Asteraceae","Vernonanthura","subverticillata","(Sch.Bip. ex Baker) H.Rob.","ASTERACEAE Vernonanthura subverticillata (Sch.Bip. ex Baker) H.Rob.","219542","x","BHCB","Ferreira, K.F.","356","Native","2024","Teles, A.M.","2024","Ouro","Ouro",,,"Reserva Biológica da Mata Escura, Beira da estrada, próximo à Torre de Observação"
"RESERVA BIOLÓGICA MATA ESCURA","Ferns and Lycophytes","Blechnaceae","Blechnum","polypodioides","Raddi","BLECHNACEAE Blechnum polypodioides Raddi","CESJ082669","splink","CESJ","Castro-Vieira, L.","8","Native","2024","Dittrich, V.A.O.","2024","Ouro","Ouro",,"Jequitinhonha","REBIO Mata Escura, Região Sudeste da Reserva"
"RESERVA BIOLÓGICA MATA ESCURA","Angiosperms","Cactaceae","Melocactus","conoideus","Buining & Brederoo","CACTACEAE Melocactus conoideus Buining & Brederoo","BHCB219546","splink","BHCB","Ferreira, K.F.","382","Native","2024","Zappi, D.C.","2024","Ouro","Ouro",,"Jequitinhonha","Reserva Biológica da Mata Escura, Interior da mata, próximo à Torre de Observação"
