"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Solanaceae","Schwenckia","aurantiaca","Paucar & Stehmann","SOLANACEAE Schwenckia aurantiaca Paucar & Stehmann","195126","x","BHCB","Paucar, J.O.A.","204","Native","2019","Stehmann, J.R.","2019","Ouro","Ouro",,,"Reserva Biológica Serra Azul, Estrada para Mocambinho."
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Fabaceae","Pseudalbizzia","polycephala","(Benth.) E.J.M.Koenen & Duno","FABACEAE Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno","34995","x","VIC","Fernandes, J.M.","1199","Native","2010","Fernandes, J.M.","2010","Ouro","Ouro",,,"Reserva Biológica da Serra Azul, Floresta Estacional Decidual."
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Anacardiaceae","Schinopsis","brasiliensis","Engl.","ANACARDIACEAE Schinopsis brasiliensis Engl.","MCMG004992","splink","MCMG","Rosiele, G.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva Biológica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Anacardiaceae","Spondias","tuberosa","Arruda","ANACARDIACEAE Spondias tuberosa Arruda","MCMG003321","splink","MCMG","Rosiele, G.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva Biológica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Apocynaceae","Aspidosperma","subincanum","Mart.","APOCYNACEAE Aspidosperma subincanum Mart.","MCMG002106","splink","MCMG","Rosiele.g",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva biologica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Cactaceae","Xiquexique","gounellei","(F.A.C.Weber ex K.Schum.) Lavor & Calvente","CACTACEAE Xiquexique gounellei (F.A.C.Weber ex K.Schum.) Lavor & Calvente","MCMG003085","splink","MCMG","Rosiele, G.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva Biológica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Fabaceae","Goniorrhachis","marginata","Taub.","FABACEAE Goniorrhachis marginata Taub.","MCMG005015","splink","MCMG","Rodrigues, R.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva biologica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Fabaceae","Leucochloron","limae","Barneby & J.W.Grimes","FABACEAE Leucochloron limae Barneby & J.W.Grimes","MCMG005391","splink","MCMG","Rosiele.g",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Fabaceae","Pityrocarpa","moniliformis","(Benth.) Luckow & R.W.Jobson","FABACEAE Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson","MCMG004883","splink","MCMG","Rosiele., G.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva Biológica de Serra Azul"
"RESERVA BIOLÓGICA SERRA AZUL","Angiosperms","Fabaceae","Plathymenia","reticulata","Benth.","FABACEAE Plathymenia reticulata Benth.","MCMG004882","splink","MCMG","Rosiele., G.",,"Native","2011","Santos, R.M.",,"Prata","Ouro",,,"Reserva Biológica de Serra Azul"
