"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Melastomataceae","Miconia","buddlejoides","Triana","MELASTOMATACEAE Miconia buddlejoides Triana","CESJ068186","splink","CESJ","Campos, V.A.","s.n.","Native","2014","Goldenberg, R.","2024","Ouro","Ouro",,"Lima Duarte","RPPN Fazenda da Serra"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Melastomataceae","Miconia","pepericarpa","DC.","MELASTOMATACEAE Miconia pepericarpa DC.","CESJ068190","splink","CESJ","Campos, V.A.","s.n.","Native","2014","Goldenberg, R.","2024","Ouro","Ouro",,"Lima Duarte","RPPN Fazenda da Serra"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Solanaceae","Solanum","incarceratum","Ruiz & Pav.","SOLANACEAE Solanum incarceratum Ruiz & Pav.","53290","x","CESJ","Oliveira, J.A.","52","Native","2009","Giacomin, L.L.",,"Ouro","Ouro",,,"Serra Negra, RPPN Fazenda Serra Negra"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Polygalaceae","Bredemeyera","hebeclada","(DC.) J.F.B.Pastore","POLYGALACEAE Bredemeyera hebeclada (DC.) J.F.B.Pastore","409","splink","CTBS","Ribeiro, J.H.C.","107","Native","2009","Pastore, J.F.B.","2021","Ouro","Ouro",,"Lima Duarte","RPPN Fazenda Serra Negra"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Acanthaceae","Justicia","trifoliata","Roem. & Schult.","ACANTHACEAE Justicia trifoliata Roem. & Schult.","CESJ055738","splink","CESJ","Mezzonato, A.C.","50","Native","2009","Braz, D.M.","2018","Ouro","Ouro",,"Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra. Trilha em direção à Gruta das Bromélias."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Erythroxylaceae","Erythroxylum","gonocladum","(Mart.) O.E.Schulz","ERYTHROXYLACEAE Erythroxylum gonocladum (Mart.) O.E.Schulz","79045","x","UFP","Ribeiro, J.H.C.","98","Native","2009","Costa-Lima, J.L.","2016","Ouro","Ouro",,,"Serra Negra, RPPN Fazenda Serra Negra."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Polygalaceae","Caamembeca","oxyphylla","(DC.) J.F.B.Pastore","POLYGALACEAE Caamembeca oxyphylla (DC.) J.F.B.Pastore","436","splink","CTBS","Mezzonato, A.C.A.P.G.F.H.C.R.M.D.","41","Native","2009","Pastore, J.F.B.","2015","Ouro","Ouro",,"Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra. Trilha em direção à gruta das Bromélias..."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Polygalaceae","Senega","lancifolia","(A.St.-Hil. & Moq.) J.F.B.Pastore","POLYGALACEAE Senega lancifolia (A.St.-Hil. & Moq.) J.F.B.Pastore","CESJ053864","splink","CESJ","Souza, F.S.","726","Native","2009","Pastore, J.F.B.","2015","Ouro","Ouro",,"Lima Duarte","Serra Negra, Estrada da Área B da RPPN Fazenda Serra Negra."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Myrtaceae","Eugenia","flamingensis","O.Berg","MYRTACEAE Eugenia flamingensis O.Berg","53295","x","CESJ","Ribeiro, J.H.C.","71","Native","2009","Sobral, M.","2012","Ouro","Ouro",,,"Serra Negra, RPPN Fazenda Serra Negra."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Orchidaceae","Epidendrum","martianum","Lindl.","ORCHIDACEAE Epidendrum martianum Lindl.","CESJ053255","splink","CESJ","Roman, S.A.","75","Native","2009","Menini Neto, L.","2011","Ouro","Ouro",,"Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra; Areial próximo a Cachoeira da Borboleta Azul"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA DA SERRA","Angiosperms","Solanaceae","Solanum","insidiosum","Mart.","SOLANACEAE Solanum insidiosum Mart.","CESJ053397","splink","CESJ","Ribeiro, J.H.C.","100","Native","2009","Giacomin, L.L.","2011","Ouro","Ouro",,"Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra."
