"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Annonaceae","Ephedranthus","pisocarpus","R.E.Fr.","ANNONACEAE Ephedranthus pisocarpus R.E.Fr.","13214","splink","UFMA","Santos, C.R.","46","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Connaraceae","Rourea","induta","Planch.","CONNARACEAE Rourea induta Planch.","13211","splink","UFMA","Santos, C.R.","62","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Fabaceae","Dalbergia","cearensis","Ducke","FABACEAE Dalbergia cearensis Ducke","13210","splink","UFMA","Santos, C.R.","59","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Fabaceae","Inga","edulis","Mart.","FABACEAE Inga edulis Mart.","13225","splink","UFMA","Santos, C.R.","49","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Malvaceae","Helicteres","heptandra","L.B.Sm.","MALVACEAE Helicteres heptandra L.B.Sm.","13230","splink","UFMA","Santos, C.R.","43","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Ochnaceae","Ouratea","hexasperma","(A.St.-Hil.) Baill.","OCHNACEAE Ouratea hexasperma (A.St.-Hil.) Baill.","13223","splink","UFMA","Santos, C.R.","64","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Opiliaceae","Agonandra","brasiliensis","Miers ex Benth. & Hook.f.","OPILIACEAE Agonandra brasiliensis Miers ex Benth. & Hook.f.","13206","splink","UFMA","Santos, C.R.","69","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Passifloraceae","Passiflora","glandulosa","Cav.","PASSIFLORACEAE Passiflora glandulosa Cav.","13216","splink","UFMA","Santos, C.R.","47","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Piperaceae","Piper","tuberculatum","Jacq.","PIPERACEAE Piper tuberculatum Jacq.","13236","splink","UFMA","Santos, C.R.","48","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
"ÁREA DE PROTEÇÃO AMBIENTAL UPAON-AÇU / MIRITIBA / ALTO PREGUIÇAS","Angiosperms","Rubiaceae","Chiococca","nitida","Benth.","RUBIACEAE Chiococca nitida Benth.","13213","splink","UFMA","Santos, C.R.","42","Native","2022",,,"Ouro","Prata",,"São José de Ribamar","Sítio Aguahy"
