"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Annonaceae","Guatteria","punctata","(Aubl.) R.A.Howard","ANNONACEAE Guatteria punctata (Aubl.) R.A.Howard","SPF00206708","splink","SPF","Henicka, G.S.","131","Native","2007","Lobao, A.Q.","2008","Ouro","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Annonaceae","Guatteria","punctata","(Aubl.) R.A.Howard","ANNONACEAE Guatteria punctata (Aubl.) R.A.Howard","INPA0222891","splink","INPA","Henicka, G.S.","132","Native","2007","Sasaki, D.","2007","Bronze","Ouro",,,"RPPN Lote Cristalino, Trilha do Teles Pires"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Annonaceae","Xylopia","cuspidata","Diels","ANNONACEAE Xylopia cuspidata Diels","INPA0222892","splink","INPA","Henicka, G.S.","133","Native","2007","Sasaki, D.","2007","Ouro","Ouro",,,"RPPN Lote Cristalino, Trilha do Teles Pires"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Apocynaceae","Tabernaemontana",,"L.","APOCYNACEAE Tabernaemontana L.","SPF00206765","splink","SPF","Sasaki, D.","1543","Native","2007",,,"Latão","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Cristalino Jungle Lodge à Ilha Ariosto da Riva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Araceae","Philodendron","acutatum","Schott","ARACEAE Philodendron acutatum Schott","K000501360","splink","K","Sasaki, D.","1542","Native","2007","Haigh, A.",,"Bronze","Ouro",,"Alta Floresta","Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristalino Jungle Lodge.GPS :A 400"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Araceae","Philodendron","acutatum","Schott","ARACEAE Philodendron acutatum Schott","K000578854","splink","K","Sasaki, D.","1542","Native","2007","Haigh, A.",,"Bronze","Ouro",,"Alta Floresta","Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristalino Jungle Lodge.GPS :A 400"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Araceae","Philodendron","acutatum","Schott","ARACEAE Philodendron acutatum Schott","SPF00206729","splink","SPF","Sasaki, D.","1542","Native","2007","Haigh, A.",,"Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Cristalino Jungle Lodge à Ilha Ariosto da Riva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Athyriaceae","Diplazium","cristatum","(Desr.) Alston","ATHYRIACEAE Diplazium cristatum (Desr.) Alston","SPF00206743","splink","SPF","Henicka, G.S.","79","Native","2007","Milliken, W.",,"Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Ferns and Lycophytes","Athyriaceae","Diplazium","cristatum","(Desr.) Alston","ATHYRIACEAE Diplazium cristatum (Desr.) Alston","SPF00206745","splink","SPF","Sasaki, D.","1634","Native","2007","Milliken, W.",,"Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Begoniaceae","Begonia","guaduensis","Kunth","BEGONIACEAE Begonia guaduensis Kunth","K000447764","splink","K","Sasaki, D.","1538",,"2007","Biggs, N.",,"Bronze","Ouro",,"Alta Floresta","Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristalino Jungle Lodge.GPS :A 400"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Begoniaceae","Begonia","guaduensis","Kunth","BEGONIACEAE Begonia guaduensis Kunth","222957","x","Herbario INPA","Hopkins, M.","1538","Native",,,,"Latão","Ouro",,"Novo Mundo","Novo Mundo, Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristalino Jungle Lodge. Afloramento rochoso cercado por mata estacional decidual."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Bignoniaceae","Tynanthus","polyanthus","(Bureau) Sandwith","BIGNONIACEAE Tynanthus polyanthus (Bureau) Sandwith","K000579704",,"K","Piva, J.H.","1625","Native","2007","Zappi, D.C.","2009","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/5/79/70/4/k000579704.dzi","Novo Mundo","Reserva Particular do Patrim nio Natural Lote Cristalino. Trilha do Teles Pires.GPS :A 492"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Ferns and Lycophytes","Bignoniaceae","Tynanthus","polyanthus","(Bureau) Sandwith","BIGNONIACEAE Tynanthus polyanthus (Bureau) Sandwith","SPF00206800","splink","SPF","Sasaki, D.","1625","Native","2007","Zappi, D.C.","2009","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Bignoniaceae","Tynanthus","polyanthus","(Bureau) Sandwith","BIGNONIACEAE Tynanthus polyanthus (Bureau) Sandwith","HERBAM005149",,"NX","Sasaki, D.",,"Native","2007","Zappi, D.C.","2007","Bronze","Ouro",,"Novo Mundo","Reserva particular do patrimônio natural lote cristalino. Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Burseraceae","Protium","altissimum","(Aubl.) Marchand","BURSERACEAE Protium altissimum (Aubl.) Marchand","K002222225","splink","K","Sasaki, D.","1628","Native","2007",,,"Latão","Ouro",,"Novo Mundo","Município de Novo Mundo. Reserva Particular do Patrimônio Natural Lote Cristalino. Trilha do Teles Pires."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Connaraceae","Connarus","punctatus","Planch.","CONNARACEAE Connarus punctatus Planch.","INPA0223042","splink","INPA","Henicka, G.S.","121","Native","2007","Toledo, C.A.P.","2015","Ouro","Ouro",,,"RPPN Lote Cristalino"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Euphorbiaceae","Manihot","esculenta","Crantz","EUPHORBIACEAE Manihot esculenta Crantz","SPF00185386","splink","SPF","Sasaki, D.","1533","Native","2007","Martins, M.","2015","Ouro","Ouro",,"Novo Mundo","RPPN Lote Cristalino, Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristlino Jungle Lodge. Afloramento rochoso com bromélias, cercado por mata decidual de Cochlopsermum."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Fabaceae","Chamaecrista","nictitans","(L.) Moench","FABACEAE Chamaecrista nictitans (L.) Moench","SPF00207385","x","SPF","Sasaki, D.","1534","Native","2007","Administrador",,"Bronze","Ouro",,,"RPPN Lote Cristalino, Trilha do Cristalino Jungle Lodge à Ilha Ariosto da Riva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Fabaceae","Dialium","guianense","(Aubl.) Sandwith","FABACEAE Dialium guianense (Aubl.) Sandwith","INPA0223041","splink","INPA","Henicka, G.S.","119","Native","2007","Ramos, J.F.","2007","Prata","Ouro",,,"RPPN Lote Cristalino"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Ferns and Lycophytes","Fabaceae","Inga","nobilis","Willd.","FABACEAE Inga nobilis Willd.","189739","x","SPF","Sasaki, D.","2517","Native","2009","Sasaki, D.","2009","Bronze","Ouro",,,"RPPN Lote Cristalino"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Fabaceae","Inga","vera","Willd.","FABACEAE Inga vera Willd.","SPF00189737","x","SPF","Sasaki, D.","2522","Native","2009","Administrador",,"Bronze","Ouro",,,"RPPN Lote Cristalino"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Loganiaceae","Strychnos","mattogrossensis","S.Moore","LOGANIACEAE Strychnos mattogrossensis S.Moore","SPF00189743","splink","SPF","Sasaki, D.","2559","Native","2009","Zappi, D.C.","2016","Ouro","Ouro",,"Novo Mundo","RPPN Lote Cristalino"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO",,"Malvaceae","Corchorus","argutus","Kunth","MALVACEAE Corchorus argutus Kunth","207068","x","SPF","Sasaki, D.","1537",,"2007","Ramos, J.F.",,"Prata","Ouro",,,"RPPN Lote Cristalino, Trilha do Cristalino Jungle Lodge à Ilha Ariosto da Riva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Malvaceae","Corchorus","argutus","Kunth","MALVACEAE Corchorus argutus Kunth","K000447347","splink","K","Sasaki, D.","1537","Native","2007","Ramos, J.F.",,"Prata","Ouro",,"Alta Floresta","Reserva Particular do Patrimônio Natural Lote Cristalino. Jardim Encantado no Cristalino Jungle Lodge.GPS :A 400"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Malvaceae","Helicteres","brevispira","A.St.-Hil.","MALVACEAE Helicteres brevispira A.St.-Hil.","HERBAM010239",,"NX","Silva, D.R.","198","Native","2017","Colli-Silva, M.","2024","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, afloramento atrás do Lodge. Floresta Estacional Decidual Submontana sobre afloramento rochoso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Malvaceae","Helicteres","pentandra","L.","MALVACEAE Helicteres pentandra L.","17765","splink","NX","Silva, D.R.","194","Native","2017","Silva, D.R.","2017","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, afloramento atrás do Lodge, Floresta Estacional Decidual Submontana sobre afloramento rochoso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Malvaceae","Pseudobombax","tomentosum","(Mart.) A.Robyns","MALVACEAE Pseudobombax tomentosum (Mart.) A.Robyns","HERBAM010969",,"NX","Silva, D.R.","195","Native","2017","Ferreira, C.D.M.","2024","Ouro","Ouro",,"Novo Mundo","RPPN Lote Cristalino, afloramento atrás do Lodge."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Ferns and Lycophytes","Malvaceae","Pseudobombax","tomentosum","(Mart.) A.Robyns","MALVACEAE Pseudobombax tomentosum (Mart.) A.Robyns","17766","splink","NX","Silva, D.R.","195","Native","2017","Silva, D.R.","2017","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino, afloramento atrás do Lodge, Floresta Estacional Decidual Submontana sobre afloramento rochoso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Clidemia","bullosa","DC.","MELASTOMATACEAE Clidemia bullosa DC.","UPCB0033385","splink","UPCB","Muller, A.O.","45","Native","2017","Ferreira-Alves, R.","2026","Bronze","Ouro",,"Alta Floresta","Próximo da margem do rio Teles Pires, no acesso para a RPPN Lote Cristalino."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Clidemia","capitellata","(Bonpl.) D.Don","MELASTOMATACEAE Clidemia capitellata (Bonpl.) D.Don","91937","x","UPCB","Muller, A.O.","44","Native","2017","Goldenberg, R.","2025","Ouro","Ouro",,,"Próximo da margem do rio Teles Pires, no acesso para a RPPN Lote Cristalino."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Clidemia","dentata","D.Don","MELASTOMATACEAE Clidemia dentata D.Don","UPCB0033357","splink","UPCB","Gressler, E.","1983","Native","2016","Ferreira-Alves, R.","2026","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino. Trilha da Serra 1."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Clidemia","dentata","D.Don","MELASTOMATACEAE Clidemia dentata D.Don","UPCB0033357",,"UPCB","Gressler, E.","1983","Native","2016","Ferreira-Alves, R.","2026","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino. Trilha da Serra 1."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Clidemia","dentata","D.Don","MELASTOMATACEAE Clidemia dentata D.Don","UPCB0033359",,"UPCB","Gressler, E.","1971","Native","2016","Ferreira-Alves, R.","2026","Bronze","Ouro",,"Novo Mundo","RPPN Lote Cristalino. Trilha da Serra 1."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae",,,"A.Juss.","MELASTOMATACEAE Melastomataceae A.Juss.","UPCB0033198",,"UPCB","Gressler, E.","1977","Native","2016",,,"Latão","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/3/31/98/upcb00033198.dzi","Alta Floresta","RPPN Lote Cristalino, Trilha do Cajá."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae",,,"A.Juss.","MELASTOMATACEAE Melastomataceae A.Juss.","91946","x","UPCB","Gressler, E.","1977","Native","2016",,,"Latão","Ouro",,,"RPPN Lote Cristalino, Trilha do Cajá."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","diaphanea","Gleason","MELASTOMATACEAE Miconia diaphanea Gleason","UPCB0033369","splink","UPCB","Muller, A.O.","62","Native","2017","Goldenberg, R.","2017","Ouro","Ouro",,"Novo Mundo","RPPN Lote Cristalino. Trilha da Torre 2."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","ibaguensis","(Bonpl.) Triana","MELASTOMATACEAE Miconia ibaguensis (Bonpl.) Triana","UPCB0026908",,"UPCB","Muller, A.O.","27","Native","2017","Goldenberg, R.","2017","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/2/69/8/upcb00026908.dzi","Novo Mundo","RPPN Lote Cristalino, Trilha do Limão."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","ibaguensis","(Bonpl.) Triana","MELASTOMATACEAE Miconia ibaguensis (Bonpl.) Triana","UPCB0026893",,"UPCB","Muller, A.O.","61","Native","2016","Goldenberg, R.","2017","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/2/68/93/upcb00026893.dzi","Alta Floresta","RPPN Lote Cristalino, Trilha do Cajá."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","ibaguensis","(Bonpl.) Triana","MELASTOMATACEAE Miconia ibaguensis (Bonpl.) Triana","UPCB0026897",,"UPCB","Gressler, E.","1980","Native","2016","Goldenberg, R.","2017","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/2/68/97/upcb00026897.dzi","Alta Floresta","RPPN Lote Cristalino."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","ibaguensis","(Bonpl.) Triana","MELASTOMATACEAE Miconia ibaguensis (Bonpl.) Triana","90880","x","UPCB","Muller, A.O.","27","Native","2017","Goldenberg, R.","2017","Ouro","Ouro",,,"RPPN Lote Cristalino, Trilha do Limão."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","ibaguensis","(Bonpl.) Triana","MELASTOMATACEAE Miconia ibaguensis (Bonpl.) Triana","90877","x","UPCB","Muller, A.O.","25","Native","2017","Goldenberg, R.","2017","Ouro","Ouro",,,"RPPN Lote Cristalino, Trilha do Limão."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE CRISTALINO","Angiosperms","Melastomataceae","Miconia","minutiflora","(Bonpl.) DC.","MELASTOMATACEAE Miconia minutiflora (Bonpl.) DC.","90883","x","UPCB","Muller, A.O.","30","Native","2017","Goldenberg, R.","2017","Ouro","Ouro",,,"Estrada de acesso á RPPN Lote Cristalino."
