"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"PE CRISTALINO",2033,235,119,786,1149,1140,566,144,9,0
"PE NASCENTES DO RIO TAQUARI",1,1,0,0,1,1,1,1,0,0
"PE SERRA AZUL",4,0,0,1,4,4,4,4,3,0
"PE SERRA RICARDO FRANCO",1,0,0,0,1,1,1,1,1,0
"PE TUCUMÃ",9,0,0,2,4,4,4,3,2,3
"PE VÁRZEAS DO RIO IVINHEMA",9,5,0,1,8,8,8,3,2,0
"PE XINGU",48,5,0,3,42,42,33,22,34,0
"PARNA CHAPADA DOS GUIMARÃES",10,6,0,0,10,10,9,7,4,0
"RPPN LOTE CRISTALINO",49,3,5,36,45,45,41,29,1,0
"RPPN UFMS",1,0,0,1,1,1,1,1,0,0
