"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ESTAÇÃO ECOLÓGICA VEREDAS DE TAQUARUSSU","Brazil","Mato Grosso do Sul","TAQUARUSSU (MS)","Proteção Integral",3.546,"cnuc_2025_08.csv","EEC","EEC_VEREDAS_DE_TAQUARUSSU"
"MONUMENTO NATURAL GRUTA DO LAGO AZUL","Brazil","Mato Grosso do Sul","BONITO (MS)","Proteção Integral",1.515,"cnuc_2025_08.csv","MONA","MONA_GRUTA_DO_LAGO_AZUL"
"MONUMENTO NATURAL MUNICIPAL SERRA DO BOM JARDIM","Brazil","Mato Grosso do Sul","ALCINÓPOLIS (MS)","Proteção Integral",1.997,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_SERRA_DO_BOM_JARDIM"
"MONUMENTO NATURAL MUNICIPAL SERRA DO BOM SUCESSO","Brazil","Mato Grosso do Sul","ALCINÓPOLIS (MS)","Proteção Integral",4.322,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_SERRA_DO_BOM_SUCESSO"
"MONUMENTO NATURAL MUNICIPAL SERRA DO PANTANAL","Brazil","Mato Grosso do Sul","SONORA (MS)","Proteção Integral",5.146,"cnuc_2025_08.csv","MONA","MONA_MUNICIPAL_SERRA_DO_PANTANAL"
"MONUMENTO NATURAL RIO FORMOSO","Brazil","Mato Grosso do Sul","BONITO (MS)","Proteção Integral",1.571,"cnuc_2025_08.csv","MONA","MONA_RIO_FORMOSO"
"PARQUE ESTADUAL MATAS DO SEGREDO","Brazil","Mato Grosso do Sul","CAMPO GRANDE (MS)","Proteção Integral",422,"cnuc_2025_08.csv","PE","PE_MATAS_DO_SEGREDO"
"PARQUE ESTADUAL NASCENTES DO RIO TAQUARI","Brazil","Mato Grosso do Sul","ALCINÓPOLIS (MS) - COSTA RICA (MS)","Proteção Integral",421,"cnuc_2025_08.csv","PE","PE_NASCENTES_DO_RIO_TAQUARI"
"PARQUE ESTADUAL PANTANAL DO RIO NEGRO","Brazil","Mato Grosso do Sul","AQUIDAUANA (MS) - CORUMBÁ (MS)","Proteção Integral",423,"cnuc_2025_08.csv","PE","PE_PANTANAL_DO_RIO_NEGRO"
"PARQUE ESTADUAL PROSA","Brazil","Mato Grosso do Sul","CAMPO GRANDE (MS)","Proteção Integral",419,"cnuc_2025_08.csv","PE","PE_PROSA"
