"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Rubiaceae","Simira","hexandra","(S.Moore) Steyerm.","RUBIACEAE Simira hexandra (S.Moore) Steyerm.","COR00029996",,"COR","Martinelli, G.","16622","Native",,"Gomes, M.","2015","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cor/cor/0/2/99/96/cor00029996.dzi","Corumbá","Serra do Amolar; rio Paraguai"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Bromeliaceae","Tillandsia","lorentziana","Griseb.","BROMELIACEAE Tillandsia lorentziana Griseb.","MBM404906",,"MBM","Martinelli, G.","16627","Native","2010","Martinelli, G.","2015","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/6/mbm00404906.dzi","Corumbá","Serra do Amolar, Rio Paraguai"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Combretaceae","Combretum","pyramidatum","Ham.","COMBRETACEAE Combretum pyramidatum Ham.","COR00109570",,"COR","Martinelli, G.","16618","Native","2010","Marquete, N.","2015","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cor/cor/0/10/95/70/cor00109570.dzi","Corumbá","Serra do Amolar; rio Paraguai"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Bromeliaceae","Bromelia","balansae","Mez","BROMELIACEAE Bromelia balansae Mez","NY02724002","splink","NY","Martinelli, G.","16710","Native","2010",,,"Ouro","Prata",,"Corumbá","Serra do Amolar, morro do Solteiro, próx. A comunidade do Amolar. Floresta estacional semidecídua."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Bromeliaceae","Dyckia","leptostachya","Baker","BROMELIACEAE Dyckia leptostachya Baker","NY02721526","splink","NY","Martinelli, G.","16711","Native","2010",,,"Ouro","Prata",,"Corumbá","Serra do Amolar, morro do Solteiro, próx. A comunidade do Amolar. Floresta estacional semidecídua."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Fabaceae","Dipteryx","alata","Vogel","FABACEAE Dipteryx alata Vogel","CGMS1106594","splink","CGMS","Quinet, A.","2223","Native","2010","Carvalho, C.","2018","Ouro","Prata",,"Corumbá","Serra do amolar, morro das cabras, próximo a comunidade do Amolar."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Myrtaceae","Eugenia","punicifolia","(Kunth) DC.","MYRTACEAE Eugenia punicifolia (Kunth) DC.","CGMS1106599","splink","CGMS","Martinelli, G.","16722","Native","2010","Souza, M.C.","2012","Ouro","Prata",,"Corumbá","Serra do Amolar, morraria atrás do povoado do Amolar. Floresta estacional semidecídua."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Poaceae","Axonopus",,"P. Beauv.","POACEAE Axonopus P. Beauv.","CGMS1055251","splink","CGMS","Damasceno Junior, G.A.","5107","Native","2008","Valls, J.F.M.","2015","Ouro","Prata",,"Corumbá","Serra do Amolar. Pico do Morro do Mandioré."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Thelypteridaceae","Meniscium","longifolium","Desv.","THELYPTERIDACEAE Meniscium longifolium Desv.","99940","splink","BHCB","Pott, V.J.","6328","Native","2003","Fernandes, R.S.","2014","Ouro","Prata",,"Corumbá","Serra do Amolar"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ACURIZAL E FAZENDA PENHA","Angiosperms","Blechnaceae","Blechnum","polypodioides","Raddi","BLECHNACEAE Blechnum polypodioides Raddi","CGMS1088893","splink","CGMS","Assis, E.L.M.","s.n.","Native","2002","Assis, E.L.M.",,"Ouro","Prata",,"Corumbá","Serra do Amolar - Borda da Lagoa Mandioré."
