"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Apocynaceae","Oxypetalum",,"R.Br.","APOCYNACEAE Oxypetalum R.Br.","87134","x","HUFU","Renon, P.","922","Native","2024",,,"Latão","Ouro",,,"APA do Alto do Mucuri, Pedra d' água."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Apocynaceae","Oxypetalum",,"R.Br.","APOCYNACEAE Oxypetalum R.Br.","HUFU00088738","splink","HUFU","Arantes, F.M.","815","Native","2024",,,"Latão","Ouro",,"Ladainha","APA do Alto do Mucuri, Brejo à beira da estrada"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae","Acanthospermum","australe","(Loefl.) Kuntze","ASTERACEAE Acanthospermum australe (Loefl.) Kuntze","HDJF00023395",,"HDJF","Guarneire, G.J.","36","Naturalized","2018","Guarneire, G.J.","2018","Bronze","Prata",,"Poté","Sucanga."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae","Artemisia","absinthium","L.","ASTERACEAE Artemisia absinthium L.","HDJF00023437",,"HDJF","Guarneire, G.J.","13","Native","2017","Guarneire, G.J.","2018","Bronze","Prata",,"Poté","Sucanga."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae","Aspilia",,"Thouars","ASTERACEAE Aspilia Thouars","87181","x","HUFU","Renon, P.","981","Native","2024",,,"Latão","Ouro",,,"APA do Alto do Mucuri, Pedra Geribá."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Ferns and Lycophytes","Asteraceae","Aspilia",,"Thouars","ASTERACEAE Aspilia Thouars","87180","x","HUFU","Renon, P.","971","Native","2024",,,"Latão","Ouro",,,"APA do Alto do Mucuri, Pedra Geribá."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae","Aspilia",,"Thouars","ASTERACEAE Aspilia Thouars","HUFU00088772","splink","HUFU","Arantes, F.M.","744","Native","2024",,,"Latão","Ouro",,"Novo Cruzeiro","APA do Alto do Mucuri, Pedra do Geribá"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","87184","x","HUFU","Renon, P.","985","Native","2024",,,"Latão","Ouro",,,"APA do Alto do Mucuri, Pedra Geribá."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","HUFU00088575","splink","HUFU","Arantes, F.M.","714","Native","2024",,,"Latão","Ouro",,"Ladainha","APA do Alto do Mucuri, Pedra D'Água"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTO DO MUCURI","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","HUFU00088728","splink","HUFU","Arantes, F.M.","661","Native","2024",,,"Latão","Ouro",,"Ladainha","APA do Alto do Mucuri, Pedra do Rastro"
