"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","MBM226221",,"MBM","Brina, A.E.","s.n.","Native","1995","Wasshausen, D.C.","1997","Ouro","Ouro",,"Lagoa Santa","APA Carste de Lagoa Santa."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","US 3357602","x","US","Brina, A.","32717","Native","1995",,,"Latão","Ouro",,,"Apa Carste de Lagoa Santa, Lagoa Santa, MG."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","UB0111901",,"UB","Amaral Junior, A.","3002","Native","1991","Mendonca, G.V.R.","2023","Bronze","Prata",,"Lagoa Santa","Gruta da Lapinha."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","JOIw022401",,"JOIw","Ceccantini, G.C.T.","2872","Native","2006",,,"Latão","Prata",,"Matozinhos","Fazenda Cauaia, no local do sítio arqueológico Lapa do Santo, mata semi-decídua."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","JOIw022401","splink","JOIw","Ceccantini, G.C.T.","2872","Native","2006",,,"Latão","Prata",,"Matozinhos","Fazenda Cauaia, no local do sítio arqueológico Lapa do Santo, mata semi-decídua."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","BHCB053339","splink","BHCB","Ceccantini, G.C.T.","2872","Native","2006",,"0-0-0","Latão","Prata",,"Matozinhos","Fazenda Cauaia"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Acanthaceae","Ruellia","paniculata","L.","ACANTHACEAE Ruellia paniculata L.","US 3357601","x","US","Brina, A.","s.n.","Native",,,,"Latão","Ouro",,,"APA Carste de Lagoa Santa, Lagoa Santa, MG."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Amaryllidaceae","Griffinia","liboniana","Morren","AMARYLLIDACEAE Griffinia liboniana Morren","BHCB012365","splink","BHCB","Lombardi, J.A.","1450","Native","1996","Campos-Rocha, A.","2015","Bronze","Prata",,"Matozinhos","Fazenda Cauaia"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","fraxinifolium","Schott","ANACARDIACEAE Astronium fraxinifolium Schott","BHCB055293","splink","BHCB","Brina, A.E.","s.n.","Native","1995","Mitchell, J.D.","1997","Ouro","Ouro",,"Lagoa Santa","APA Carste de Lagoa Santa"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","graveolens","Jacq.","ANACARDIACEAE Astronium graveolens Jacq.","JOIw022425","splink","JOIw","Ceccantini, G.C.T.","2902","Native","2006",,,"Latão","Prata",,"Matozinhos","Fazenda Cauaia, arredores do sítio arqueológico Lapa do Santo, mata semi-decídua."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","nelson-rosae","Santin","ANACARDIACEAE Astronium nelson-rosae Santin","BHCB055305","splink","BHCB","Brina, A.E.","s.n.","Native","1995","Mitchell, J.D.","1998","Ouro","Ouro",,"Lagoa Santa","APA Carste de Lagoa Santa"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","BHCB055534","splink","BHCB","Brina, A.E.","s.n.","Native","1995","Mitchell, J.D.","1997","Ouro","Ouro",,"Lagoa Santa","APA Carste de Lagoa Santa, Pedreira."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Bryophytes","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","NY01030707",,"NY","Brina, A.E.","BHCB32708","Native","1995","Brina, A.E.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/3/7/7/ny_01030707.dzi",,"APA Carste de Lagoa Santa, Lagoa Santa"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","NY01030708","x","NY","Brina, A.E.","BHCB32709","Native","1995","Brina, A.E.",,"Bronze","Ouro",,,"APA Carste de Lagoa Santa, Lagoa Santa"
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","BHCB055526","splink","BHCB","Ceccantini, G.C.T.","2900","Native","2006","Pirani, J.R.","0-0-0","Ouro","Prata",,"Matozinhos","Fazenda Cauaia, Arredores do sítio arqueológico Lapa do Santo."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Astronium","urundeuva","(M.Allemão) Engl.","ANACARDIACEAE Astronium urundeuva (M.Allemão) Engl.","HMACK0001944",,"HMACK","Rodrigues-Silva, D.G.","49","Native","2003","Garcia, R.J.I.","2011","Bronze","Prata",,"Matozinhos","Floresta estacional decidual, Mata cuvieri, fazenda Cauaia."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","BHCB055933","splink","BHCB","Brina, A.E.","s.n.","Native","1995","Mitchell, J.D.","1997","Ouro","Ouro",,"Lagoa Santa","APA Carste de Lagoa Santa, Mata alagada, Fazenda Império."
"ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","MBM226201",,"MBM","Brina, A.E.","s.n.","Native","1995","Costa, L.V.","1995","Bronze","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/22/62/1/mbm00226201.dzi","Lagoa Santa","APA Carste de Lagoa Santa"
