"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Isostigma","pseudanifolium","Less.","ASTERACEAE Isostigma pseudanifolium Less.","MBM023221",,"MBM","Hatschbach, G.","30040",,"1972","Cabrera, A.L.",,"Ouro","Prata",,"Jaboticatubas","Serra do Cipó."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","angelae","Semir & Leitão","ASTERACEAE Lychnophora angelae Semir & Leitão","UEC128407","splink","UEC","Mansanares, M.E.","208",,"2002","Semir, J.",,"Ouro","Ouro",,"Santana do Riacho","APA do Morro da Pedreira, estrada Cardeal Mota-Conceição do Mato Dentro, 1.5 km acima da Fazenda Palácio"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC120821","splink","UEC","Mansanares, M.E.","09",,"1998","Mansanares, M.E.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó, próximo à estátua do Juquinha."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC120822","splink","UEC","Mansanares, M.E.","16",,"1998","Mansanares, M.E.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó, 1 km acima da estátua do Juquinha."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC121747","splink","UEC","Vaccarelli, V.N.","05",,"1998","Semir, J.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó, lado direito do Juquinha. Km 118."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC121745","splink","UEC","Vaccarelli, V.N.","08",,"1998","Semir, J.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó, à 500 m do Juquinha, ao lado esquerdo da mineração."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC120826","splink","UEC","Vaccarelli, V.N.","07",,"1998","Semir, J.","2012","Ouro","Prata",,"Santana do Riacho","Serra do Cipó, lado direito do Juquinha, km 118."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","UEC120824","splink","UEC","Semir, J.","35228",,"1994",,,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó. Antigo km 140."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","NY01843308","splink","NY","Semir, J.","8653",,"1978","Semir, J.","1992","Ouro","Prata",,"Jaboticatubas","Serra do Cipó - km 126."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir & Leitão","ASTERACEAE Lychnophora cipoensis Semir & Leitão","8425","splink","SPFw","Ceccantini, G.C.T.","4228",,"2014","Ceccantini, G.C.T.",,"Bronze","Prata",,"Santana do Riacho","Serra do Cipó."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir;Leitão","ASTERACEAE Lychnophora cipoensis Semir;Leitão","6365","splink","SPFw","Ceccantini, G.C.T.L.","3917",,"2013","Loeuille, B.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","cipoensis","Semir;Leitão","ASTERACEAE Lychnophora cipoensis Semir;Leitão","6344","splink","SPFw","Ceccantini, G.C.T.L.","3816B",,"2012",,,"Latão","Prata",,"Santana do Riacho","Serra do Cipó"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","joliana","Semir & Leitão","ASTERACEAE Lychnophora joliana Semir & Leitão","UEC167358","splink","UEC","Mansanares, M.E.","203",,"2002","Semir, J.",,"Ouro","Ouro",,"Santana do Riacho","APA do Morro da Pedreira, Serra do Cipó, estrada para Conceição do Mato Dentro, 300m depois da Fazenda Cipó, lado D da estrada."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","joliana","Semir & Leitão","ASTERACEAE Lychnophora joliana Semir & Leitão","UEC167354","splink","UEC","Vaccarelli, V.N.","18",,"1998","Semir, J.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó, na entrada para cachoeira na região do Congonhas."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","mutica","Semir & Leitão","ASTERACEAE Lychnophora mutica Semir & Leitão","UEC174660","splink","UEC","Monge, M.","2257",,"2013","Monge, M.",,"Ouro","Ouro",,"Santana do Riacho","APA Morro do Pedreira. Lapinha da Serra. Subida para Pico do Breu. Subindo a trilha depois da 1ª cachoeira"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","mutica","Semir & Leitão","ASTERACEAE Lychnophora mutica Semir & Leitão","UEC174663","splink","UEC","Monge, M.","2252",,"2013","Monge, M.",,"Ouro","Ouro",,"Santana do Riacho","APA Morro do Pedreira. Estrada para Lapinha da Serra"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophora","mutica","Semir & Leitão","ASTERACEAE Lychnophora mutica Semir & Leitão","UEC191597","splink","UEC","Mansanares, M.E.","25",,"1998","Mansanares, M.E.",,"Ouro","Prata",,"Santana do Riacho","Serra do Cipó."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Lychnophorella","mellobarretoi","(Barroso) Loeville, Semir & Pirani","ASTERACEAE Lychnophorella mellobarretoi (Barroso) Loeville, Semir & Pirani","UEC121019","splink","UEC","Silvestre, M.S.F.","9096",,"1978","Semir, J.","2005","Ouro","Prata",,"Santana do Riacho","Serra do Cipó, km 131."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Pseudobrickellia","pinifolia",,"ASTERACEAE Pseudobrickellia pinifolia","MBM178392","splink","MBM","Moreira, M.","823",,"1992","Nakajima, J.","2009","Ouro","Prata",,"Santana do Riacho","Serra do Cipó, coletada a 3 km da portaria Alto Palácio do IBAMA, região das Canelas de Ema Gigante."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae","Pseudobrickellia","pinifolia",,"ASTERACEAE Pseudobrickellia pinifolia","MBM026998",,"MBM","Hatschbach, G.","29894",,"1972","Nakajima, J.","2009","Ouro","Prata",,"Jaboticatubas","Serra do Cipó."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","SAMES17260",,"SAMES","Arantes, F.M.","520",,"2024",,,"Latão","Prata",,"Santana do Riacho","serra do cipo."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","VIES062036","splink","VIES","Arantes, F.M.","520",,"2024",,,"Latão","Prata",,"Santana do Riacho","Serra do Cipó."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","384871","splink","SP","Wanderley, M.G.L.","2381",,"2004",,,"Latão","Prata",,"Santana do Riacho","Serra do Cipó"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","384874","splink","SP","Wanderley, M.G.L.","2383",,"2004",,,"Latão","Prata",,"Santana do Riacho","Serra do Cipó"
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","UB0004491","splink","UB","Eiten, G.","6812F",,"1965",,,"Latão","Prata",,"Jaboticatubas","Serra do Cipó, planalto. At ""Palácio"", km 128 marker."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","ASE0000892","splink","ASE","Eiten, G.","6812F",,"1965",,,"Latão","Prata",,"Jaboticatubas","Serra do Cipó, planalto. At ""Palácio"", km 128 marker."
"ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","300687","splink","SP","Eiten, G.","6783",,"1965",,,"Latão","Prata",,"Jaboticatubas","Serra do Cipó, Km 113"
