"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Ferns and Lycophytes","Orchidaceae","Cotylolabium","lutzii","(Pabst) Garay","ORCHIDACEAE Cotylolabium lutzii (Pabst) Garay","CEN00102982",,"CEN","Batista, J.A.N.","3385","Native","2016","Batista, J.A.N.","2016","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/29/82/cen00102982.dzi","Caparaó","Parque Nacional do Caparaó, trilha entre o Terreirão e o Pico da Bandeira, próximo ao Pico."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Cranichis","candida","(Barb.Rodr.) Cogn.","ORCHIDACEAE Cranichis candida (Barb.Rodr.) Cogn.","CEN00102983",,"CEN","Batista, J.A.N.","3395","Native","2016","Batista, J.A.N.","2016","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/29/83/cen00102983.dzi","Caparaó","Parque Nacional do Caparaó, trecho inicial da trilha entre Tronqueira eo Terreirâo."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Prescottia","glazioviana","Cogn.","ORCHIDACEAE Prescottia glazioviana Cogn.","CEN00102981",,"CEN","Batista, J.A.N.","3381","Native","2016","Batista, J.A.N.","2016","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/29/81/cen00102981.dzi","Caparaó","Parque Nacional do Caparaó, trilha entre Tronqueira eo Terreirâo, próximo ao Terreirão."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Prescottia",,"Lindl.","ORCHIDACEAE Prescottia Lindl.","CEN00101413",,"CEN","Batista, J.A.N.","3218","Native","2012",,,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/14/13/cen00101413.dzi","Caparaó","Parque Nacional do Caparaó; Trilha entre o Terreirão e o Pico da Bandeira, próximo ao pico."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Lythraceae","Cuphea","racemosa","(L.f.) Spreng.","LYTHRACEAE Cuphea racemosa (L.f.) Spreng.","CEN00085925",,"CEN","Colleta, G.","321","Native","2010","Cavalcanti, T.B.","2017","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/8/59/25/cen00085925.dzi","Caparaó","Parque Nacional do Caparaó. caminho entre Recepção e Tronqueira"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Habenaria","gustavi-edwallii","Hoehne","ORCHIDACEAE Habenaria gustavi-edwallii Hoehne","CEN00101493",,"CEN","Batista, J.A.N.","2534","Native","2008","Batista, J.A.N.","2020","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/14/93/cen00101493.dzi","Caparaó","Parque Nacional do Caparaó, Tronqueira."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Habenaria","itatiayae","Schltr.","ORCHIDACEAE Habenaria itatiayae Schltr.","CEN00101022",,"CEN","Batista, J.A.N.","2542","Native","2008","Batista, J.A.N.","2020","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/10/22/cen00101022.dzi","Caparaó","Parque Nacional do Caparaó, trilha entre a Tronqueira e o Pico da Bandeira, pouco após o Terreirão."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Orchidaceae","Habenaria","achalensis","Kraenzl.","ORCHIDACEAE Habenaria achalensis Kraenzl.","CEN00101032",,"CEN","Batista, J.A.N.","2546","Native","2008","Batista, J.A.N.","2008","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/10/10/32/cen00101032.dzi","Caparaó","Parque Nacional do Caparaó, trilha entre a Tronqueira e o Pico da Bandeira, pouco após o Terreirão."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Dryopteridaceae","Ctenitis",,"(C.Chr.) C.Chr.","DRYOPTERIDACEAE Ctenitis (C.Chr.) C.Chr.","P00819273",,"P","Salino, A.","11485","Native","2006",,,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mnhn/p/0/81/92/73/p00819273.dzi","Caparaó","Parque Nacional do Caparaó, região próximo a Torre Repetidora."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Apocynaceae","Oxypetalum","leonii","Fontella","APOCYNACEAE Oxypetalum leonii Fontella","SPF00160930",,"SPF","Rapini, A.","885","Native","2000","Rapini, A.","2/2","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/9/30/spf00160930.dzi","Caparaó","Parque Nacional do Caparaó, Trilha para o Pico da Bandeira."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Lythraceae","Cuphea","ingrata","Cham. & Schltdl.","LYTHRACEAE Cuphea ingrata Cham. & Schltdl.","CEN00086815",,"CEN","Forster, W.","811","Native","2000","Graham, S.","2014","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/8/68/15/cen00086815.dzi","Caparaó","Parque Nacional do Caparaó. Vale Verde. Margem do rio Caparaó."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Fabaceae","Mantiqueira","bella","(Mart. ex Benth.) L.P.Queiroz","FABACEAE Mantiqueira bella (Mart. ex Benth.) L.P.Queiroz","MBM272857",,"MBM","Queiroz, L.P.","4977","Native","1998","Queiroz, L.P.",,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/27/28/57/mbm00272857.dzi","Caparaó","Parque Nacional do Caparaó"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Lamiaceae","Hesperozygis","myrtoides","(A.St.-Hil. ex Benth.) Epling","LAMIACEAE Hesperozygis myrtoides (A.St.-Hil. ex Benth.) Epling","HUEFS167658",,"HUEFS","Braga, J.M.A.","4652","Native","1998","Harley, R.M.","2014","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/16/76/58/huefs00167658.dzi","Caparaó","Parque Nacional do Caparaó, trilha para o Pico da Bandeira."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Gesneriaceae","Sinningia","allagophylla","(Mart.) Wiehler","GESNERIACEAE Sinningia allagophylla (Mart.) Wiehler","HUEFS192675",,"HUEFS","Braga, J.M.A.","4619","Native","1998","Chautems, A.","2001","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/19/26/75/huefs00192675.dzi","Caparaó","Parque Nacional do Caparaó, início da trilha para o Pico da Bandeira."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Rubiaceae","Borreria","verticillata","(L.) G.Mey.","RUBIACEAE Borreria verticillata (L.) G.Mey.","SPF00226864",,"SPF","Braga, J.M.A.","4571","Native","1997","Delprete, P.G.","2000","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/22/68/64/spf00226864.dzi","Caparaó","Parque Nacional do Caparaó, Alto Caparaó."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Vitaceae","Clematicissus","striata","(Ruiz & Pav.) Lombardi","VITACEAE Clematicissus striata (Ruiz & Pav.) Lombardi","MBM187945",,"MBM","Lombardi, J.A.","927","Native","1995","Lombardi, J.A.",,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/18/79/45/mbm00187945.dzi","Caparaó","Parque Nacional do Caparaó"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Melastomataceae","Leandra","sulfurea","(Naudin) Cogn.","MELASTOMATACEAE Leandra sulfurea (Naudin) Cogn.","HUFU00061258",,"HUFU","Lombardi, J.A.","945","Native","1995","Romero, R.","2004","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/6/12/58/hufu00061258.dzi","Caparaó","Parque Nacional do Caparaó ; Trilha Tronqueira / Terranão, perto do rio e cascata."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Euphorbiaceae","Manihot","pilosa","Pohl","EUPHORBIACEAE Manihot pilosa Pohl","CEN00044687",,"CEN","Bianchetti, L.B.","1255","Native","1992","Martins, M.","2012","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/4/46/87/cen00044687.dzi","Caparaó","Parque Nacional do Caparaó, subindo o caminho do Pico da Bandeira. Próximo da entrada para a cachoeira Bonita."
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Asteraceae","Lepidaploa","decumbens","(Gardner) H.Rob.","ASTERACEAE Lepidaploa decumbens (Gardner) H.Rob.","MBM143757",,"MBM","Hatschbach, G.","55471","Native","1991","Robinson, H.",,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/14/37/57/mbm00143757.dzi","Caparaó","Parque Nacional do Caparaó, próximo a Cachoeira Bonita"
"ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA VARGEM ALEGRE","Angiosperms","Cactaceae","Lepismium","houlletianum","(Lem.) Barthlott","CACTACEAE Lepismium houlletianum (Lem.) Barthlott","MBM149912",,"MBM","Hatschbach, G.","55545","Native","1991","Taylor, N.P.",,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/14/99/12/mbm00149912.dzi","Caparaó","Parque Nacional do Caparaó, Vale Verde"
