"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","ICN00028566","x","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,,"Estação Ecológica do Tripui"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","ICN00028567","splink","ICN","Irgang, B.E.","s.n.","Native","1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripui"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","ICN00028566","splink","ICN","Irgang, B.E.","s.n.","Native","1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripui"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Alismataceae","Echinodorus",,"Rich. ex Engelm.","ALISMATACEAE Echinodorus Rich. ex Engelm.","PEL0000121",,"PEL","Irgang, B.",,"Native","1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica de Tripuí."
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","ICN00049753","x","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,,"Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","ICN00049752","x","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,,"Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","087694","x","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,,"Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","ICN00049735","splink","ICN","Brack, P.","s.n.",,"1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","ICN00049752","splink","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","BHZB00002818","splink","BHZB","Fernandes, M.G.C.",,,"2001",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí , Trilha trem/Apiário"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","BHZB00002817",,"BHZB","Fernandes, M.G.C.",,,"2001",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí , Trilha trem/Apiário"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","BHZB00002818",,"BHZB","Fernandes, M.G.C.",,,"2001",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí , Trilha trem/Apiário"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Anacardiaceae",,,"R.Br.","ANACARDIACEAE Anacardiaceae R.Br.","012668","splink","HXBH","Nunes, S.",,,"1997",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","010133","splink","HXBH","Meyer",,"Native","1992","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","010686","splink","HXBH","Teixeira",,"Native","1992","Oliveira, V.L.","1994","Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","BHZB00000289",,"BHZB","Carmen, V.",,"Native","2002",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/2/89/bhzb00000289.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","BHZB00000288",,"BHZB","Fernandes, M.G.C.","1155","Native","2001",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/2/88/bhzb00000288.jpg","Ouro Preto","Estação Ecológica de Tripuí/Trilha estrada Igreja - Apiário"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","BHZB00000289","splink","BHZB","Carmen, V.",,"Native","2002",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ",,"Annonaceae",,,"Juss.","ANNONACEAE Annonaceae Juss.","ICN00027950","splink","ICN","Irgang, B.E.","s.n.",,"1986",,,"Latão","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","012677","splink","HXBH","Werneck.",,"Native","1997","Pedralli, G.","1996","Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","pohliana","Schltdl.","ANNONACEAE Guatteria pohliana Schltdl.","010688","splink","HXBH","Teixeira",,"Native","1993","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","pohliana","Schltdl.","ANNONACEAE Guatteria pohliana Schltdl.","010142","splink","HXBH","Oliveira",,"Native","1992","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","pohliana","Schltdl.","ANNONACEAE Guatteria pohliana Schltdl.","010137","splink","HXBH","Oliveira",,"Native","1991","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","villosissima","A.St.-Hil.","ANNONACEAE Guatteria villosissima A.St.-Hil.","011181","splink","HXBH","Oliveira",,"Native","1994","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","villosissima","A.St.-Hil.","ANNONACEAE Guatteria villosissima A.St.-Hil.","010140","splink","HXBH","Teixeira",,"Native","1993","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","villosissima","A.St.-Hil.","ANNONACEAE Guatteria villosissima A.St.-Hil.","010687","splink","HXBH","Oliveira",,"Native","1993","Freitas, V.L.O.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","villosissima","A.St.-Hil.","ANNONACEAE Guatteria villosissima A.St.-Hil.","010697","splink","HXBH","Oliveira",,"Native","1992","Freitas, V.L.O.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","villosissima","A.St.-Hil.","ANNONACEAE Guatteria villosissima A.St.-Hil.","010698","splink","HXBH","Oliveira",,"Native","1992","Oliveira, V.L.",,"Bronze","Ouro",,"Ouro Preto","Estação Ecológica do Tripuí"
