"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Polygalaceae","Caamembeca","oxyphylla","(DC.) J.F.B.Pastore","POLYGALACEAE Caamembeca oxyphylla (DC.) J.F.B.Pastore","BHZB00012267",,"BHZB","Fernandes, M.G.C.","1387","Native","2003","Pastore, J.F.B.","2017","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/22/67/bhzb00012267.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Lepidaploa","muricata","(DC.) H.Rob.","ASTERACEAE Lepidaploa muricata (DC.) H.Rob.","BHZB00004046",,"BHZB","Carmen, V.",,"Native","2002","Nakajima, J.N.",,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/40/46/bhzb00004046.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Annonaceae","Guatteria","australis","A.St.-Hil.","ANNONACEAE Guatteria australis A.St.-Hil.","BHZB00000418",,"BHZB","Fernandes, M.G.C.","1368","Native","2002","Lopes, J.C.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/4/18/bhzb00000418.jpg","Ouro Preto","Estação Ecológica do Tripuí. Trilha do Trem"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Onagraceae","Ludwigia","octovalvis","(Jacq.) P.H.Raven","ONAGRACEAE Ludwigia octovalvis (Jacq.) P.H.Raven","BHZB00011265",,"BHZB","Fernandes, M.G.C.","1374","Native","2002","Sousa, N.X.M.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/12/65/bhzb00011265.jpg","Ouro Preto","Estação Ecológica Tripuí Trilha do trem"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Melastomataceae","Microlicia","hirticalyx","R.Romero & Woodgyer","MELASTOMATACEAE Microlicia hirticalyx R.Romero & Woodgyer","BHZB00010055",,"BHZB","Souza, M.A.",,"Native","2002","Romero, R.","2022","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/0/55/bhzb00010055.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Polygalaceae","Asemeia","monninoides","(Kunth) J.F.B.Pastore & J.R.Abbott","POLYGALACEAE Asemeia monninoides (Kunth) J.F.B.Pastore & J.R.Abbott","BHZB00001485",,"BHZB","Fernandes, M.G.C.","1274","Native","2001","Mota, M.C.A.","2025","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/14/85/bhzb00001485.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Burseraceae","Protium","brasiliense","(Spreng.) Engl.","BURSERACEAE Protium brasiliense (Spreng.) Engl.","BHZB00001700",,"BHZB","Fernandes, M.G.C.","1259","Native","2001","Daly, D.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/17/0/bhzb00001700.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Celastraceae","Monteverdia","gonoclados","(Mart.) Biral","CELASTRACEAE Monteverdia gonoclados (Mart.) Biral","BHZB00005433",,"BHZB","Fernandes, M.G.C.","1158","Native","2001","Biral, L.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/54/33/bhzb00005433.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Cyperaceae","Rhynchospora","exaltata","Kunth","CYPERACEAE Rhynchospora exaltata Kunth","BHZB00002611",,"BHZB","Fernandes, M.G.C.","1255","Native","2001","Thomas, W.W.","2024","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/26/11/bhzb00002611.jpg","Ouro Preto","Estação Ecológica do Tripuí.Beira de mata."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Lythraceae","Diplusodon","buxifolius","(Cham. & Schltdl.) A.DC.","LYTHRACEAE Diplusodon buxifolius (Cham. & Schltdl.) A.DC.","BHZB00008679",,"BHZB","Carmen, V.",,"Native","2001","Cavalcanti, T.B.","2022","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/86/79/bhzb00008679.jpg","Ouro Preto","Estação Ecológica do Tripuí"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Chromolaena","laevigata","(Lam.) R.M.King & H.Rob.","ASTERACEAE Chromolaena laevigata (Lam.) R.M.King & H.Rob.","HUFU00045040",,"HUFU","Carmem, V.",,"Native","2001","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/50/40/hufu00045040.dzi","Ouro Preto","Estação Ecológica do Tripui"
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Eremanthus","incanus","(Less.) Less.","ASTERACEAE Eremanthus incanus (Less.) Less.","HUFU00046076",,"HUFU","Carvalho, M.G.","1228","Native","2001","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/60/76/hufu00046076.dzi","Ouro Preto","Estação Ecológica do Tripui; Trilha do Apiário-Villa."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Heterocondylus","pumilus","(Gardner) R.M.King & H.Rob.","ASTERACEAE Heterocondylus pumilus (Gardner) R.M.King & H.Rob.","HUFU00046409",,"HUFU","Carvalho, M.G.","1210","Native","2001","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/64/9/hufu00046409.dzi","Ouro Preto","Estação Ecológica Tripui; Trilha do apiário - vila."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Koanophyllon","thysanolepis","(B.L.Rob.) R.M.King & H.Rob.","ASTERACEAE Koanophyllon thysanolepis (B.L.Rob.) R.M.King & H.Rob.","HUFU00046699",,"HUFU","Carvalho, M.G.","1334","Native","2001","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/66/99/hufu00046699.dzi","Ouro Preto","Estação Ecológica Tripui; Próximo ao campo de futebol."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Lepidaploa","cotoneaster","(Willd. ex Spreng.) H.Rob.","ASTERACEAE Lepidaploa cotoneaster (Willd. ex Spreng.) H.Rob.","HUFU00046817",,"HUFU","Carvalho, M.G.","1198","Native","2001","Nakajima, J.N.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/68/17/hufu00046817.dzi","Ouro Preto","Estação Ecológica Tripui; Trilha do Apiário- Vila."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Asteraceae","Leptostelma","maximum","D.Don","ASTERACEAE Leptostelma maximum D.Don","HUFU00047099",,"HUFU","Carvalho, M.G.","1350","Native","2001","Heiden, G.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/4/70/99/hufu00047099.dzi","Ouro Preto","Estação Ecológica Tripui; Beira da linha do trem."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Malpighiaceae","Byrsonima","intermedia","A.Juss.","MALPIGHIACEAE Byrsonima intermedia A.Juss.","BHZB00008990",,"BHZB","Fernandes, M.G.C.","1311","Native","2001","Francener, A.","2015","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/89/90/bhzb00008990.jpg","Ouro Preto","Estaçao Ecológica do Tripuí,próximo campo futebol."
"ESTAÇÃO ECOLÓGICA TRIPUÍ","Angiosperms","Malpighiaceae","Byrsonima","variabilis","A.Juss.","MALPIGHIACEAE Byrsonima variabilis A.Juss.","BHZB00009038",,"BHZB","Fernandes, M.G.C.","1253","Native","2001","Francener, A.","2015","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/90/38/bhzb00009038.jpg","Ouro Preto","Estação Ecológica do Tripuí , Trilha do Apiário, Vila"
