"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Asteraceae","Lychnophora","pinaster","Mart.","ASTERACEAE Lychnophora pinaster Mart.","UFG0057409",,"UFG","Pinheiro, P.H.G.","203","Native","2025","Teles, A.M.","2025","Ouro","Ouro",,"Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Apocynaceae","Ditassa","linearis","Mart.","APOCYNACEAE Ditassa linearis Mart.","BHZB00019950",,"BHZB","Pinheiro, P.H.G.","205","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/50/bhzb00019950.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Bromeliaceae","Dyckia","consimilis","Mez","BROMELIACEAE Dyckia consimilis Mez","BHZB00019951",,"BHZB","Pinheiro, P.H.G.","206","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/51/bhzb00019951.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Cactaceae","Arthrocereus","glaziovii","(K.Schum.) N.P.Taylor & Zappi","CACTACEAE Arthrocereus glaziovii (K.Schum.) N.P.Taylor & Zappi","BHZB00019949",,"BHZB","Pinheiro, P.H.G.","204","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/49/bhzb00019949.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Eriocaulaceae","Paepalanthus","magalhaesii","Silveira","ERIOCAULACEAE Paepalanthus magalhaesii Silveira","BHZB00019946",,"BHZB","Pinheiro, P.H.G.","199","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/46/bhzb00019946.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Fabaceae","Chamaecrista","secunda","(Benth.) H.S.Irwin & Barneby","FABACEAE Chamaecrista secunda (Benth.) H.S.Irwin & Barneby","BHZB00019954",,"BHZB","Pinheiro, P.H.G.","210","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/54/bhzb00019954.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Bryophytes","Gesneriaceae","Sinningia","rupicola","(Mart.) Wiehler","GESNERIACEAE Sinningia rupicola (Mart.) Wiehler","BHZB00019952",,"BHZB","Pinheiro, P.H.G.","208","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/52/bhzb00019952.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Ferns and Lycophytes","Solanaceae","Calibrachoa","elegans","(Miers) Stehmann & Semir","SOLANACEAE Calibrachoa elegans (Miers) Stehmann & Semir","BHZB00019947",,"BHZB","Pinheiro, P.H.G.","201","Native","2025","Pinheiro, P.H.G.","2025","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/99/47/bhzb00019947.jpg","Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Lamiaceae","Salvia",,"L.","LAMIACEAE Salvia L.","UB0354803",,"UB","Dittrich, V.A.O.","2439","Native","2023","Dittrich, V.A.O.","2023","Bronze","Ouro",,,"Monumento Natural Estadual da Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","HUEFS0293625","splink","HUEFS","Pinheiro, P.G.","205","Native","2025",,,"Latão","Ouro",,"Nova Lima","Monumento Natural Estadual da Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Malpighiaceae","Byrsonima",,"Rich. ex Kunth","MALPIGHIACEAE Byrsonima Rich. ex Kunth","SJRP00025912","splink","SJRP","Monzoli, J.V.L.","366","Native","2021",,,"Latão","Ouro",,"Moeda","Monumento Natural Estadual Serra da Moeda, campo abaixo do estacionamento do mirante."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Verbenaceae",,,"J.St.-Hil.","VERBENACEAE Verbenaceae J.St.-Hil.","34916","x","SJRP","Monzoli, J.V.L.","365","Native","2021",,,"Latão","Ouro",,,"Monumento Natural Estadual Serra da Moeda, paredão de rocha próximo ao estacionamento do mirante."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Celastraceae","Monteverdia","gonoclados","(Mart.) Biral","CELASTRACEAE Monteverdia gonoclados (Mart.) Biral","UPCB00082500",,"UPCB","Braga, M.M.N.","291","Native",,"Carvalho-Okano, R.M.","1998","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/8/25/0/upcb00082500.dzi","Moeda","Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Fabaceae","Mimosa","pogocephala","Benth.","FABACEAE Mimosa pogocephala Benth.","BHZB00016266",,"BHZB","Spineli, G.","394","Native","2023","Dutra, V.F.","2024","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/62/66/bhzb00016266.jpg","Moeda","Serra da Moeda. muitos indivíduos dispersos pela área."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Eriocaulaceae","Paepalanthus","aequalis","(Vell.) J.F.Macbr.","ERIOCAULACEAE Paepalanthus aequalis (Vell.) J.F.Macbr.","BHZB00015622",,"BHZB","Zanetti, M.","175","Native","2022","Echternacht, L.","2024","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/56/22/bhzb00015622.jpg","Moeda","Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Eriocaulaceae","Paepalanthus","vellozioides","Körn.","ERIOCAULACEAE Paepalanthus vellozioides Körn.","BHZB00015623",,"BHZB","Zanetti, M.","179","Native","2022","Echternacht, L.","2024","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/56/23/bhzb00015623.jpg","Moeda","Serra da Moeda"
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Asteraceae","Eremanthus","syncephalus","(Sch.Bip.) Loeuille, Semir & Pirani","ASTERACEAE Eremanthus syncephalus (Sch.Bip.) Loeuille, Semir & Pirani","BHZB00016338",,"BHZB","Zaneti, M.","173","Native","2022","Teles, A.M.","2023","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/63/38/bhzb00016338.jpg","Moeda","Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Asteraceae","Mikania","glauca","Mart. ex Baker","ASTERACEAE Mikania glauca Mart. ex Baker","BHZB00016340",,"BHZB","Zaneti, M.","178","Native","2022","Teles, A.M.","2023","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/63/40/bhzb00016340.jpg","Moeda","Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Asteraceae","Pseudobrickellia","angustissima","(Spreng. ex Baker) R.M.King & H.Rob.","ASTERACEAE Pseudobrickellia angustissima (Spreng. ex Baker) R.M.King & H.Rob.","BHZB00016341",,"BHZB","Zaneti, M.","172","Native","2022","Teles, A.M.","2023","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/63/41/bhzb00016341.jpg","Moeda","Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Ferns and Lycophytes","Orchidaceae","Cattleya","caulescens","(Lindl.) Van den Berg","ORCHIDACEAE Cattleya caulescens (Lindl.) Van den Berg","BHZB00016275",,"BHZB","Zaneti, M.","169","Native","2022","Batista, J.A.N.","2023","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/62/75/bhzb00016275.jpg","Moeda","Serra da Moeda."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Orchidaceae","Habenaria","rodriguesii","Cogn.","ORCHIDACEAE Habenaria rodriguesii Cogn.","CEN00112153",,"CEN","Leite Junior, J.L.","6","Native","2017","Batista, J.A.N.","2017","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/21/53/cen00112153.dzi","Moeda","Serra da Moeda, morros a esquerda da pista em direção a Moeda, cerca de 1 km após o entroncamento com a BR-040."
"MONUMENTO NATURAL ESTADUAL SERRA DA MOEDA","Angiosperms","Rubiaceae","Cordiera","elliptica","(Cham.) Kuntze","RUBIACEAE Cordiera elliptica (Cham.) Kuntze","CEN00094470",,"CEN","Ramalho, A.J.","88","Native","2009","Delprete, P.","2018","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/9/44/70/cen00094470.dzi","Moeda","Serra da Moeda; Canga."
