"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Luetzelburgia","andradelimae","H.C.Lima","FABACEAE Luetzelburgia andradelimae H.C.Lima","UPCB00051016",,"UPCB","Cardoso, D.","4770","Native","2020",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/5/10/16/upcb00051016.dzi","Itacarambi","Entorno do Parque Nacional Cavernas do Peruaçu."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Coursetia","caatingicola","L.P.Queiroz","FABACEAE Coursetia caatingicola L.P.Queiroz","HURB000031010",,"HURB","Cardoso, D.","3710","Native","2015",,,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/31/1/0/hurb000031010.jpg","Januária","Parque Nacional Cavernas do Peruaçu"
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Goniorrhachis","marginata","Taub.","FABACEAE Goniorrhachis marginata Taub.","HUEFS00239081",,"HUEFS","Cardoso, D.","3703","Native","2015",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/23/90/81/huefs00239081.dzi","Januária","Parque Nacional Cavernas do Peruaçu."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Holocalyx","balansae","Micheli","FABACEAE Holocalyx balansae Micheli","HURB000031009",,"HURB","Cardoso, D.","3702","Native","2015",,,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/31/0/9/hurb000031009.jpg","Januária","Parque Nacional Cavernas do Peruaçu"
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Machaerium","floridum","(Mart. ex Benth.) Ducke","FABACEAE Machaerium floridum (Mart. ex Benth.) Ducke","UPCB00051945",,"UPCB","Cardoso, D.","3701","Native","2015",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/5/19/45/upcb00051945.dzi","Januária","Parque Nacional Cavernas do Peruaçu."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Machaerium","scleroxylon","Tul.","FABACEAE Machaerium scleroxylon Tul.","UPCB00051980",,"UPCB","Cardoso, D.","3719","Native","2015",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/5/19/80/upcb00051980.dzi","Januária","Parque Nacional Cavernas do Peruaçu."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Deguelia","costata","(Benth.) A.M.G.Azevedo & R.A.Camargo","FABACEAE Deguelia costata (Benth.) A.M.G.Azevedo & R.A.Camargo","HURB000031176",,"HURB","Cardoso, D.","3718","Native","2015","Queiroz, L.P.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/31/17/6/hurb000031176.jpg","Januária","Parque Nacional Cavernas do Peruaçu"
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Euphorbiaceae","Manihot","quinquepartita","Huber ex D.J.Rogers & Appan","EUPHORBIACEAE Manihot quinquepartita Huber ex D.J.Rogers & Appan","HURB000007156",,"HURB","Martins, M.L.L.","1998","Native","2013","Martins, M.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/hurb/hurb/0/0/7/15/6/hurb000007156.jpg",,"Parque Nacional Cavernas do Peruaçu."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Rhamnaceae","Colubrina","limae","Figueira","RHAMNACEAE Colubrina limae Figueira","IAN205090","splink","IAN","Figueira, M.","1977","Native",,"Figueira, M.",,"Ouro","Ouro",,"Januária","Parque Nacional Cavernas do Peruaçu,Mata seca, relevo suave-ondulado, solo vermelho."
"PARQUE NACIONAL CAVERNAS DO PERUAÇU","Angiosperms","Fabaceae","Bauhinia","holophylla","(Bong.) Steud.","FABACEAE Bauhinia holophylla (Bong.) Steud.","HUEFS0290588","splink","HUEFS","Nascimento, F.H.F.","2488","Native","2025","Queiroz, L.P.","2025","Ouro","Ouro",,"Januária","PARNA Cavernas do Peruaçu. Estrada Dolina dos Macacos."
