"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","BHCB052947","splink","BHCB","Almeida, T.E.","875","Native","2007",,"0-0-0","Latão","Ouro",,"Bocaiúva","Parque Nacional das Sempre-Vivas, Caminho entre Campos de São Domingos e a Serra do Landim passando pelo Córrego do Landi."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","SPF00097590",,"SPF","Sakuragui, C.M.","CFCR15318","Native","1994",,,"Latão","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/9/75/90/spf00097590.dzi","Buenópolis","Curimataí"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Alternanthera",,"Forssk.","AMARANTHACEAE Alternanthera Forssk.","BHCB054118","splink","BHCB","Almeida, T.E.","909","Native","2007",,"0-0-0","Latão","Ouro",,"Bocaiúva","Parque Nacional das Sempre-Vivas, Caminho entre Campos de São Domingos e a Serra do Landi, passando pelo Córrego do Landi. Campos limpos, capão de mata, campos rupestres e campos sujos."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Alternanthera",,"Forssk.","AMARANTHACEAE Alternanthera Forssk.","BHCB054120","splink","BHCB","Almeida, T.E.","893","Native","2007",,"0-0-0","Latão","Ouro",,"Bocaiúva","Parque Nacional das Sempre-Vivas, Caminho entre Campos de São Domingos e a Serra do Landi, passando pelo Córrego do Landi. Campos limpos, capão de mata, campos rupestres e campos sujos."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","9520","splink","DIAM","Costa, F.N.","2148","Native","2018",,,"Latão","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Campos São Domingos"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","8458","splink","DIAM","Coser, T.S.","1126","Native","2018",,,"Latão","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Fazenda Lameirão"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","MBM450306",,"MBM","Dutra, L.L.","228","Native","2018",,,"Latão","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","SPSF00057085","splink","SPSF","Dutra, L.L.","228","Native","2018",,,"Latão","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae",,,"A.Juss.","AMARANTHACEAE Amaranthaceae A.Juss.","HUFU00059338","splink","HUFU","Machado, F.A.","30","Native","2014",,,"Latão","Ouro",,"Olhos-d'Água","Parque Nacional das Sempre-vivas., Trilha que parte de aprox. 4km depois de Macacos em direção ao alojamneto do Parque, passando pela base da Serra do Galho e pelo vale do Rio Preto."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Gomphrena","agrestis","Mart.","AMARANTHACEAE Gomphrena agrestis Mart.","107251","x","BHCB","Almeida, T.E.","968",,"2007","Almeida, T.E.",,"Bronze","Ouro",,,"Parque Nacional das Sempre-Vivas, Região do 'Vai e volta' (Pinturas rupestres)."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Gomphrena","agrestis","Mart.","AMARANTHACEAE Gomphrena agrestis Mart.","BHCB054733","splink","BHCB","Almeida, T.E.","858",,"2007","Almeida, T.E.","2007","Bronze","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas, Caminho entre Campos de São Domingos e a Serra do Landi, passando pelo Córrego do Landi."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Gomphrena","scapigera","Mart.","AMARANTHACEAE Gomphrena scapigera Mart.","8501","splink","DIAM","Coser, T.S.C.M.","1089",,"2018","Costa, F.N.","2023","Bronze","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Fazenda Lameirão"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Pfaffia","tuberosa","(Spreng.) Hicken","AMARANTHACEAE Pfaffia tuberosa (Spreng.) Hicken","BHCB055069","splink","BHCB","Almeida, T.E.","861","Native","2007","Almeida, T.E.","2007","Bronze","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas, Caminho entre Campos de São Domingos e a Serra do Landi, passando pelo Córrego do Landi."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Amaranthaceae","Xerosiphon","aphyllus","(Pohl ex Moq.) Pedersen","AMARANTHACEAE Xerosiphon aphyllus (Pohl ex Moq.) Pedersen","W2004-0013323","splink","W","Hatschbach, G.","72218","Native","2001","Hatschbach, G.","2001","Prata","Prata",,"Buenópolis","Curimataí, arredores (Mun. Buenópolis) Minas Gerais; Alt.: 700m."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Anacardiaceae","Anacardium","humile","A.St.-Hil.","ANACARDIACEAE Anacardium humile A.St.-Hil.","8651","splink","DIAM","Coser, T.S.","1067","Native","2018","Coser, T.S.",,"Bronze","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Fazenda Lameirão. Cerrado ralo"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Anacardiaceae","Anacardium","humile","A.St.-Hil.","ANACARDIACEAE Anacardium humile A.St.-Hil.","UB0337585","splink","UB","Coser, T.S.","1067","Native","2018","Coser, T.S.",,"Bronze","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas. Fazenda Limeirão"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","HDJF00020738",,"HDJF","Costa, T.R.","4","Native","2016","Machado, E.L.M.","2016","Prata","Ouro",,"Diamantina","Parque Nacional das Sempre-Vivas, região sul, Distrito de São João da Chapada."
"PARQUE NACIONAL SEMPRE-VIVAS",,"Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","US01887061",,"US","Hatschbach, G.G.","77655",,"2004",,"2016","Latão","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/us/us/1/88/70/61/us01887061.dzi","Buenópolis","Curimatai."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","US01887061","splink","US","Hatschbach, G.","77655","Native","2004",,,"Latão","Prata",,"Buenópolis","Curimatai."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Annonaceae","Xylopia","emarginata","Mart.","ANNONACEAE Xylopia emarginata Mart.","HDJF00020751",,"HDJF","Costa, T.R.","17","Native","2016","Machado, E.L.M.","2016","Prata","Ouro",,"Diamantina","Parque Nacional das Sempre-Vivas, região sul, Distrito de São João da Chapada."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Annonaceae","Xylopia","emarginata","Mart.","ANNONACEAE Xylopia emarginata Mart.","MBM274430",,"MBM","Hatschbach, G.","73642","Native","2002","Mello-Silva, R.",,"Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/27/44/30/mbm00274430.dzi","Buenópolis","Curimataí, Rio Preto"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Annonaceae","Xylopia","emarginata","Mart.","ANNONACEAE Xylopia emarginata Mart.","CGMS01079518",,"CGMS","Hatschbach, G.","72243","Native","2001","Mello-Silva, R.","2002","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cgms/cgms/1/7/95/18/cgms01079518.dzi","Buenópolis","Curimataí, arredores."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Annonaceae","Xylopia","emarginata","Mart.","ANNONACEAE Xylopia emarginata Mart.","CESJ044339","splink","CESJ","Hatschbach, G.","73642","Native","2002","Mello-Silva, R.","2003","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Annonaceae","Xylopia","emarginata","Mart.","ANNONACEAE Xylopia emarginata Mart.","SPF00156709","splink","SPF","Hatschbach, G.","73642","Native","2002","Mello-Silva, R.","2003","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apiaceae","Klotzschia",,"Cham.","APIACEAE Klotzschia Cham.","HDJF011034 HDJF00011034","splink","HDJF","Goncalves, F.B.","44","Native","2022",,,"Latão","Ouro",,"Bocaiúva","Torre. Região da Nascente do rio Jequitaí. Parque Nacional das Sempre-Vivas (PNSV)"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Ditassa","fasciculata","E.Fourn.","APOCYNACEAE Ditassa fasciculata E.Fourn.","MBM274433","splink","MBM","Hatschbach, G.","73797","Native","2002","Rapini, A.",,"Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Ditassa","fasciculata","E.Fourn.","APOCYNACEAE Ditassa fasciculata E.Fourn.","373168","splink","SP","Hatschbach, G.","73797","Native","2002","Rapini, A.","2003","Ouro","Prata",,"Buenópolis","Curimataí, rio Preto"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Ditassa","fasciculata","E.Fourn.","APOCYNACEAE Ditassa fasciculata E.Fourn.","FURB00519","splink","FURB","Hatschbach, G.","73797","Native","2002","Rapini, A.","2003","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Ditassa","fasciculata","E.Fourn.","APOCYNACEAE Ditassa fasciculata E.Fourn.","HUEFS0072424","splink","HUEFS","Hatschbach, G.","73797","Native","2002","Rapini, A.","2003","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Ditassa","fasciculata","E.Fourn.","APOCYNACEAE Ditassa fasciculata E.Fourn.","MA-01-00780570","x","MA","Hatschbach, G.","73797","Native","2002","Rapini, A.","2003","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto (Mun. Buenópolis) Minas Gerais"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Mandevilla",,"Lindl.","APOCYNACEAE Mandevilla Lindl.","5715","splink","DIAM","Machado, F.A.","13","Native","2014",,,"Latão","Ouro",,"Olhos-d'Água","Olhos D'Água: Parque Nacional das Sempre-vivas. Fazenda Álamos, cabeceira do córrego dos Confins. Coordenadas (WGS84): 17°37'21'' S, 43°45'54'' W"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Apocynaceae","Mandevilla",,"Lindl.","APOCYNACEAE Mandevilla Lindl.","HUFU00059341","splink","HUFU","Machado, F.A.","13","Native","2014",,,"Latão","Ouro",,"Olhos-d'Água","Parque Nacional das Sempre-vivas., Fazenda dos Álamos, cabeceira do córrego dos confins."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex","affinis","Gardner","AQUIFOLIACEAE Ilex affinis Gardner","HCF000008555","splink","HCF","Hatschbach, G.","79416","Native","2005","Groppo, M.","2009","Ouro","Prata",,"Buenópolis","Curimataí"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex","affinis","Gardner","AQUIFOLIACEAE Ilex affinis Gardner","CESJ083167","splink","CESJ","Hatschbach, G.","73652","Native","2002","Groppo, M.","2009","Ouro","Prata",,"Buenópolis","Curimataí, Rio Preto"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex","affinis","Gardner","AQUIFOLIACEAE Ilex affinis Gardner","MBM308551",,"MBM","Hatschbach, G.","79416","Native","2005","Jr, M.G.","2009","Bronze","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/30/85/51/mbm00308551.dzi","Buenópolis","Curimataí"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex",,"L.","AQUIFOLIACEAE Ilex L.","UB0052426","splink","UB","Silva, S.R.","1661","Native","2019",,,"Latão","Ouro",,"Diamantina","Parque Nacional das Sempre-Vivas"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex",,"L.","AQUIFOLIACEAE Ilex L.","121635","x","CEN","Silva, S.R.","1661","Native","2019",,,"Latão","Ouro",,,"Parque Nacional das Sempre-Vivas."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Aquifoliaceae","Ilex",,"L.","AQUIFOLIACEAE Ilex L.","195374","x","BHCB","Martinelli, G.","19776","Native","2016",,,"Latão","Ouro",,,"Parque Nacional das Sempre-Vivas, Trilha entre a Pedra Redonda e Serra do Galho."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Araliaceae","Dendropanax","cuneatus","(DC.) Decne. & Planch.","ARALIACEAE Dendropanax cuneatus (DC.) Decne. & Planch.","HDJF00020742",,"HDJF","Costa, T.R.","8","Native","2016","Machado, E.L.M.","2016","Prata","Ouro",,"Diamantina","Parque Nacional das Sempre-Vivas, região norte, Município de Olhos Dágua."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae","Acritopappus","longifolius","(Gardner) R.M.King & H.Rob.","ASTERACEAE Acritopappus longifolius (Gardner) R.M.King & H.Rob.","HDJF009616 HDJF00009616","splink","HDJF","Chaves, D.A.","1314","Native","2018","Chaves, D.","2019","Bronze","Prata",,"Buenópolis","Curimatai."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae","Agrianthus","campestris","Mart. ex DC.","ASTERACEAE Agrianthus campestris Mart. ex DC.","HDJF009606 HDJF00009606","splink","HDJF","Chaves, D.A.","1265","Native","2018","Chaves, D.","2019","Bronze","Prata",,"Buenópolis","Curimatai."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae","Aldama","bracteata","(Gardner) E.E.Schill. & Panero","ASTERACEAE Aldama bracteata (Gardner) E.E.Schill. & Panero","BHCB047304","splink","BHCB","Almeida, T.E.","s.n.","Native","2007","Bueno, V.R.","2018","Bronze","Ouro",,"Buenópolis","Parque Nacional das Sempre-Vivas, Campos São Domingos. Cabeceira do Córrego São Domingos."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae","Aldama","bracteata","(Gardner) E.E.Schill. & Panero","ASTERACEAE Aldama bracteata (Gardner) E.E.Schill. & Panero","HDJF009597 HDJF00009597","splink","HDJF","Chaves, D.A.","1220","Native","2018","Chaves, D.","2019","Bronze","Prata",,"Buenópolis","Curimatai."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae","Aspilia","jolyana","G.M.Barroso","ASTERACEAE Aspilia jolyana G.M.Barroso","ESAL000028090","splink","ESAL","Mansanares, M.E.","768","Native",,"Mansanares, M.E.",,"Ouro","Ouro",,"Diamantina","São João da Chapada, Parque Nacional das Sempre-vivas"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","HDJF011000 HDJF00011000","splink","HDJF","Goncalves, F.B.","8","Native","2022",,,"Latão","Ouro",,"Buenópolis","Córrego de Lajes. Região da Nascente do rio Jequitaí. Parque Nacional das Sempre-Vivas (PNSV)"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","10903","splink","DIAM","Costa, F.N.","2130","Native","2018",,,"Latão","Ouro",,"Diamantina","Diamantina. Parque Nacional das Sempre-Vivas. Campos São Domingos, bem próximo do alojamento. Campo rupestre próximo ao córrego Curralinho ou Pau-de-Copas, nascente do rio Jequitaí. 17°54'58,4""S, 43°47'6""W, 1261 m alt."
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","10996","splink","DIAM","Coser, T.S.","882","Native","2018",,,"Latão","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Fazenda Lameirão"
"PARQUE NACIONAL SEMPRE-VIVAS","Angiosperms","Asteraceae",,,"Bercht. & J.Presl","ASTERACEAE Asteraceae Bercht. & J.Presl","10998","splink","DIAM","Coser, T.S.","1054","Native","2018",,,"Latão","Ouro",,"Buenópolis","Buenópolis. Parque Nacional das Sempre-Vivas. Fazenda Lameirão"
