"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","SPFR007823","splink","SPFR","Godoy, S.A.P.","s.n.","Native","1999",,,"Latão","Ouro",,"Jaboticatubas","Parque Nacional da Serra do Cipó, córrego Duas Pontinhas"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","RB00977749","x","RB","Delfini, C.","316","Native","2012",,,"Latão","Ouro",,,"Parque Nacional da Serra do Cipó, estrada de caesso a cachoeira da fumaça, apos o entroncamento para a trilha do Canion das bandeirinhas, entre os km 6-7 ; portaria principal."
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Justicia","serrana","Kameyama","ACANTHACEAE Justicia serrana Kameyama","168006","splink","SP","Cordeiro, I.","CFSC6080","Native","1980","Kameyama, C.",,"Ouro","Prata",,"Jaboticatubas","Serra do Cipó, Km 136"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","densa","(Nees) Hiern","ACANTHACEAE Ruellia densa (Nees) Hiern","HUEFS00184124","x","HUEFS","Faria, J.E.Q.","1369","Native","2011","Cortes, A.L.A.",,"Ouro","Ouro",,,"Parque Nacional Serra do Cipó, Alto de Palácio, cachoeira do Juquinha, em frente a estátua do Juquinha."
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","densa","(Nees) Hiern","ACANTHACEAE Ruellia densa (Nees) Hiern","20113","x","BHCB","Pereira, M.","810","Native","1992","Profice, S.R.",,"Ouro","Ouro",,,"Parque Nacional da Serra do Cipó, Região do Congonhas. Abaixo da Casa de Pedra e próximo ao Córrego Gavião. Estação 1 AQ - 27)."
"PARQUE NACIONAL SERRA DO CIPÓ",,"Acanthaceae","Ruellia","densa","(Nees) Hiern","ACANTHACEAE Ruellia densa (Nees) Hiern","224928","splink","SP","Kameyama, C.","CFSC10495",,"1987",,,"Ouro","Ouro",,"Santana do Riacho","Parque Nacional da Serra do Cipó, Serra da Bandeirinha"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","densa","(Nees) Hiern","ACANTHACEAE Ruellia densa (Nees) Hiern","497534","splink","SP","Kameyama, C.","CFSC10495","Native","1987","Kameyama, C.","2025","Ouro","Ouro",,"Santana do Riacho","Parque Nacional da Serra do Cipó, Serra da Bandeirinha, próximo à casa do IBDF"
"PARQUE NACIONAL SERRA DO CIPÓ","Ferns and Lycophytes","Acanthaceae","Ruellia","densa","(Nees) Hiern","ACANTHACEAE Ruellia densa (Nees) Hiern","MCMG002868","splink","MCMG","Mota, G.S.",,"Native",,"Santos, R.M.",,"Prata","Ouro",,"Santana do Riacho","Parque Nacional Serra do Cipó | Cedro"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","geminiflora","Kunth","ACANTHACEAE Ruellia geminiflora Kunth","224951","splink","SP","Kameyama, C.","CFSC10575","Native","1987","Kameyama, C.",,"Ouro","Ouro",,"Santana do Riacho","Parque Nacional da Serra do Cipó, Serra da Bandeirinha"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","geminiflora","Kunth","ACANTHACEAE Ruellia geminiflora Kunth","SPF00063765",,"SPF","Kameyama, C.","CFSC10497","Native","1987","Pessoa, C.S.","6/12","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/6/37/65/spf00063765.dzi","Santana do Riacho","Parque Nacional da Serra do Cipó"
"PARQUE NACIONAL SERRA DO CIPÓ","Ferns and Lycophytes","Acanthaceae","Ruellia","macrantha","(Mart. ex Nees) Hiern","ACANTHACEAE Ruellia macrantha (Mart. ex Nees) Hiern","RB00982872","x","RB","Antar, G.M.","48","Native","2012","Antar, G.M.","2012","Prata","Ouro",,,"Parque Nacional da Serra do Cipó. Trilha do Travessão."
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","macrantha","(Mart. ex Nees) Hiern","ACANTHACEAE Ruellia macrantha (Mart. ex Nees) Hiern","SPF00180615",,"SPF","Godoy, S.A.P.","1744","Native","1999","Groppo, M.","9/6","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/18/6/15/spf00180615.dzi","Jaboticatubas","Parque Nacional da Serra do Cipó"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","macrantha","(Mart. ex Nees) Hiern","ACANTHACEAE Ruellia macrantha (Mart. ex Nees) Hiern","SPF00076408",,"SPF","Giulietti, A.M.","CFSC12578","Native","1991","Giulietti, A.M.",,"Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/64/8/spf00076408.dzi","Santana do Riacho","Parque Nacional da Serra do Cipó"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","macrantha","(Mart. ex Nees) Hiern","ACANTHACEAE Ruellia macrantha (Mart. ex Nees) Hiern","216487","x","BHCB","Faria, F.S.","s.n.","Native","2023","Faria, F.S.","2023","Bronze","Ouro",,,"Parque Nacional da Serra do Cipó, Trilha do Gavião"
"PARQUE NACIONAL SERRA DO CIPÓ","Angiosperms","Acanthaceae","Ruellia","macrantha","(Mart. ex Nees) Hiern","ACANTHACEAE Ruellia macrantha (Mart. ex Nees) Hiern","RB01013414","x","RB","Godoy, S.A.P.","1744","Native","1999","Groppo, M.","2006","Bronze","Ouro",,,"Parque Nacional da Serra do Cipó. Km 7 estrada que parte da principal."
