"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","altocaririensis","Leme & L.Kollmann","BROMELIACEAE Aechmea altocaririensis Leme & L.Kollmann","RB00778434","x","RB","Leme, E.","8237","Native","2010",,,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, distrito de Talisma, Parque Estadual do Alto Cariri, Fazenda Flozino Teixeira."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","altocaririensis","Leme & L.Kollmann","BROMELIACEAE Aechmea altocaririensis Leme & L.Kollmann","RB00778614","x","RB","Leme, E.M.C.","8233","Native","2010",,,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, distrito de Talisma, Parque Estadual do Alto Cariri, Fazenda Flozino Teixeira."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","altocaririensis","Leme & L.Kollmann","BROMELIACEAE Aechmea altocaririensis Leme & L.Kollmann","RB00846780","x","RB","Leme, E.M.C.","8217","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, Santa Maria do Salto, distrito de Talismã, Parque Estadual do Alto Cariri, fazenda de Flozinho Teixeira."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","altocaririensis","Leme & L.Kollmann","BROMELIACEAE Aechmea altocaririensis Leme & L.Kollmann","RB00849740","x","RB","Leme, E.M.C.","8217","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, Santa Maria do Salto, distrito de Talismã, Parque Estadual do Alto Cariri, fazenda de Flozinho Teixeira."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","altocaririensis","Leme & L.Kollmann","BROMELIACEAE Aechmea altocaririensis Leme & L.Kollmann","745","splink","CVJBFZB","Leme, E.M.C.",,"Native","2010","Leme, E.C.M.","2011","Bronze","Ouro",,"Santa Maria do Salto","Parque Estadual Alto Cariri, Fazenda Flozino Teixeira. Distrito de Talismã. Mata nebular na crista da serra"
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","recurvipetala","Leme & L.Kollmann","BROMELIACEAE Aechmea recurvipetala Leme & L.Kollmann","RB00849733","x","RB","Leme, E.M.C.","8207","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com Bahia, Distrito Talismã, RPPN Fazenda Duas Barras divisa com Parque Estadual Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","recurvipetala","Leme & L.Kollmann","BROMELIACEAE Aechmea recurvipetala Leme & L.Kollmann","RB00849734","x","RB","Leme, E.M.C.","8207","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com Bahia, Distrito Talismã, RPPN Fazenda Duas Barras divisa com Parque Estadual Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","recurvipetala","Leme & L.Kollmann","BROMELIACEAE Aechmea recurvipetala Leme & L.Kollmann","RB00846845","x","RB","Leme, E.M.C.","8207","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com Bahia, Distrito Talismã, RPPN Fazenda Duas Barras divisa com Parque Estadual Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","recurvipetala","Leme & L.Kollmann","BROMELIACEAE Aechmea recurvipetala Leme & L.Kollmann","RB00778490","x","RB","Leme, E.","8192","Native","2010",,,"Ouro","Ouro",,,"Próximo a divisa com Bahia, Distrito Talismã, RPPN Fazenda Duas Barras divisa com Parque Estadual Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Aechmea","recurvipetala","Leme & L.Kollmann","BROMELIACEAE Aechmea recurvipetala Leme & L.Kollmann","HB000096081","splink","HB","Leme, E.M.C.","8207","Native","2010","Leme, E.M.C.","2010","Ouro","Ouro",,"Santa Maria do Salto","Próximo a divisa com Bahia, Distrito Talismã, RRPN Fazenda Duas Barras divisa com o Parque Estadual Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Hohenbergia","loredanoana","Leme & L.Kollmann","BROMELIACEAE Hohenbergia loredanoana Leme & L.Kollmann","RB00778781","x","RB","Leme, E.M.C.","8193","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, distrito de Talisma, RPPN Fazenda Duas Barras divisa com o Parque Estadual do Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Hohenbergia","loredanoana","Leme & L.Kollmann","BROMELIACEAE Hohenbergia loredanoana Leme & L.Kollmann","RB00778607","x","RB","Leme, E.M.C.","8193","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, distrito de Talisma, RPPN Fazenda Duas Barras divisa com o Parque Estadual do Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Bromeliaceae","Hohenbergia","loredanoana","Leme & L.Kollmann","BROMELIACEAE Hohenbergia loredanoana Leme & L.Kollmann","RB00778780","x","RB","Leme, E.M.C.","8193","Native","2010","Leme, E.",,"Ouro","Ouro",,,"Próximo a divisa com a Bahia, distrito de Talisma, RPPN Fazenda Duas Barras divisa com o Parque Estadual do Alto Cariri."
"PARQUE ESTADUAL ALTO DO CARIRI","Angiosperms","Fabaceae","Senegalia","tenuifolia","(L.) Britton & Rose","FABACEAE Senegalia tenuifolia (L.) Britton & Rose","71086","x","HUFU","Terra, V.","653","Native","2012","Terra, V.","2012","Bronze","Ouro",,,"Parque Estadual Alto Cariri"
