"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Amaranthaceae","Gomphrena",,"L.","AMARANTHACEAE Gomphrena L.","RB01478422","x","RB","Verdi, M.","8271","Native","2022",,,"Latão","Ouro",,,"Campina. Parque Estadual de Botumirim"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Amaranthaceae","Gomphrena",,"L.","AMARANTHACEAE Gomphrena L.","HUEFS0285306","splink","HUEFS","Verdi, A.","8271","Native","2022",,,"Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Amaranthaceae","Gomphrena",,"L.","AMARANTHACEAE Gomphrena L.","HUEFS0288600","splink","HUEFS","Verdi, M.","8407","Native","2022",,,"Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim. Campina."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Anacardiaceae","Tapirira",,"Aubl.","ANACARDIACEAE Tapirira Aubl.","RB01478528","x","RB","Verdi, M.","8377","Native","2022",,,"Latão","Ouro",,,"Campina. Parque Estadual de Botumirim"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Anacardiaceae","Tapirira",,"Aubl.","ANACARDIACEAE Tapirira Aubl.","MBM449381",,"MBM","Verdi, M.","8377","Native","2022",,"2023","Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim. Campina."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Anemiaceae","Anemia",,"Sw.","ANEMIACEAE Anemia Sw.","HUEFS0266709","splink","HUEFS","Verdi, M.","8511","Native","2022",,,"Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim. Margem direita do Rio do Peixe."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa","cordeiroana","Fontella","APOCYNACEAE Ditassa cordeiroana Fontella","RB01478659","x","RB","Verdi, M.","8509","Native","2022","Verdi, M.","2022","Bronze","Ouro",,,"Margem direita Rio do Peixe. Parque Estadual de Botumirim"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa","pohliana","E.Fourn.","APOCYNACEAE Ditassa pohliana E.Fourn.","286430","x","HUEFS","Verdi, A.","8247","Native","2022","Moreira, M.S.","2025","Bronze","Ouro",,,"Parque Estadual de Botumirim."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","RB01478389","x","RB","Verdi, M.","8238","Native","2022",,,"Latão","Ouro",,,"Campina. Parque Estadual de Botumirim"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","10175","splink","DIAM","Verdi, M.","8195","Native","2022",,,"Latão","Ouro",,"Botumirim","Botumirim. Parque Estadual de Botumirim. Campina.. Elev.: 1248 m. Campo rupestre, com solo areno-pedregoso, areia branca"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","CEN00124849","splink","CEN","Verdi, M.","8282","Native","2022",,"2022","Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa",,"R.Br.","APOCYNACEAE Ditassa R.Br.","CEN00124850","splink","CEN","Verdi, M.","8283","Native","2022",,"2022","Latão","Ouro",,"Botumirim","Parque Estadual de Botumirim."
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa","retusa","Mart.","APOCYNACEAE Ditassa retusa Mart.","RB01478346","x","RB","Verdi, M.","8195","Native","2022","Rapini",,"Ouro","Ouro",,,"Campina. Parque Estadual de Botumirim"
"PARQUE ESTADUAL BOTUMIRIM","Angiosperms","Apocynaceae","Ditassa","retusa","Mart.","APOCYNACEAE Ditassa retusa Mart.","RB01478433","x","RB","Verdi, M.","8282","Native","2022","Rapini, A.",,"Ouro","Ouro",,,"Campina. Parque Estadual de Botumirim"
