"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Passifloraceae","Passiflora","amethystina","J.C.Mikan","PASSIFLORACEAE Passiflora amethystina J.C.Mikan","UPCB0022567",,"UPCB","Andrade, P.M.","1142","Native",,"Imig, D.C.","2012","Ouro","Ouro","imagens4.jbrj.gov.br/fsi/server?type=image&source=u/upcb/UPCB/UPCB 2016-17/output_032017_jpg/UPCB0022567.JPG","Lima Duarte","Parque Estadual do Ibitipoca."
"PARQUE ESTADUAL IBITIPOCA","Ferns and Lycophytes","Lauraceae","Aiouea","albopunctata","Brotto","LAURACEAE Aiouea albopunctata Brotto","UPCB00053782",,"UPCB","Brotto, M.L.","4297","Native","2021","Brotto, M.L.","2023","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/5/37/82/upcb00053782.dzi","Lima Duarte","Parque Estadual do Ibitipoca, Mata Grande."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Orchidaceae","Gomesa","warmingii","(Rchb.f.) M.W.Chase & N.H.Williams","ORCHIDACEAE Gomesa warmingii (Rchb.f.) M.W.Chase & N.H.Williams","BHZB00016410",,"BHZB","Lopes, A.D.C.","44","Unknown","2021","Batista, J.A.N.","2022","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/1/64/10/bhzb00016410.jpg","Lima Duarte","Indivíduo localizado em área arbustivo-arbórea nebular, próximo a pequeno dreno natural. Parque Estadual do Ibitipoca"
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Gesneriaceae","Anetanthus","gracilis","Hiern","GESNERIACEAE Anetanthus gracilis Hiern","UALF00005646",,"UALF","Perret, M.","329","Native","2019","Chautems, A.","2019","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ualf/ualf/0/0/56/46/ualf00005646.jpg",,
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Gesneriaceae","Nematanthus","strigillosus","(Mart.) H.E.Moore","GESNERIACEAE Nematanthus strigillosus (Mart.) H.E.Moore","UALF00005643",,"UALF","Perret, M.","327","Native","2019","Chautems, A.","2019","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ualf/ualf/0/0/56/43/ualf00005643.jpg",,
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Gesneriaceae","Sinningia","tuberosa","(Mart.) H.E.Moore","GESNERIACEAE Sinningia tuberosa (Mart.) H.E.Moore","UALF00005642",,"UALF","Perret, M.","326","Native","2019","Chautems, A.","2019","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ualf/ualf/0/0/56/42/ualf00005642.jpg",,
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Gesneriaceae","Vanhouttea","hilariana","Chautems","GESNERIACEAE Vanhouttea hilariana Chautems","UALF00005645",,"UALF","Perret, M.","328","Native","2019","Chautems, A.","2019","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/ualf/ualf/0/0/56/45/ualf00005645.jpg",,
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Annonaceae","Guatteria","pohliana","Schltdl.","ANNONACEAE Guatteria pohliana Schltdl.","R010061965",,"R","Sadala-Castilho, R.","12","Native","2018","Lobao, A.","2020","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/61/96/5/r010061965.jpg","Lima Duarte","Parque Estadual de Ibitipoca, trilha cachoeira dos Macacos."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Gentianaceae","Calolisianthus","pedunculatus","(Cham. & Schltdl.) Gilg","GENTIANACEAE Calolisianthus pedunculatus (Cham. & Schltdl.) Gilg","SPF00226808",,"SPF","Marquete, R.","4421","Native","2014","Guimaraes, E.F.","8/14","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/22/68/8/spf00226808.dzi","Lima Duarte","Parque Estadual do Ibitipoca"
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Myrtaceae","Myrcia","subcordata","DC.","MYRTACEAE Myrcia subcordata DC.","SPF00223209",,"SPF","Marquete, R.","4394","Native","2014","Santos, M.F.","8/18","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/22/32/9/spf00223209.dzi","Lima Duarte","Parque Estadual de Ibitipoca. Passa a entrada dos carros, lado oposto ao restaurante, próximo ao poste de energia."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Fabaceae","Machaerium","glabrum","Vogel","FABACEAE Machaerium glabrum Vogel","IBGE00077971",,"IBGE","Marquete, R.","4404","Native","2014","Filardi, F.L.R.","2015","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/7/79/71/ibge00077971.dzi","Lima Duarte","Parque Estadual de Ibitipoca. Distrito de Conceição do Ibitipoca. Na estrada que da acesso ao portão de entrada do Parque. (ca. 20 m deste)."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Primulaceae","Myrsine","emarginella","Miq.","PRIMULACEAE Myrsine emarginella Miq.","CEN00120976",,"CEN","Freitas, M.F.","435","Native","2014","Freitas, M.F.","2014","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/9/76/cen00120976.dzi","Lima Duarte","Parque Estadual do Ibitipoca. Trilha para Monjolinho."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Primulaceae","Myrsine","gardneriana","A.DC.","PRIMULACEAE Myrsine gardneriana A.DC.","CEN00120977",,"CEN","Freitas, M.F.","439","Native","2014","Freitas, M.F.","2014","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/9/77/cen00120977.dzi","Lima Duarte","Parque Estadual do Ibitipoca. Trilha para Pico do Pião."
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Rubiaceae","Cordiera","elliptica","(Cham.) Kuntze","RUBIACEAE Cordiera elliptica (Cham.) Kuntze","IBGE00077956",,"IBGE","Marquete, R.","4412","Native","2014","Gomes, M.","2014","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ibge/ibge/0/7/79/56/ibge00077956.dzi","Lima Duarte","Distrito de Conceição do Ibitipoca. Na estrada que dá acesso ao cruzeiro, próximo ao cruzeiro, lado direito em direção a gruta. Folha Cartográfica SF-23-X-C Coordenada Coletada. Parque Estadual de Ibitipoca"
"PARQUE ESTADUAL IBITIPOCA","Angiosperms","Passifloraceae","Passiflora","campanulata","Mast.","PASSIFLORACEAE Passiflora campanulata Mast.","UPCB0021776",,"UPCB","Imig, D.C.","114","Native","2013","Imig, D.C.",,"Ouro","Ouro","imagens4.jbrj.gov.br/fsi/server?type=image&source=u/upcb/UPCB/UPCB 2016-17/output_032017_jpg/UPCB0021776.JPG","Lima Duarte","Parque Estadual de Ibitipoca. Sobre formação rochosa em concentração de matéria orgânica."
