"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ITACOLOMI",,"Alstroemeriaceae","Alstroemeria","ligtu","L.","ALSTROEMERIACEAE Alstroemeria ligtu L.","OUPR000001308",,"OUPR","Roschel, M.B.","s.n.",,"1994","Messias, M.C.T.B.",,"Bronze","Ouro",,"Ouro Preto","Parque Estadual do Itacolomi. Serra do Baú."
"PARQUE ESTADUAL ITACOLOMI",,"Amaranthaceae","Hebanthe","eriantha","(Poir.) Pedersen","AMARANTHACEAE Hebanthe eriantha (Poir.) Pedersen","OUPR000036987","splink","OUPR","Pedrosa, L.G.","3447",,"2021","Pedrosa, L.G.","2021","Bronze","Ouro",,,"Parque Estadual do Itacolomi."
"PARQUE ESTADUAL ITACOLOMI",,"Aneuraceae","Riccardia","chamedryfolia","(With.) Grolle","ANEURACEAE Riccardia chamedryfolia (With.) Grolle","61462","splink","HUCS","Gonzatti, F.","9092",,"2026","Peralta, D.F.","2026","Bronze","Ouro",,"Ouro Preto","Parque Estadual do Itacolomi. Trilha para a subida ao Pico. Subida para o Pico, a partir do Museu do Chá e Platô"
"PARQUE ESTADUAL ITACOLOMI",,"Apocynaceae","Cryptothecia","rubrocincta","(Ehrenb.) G. Thor","APOCYNACEAE Cryptothecia rubrocincta (Ehrenb.) G. Thor","29172","splink","UFP","Sanders, W.B.","UFP992025",,"1999",,"0-0-0","Latão","Ouro",,"Ouro Preto","Parque Estadual de Itacolomi. Margem estrada subindo do centro administrativo."
"PARQUE ESTADUAL ITACOLOMI","Angiosperms","Apocynaceae","Hancornia",,"Gomes","APOCYNACEAE Hancornia Gomes","19488A","x","VIC","Araujo, R.S.","s.n.",,"2007",,,"Latão","Ouro",,,"Parque Estadual do Itacolomi (PEI), Estrada da Lagoa Seca. Crescendo entre as fissuras da rocha em campo rupestre."
"PARQUE ESTADUAL ITACOLOMI",,"Aquifoliaceae","Ilex","vitis-idaea","Loes.","AQUIFOLIACEAE Ilex vitis-idaea Loes.","OUPR000034688","splink","OUPR","Pedrosa, L.G.","2157",,"2019","Pedrosa, L.G.","2019","Bronze","Ouro",,"Ouro Preto","Parque Estadual do Itacolomi. Cascabulho."
"PARQUE ESTADUAL ITACOLOMI",,"Araceae","Phyllobaeis","rubescens","(Vain.) Kalb","ARACEAE Phyllobaeis rubescens (Vain.) Kalb","29263","splink","UFP","Sanders, W.B.","UFP992035",,"1999",,"0-0-0","Latão","Ouro",,"Ouro Preto","Parque Estadual de Itacolomi. Cume de morro com torres de telecomunicação."
"PARQUE ESTADUAL ITACOLOMI","Angiosperms","Araliaceae","Schefflera",,"J.R.Forst. & G.Forst.","ARALIACEAE Schefflera J.R.Forst. & G.Forst.","RB00048546","x","RB","Peron, M.","74",,"1987",,,"Latão","Ouro",,,"Parque Estadual do Itacolomi. Parque Estadual do Itacolomi"
"PARQUE ESTADUAL ITACOLOMI",,"Arecaceae","Dictyonema","glabratum","(Spreng.) D. Hawksw.","ARECACEAE Dictyonema glabratum (Spreng.) D. Hawksw.","29164","splink","UFP","Sanders, W.B.","UFP992021",,"1999",,"0-0-0","Latão","Ouro",,"Ouro Preto","Parque Estadual de Itacolomi. Margem estrada subindo do centro administrativo."
"PARQUE ESTADUAL ITACOLOMI",,"Arecaceae","Dictyonema","glabratum","(Spreng.) D. Hawksw.","ARECACEAE Dictyonema glabratum (Spreng.) D. Hawksw.","29201","splink","UFP","Sanders, W.B.","UFP992033",,"1999",,"0-0-0","Latão","Ouro",,"Ouro Preto","Parque Estadual de Itacolomi. Cume de morro com torres de telecomunicação."
