"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","hirta","(Klotzsch) Wassh.","ACANTHACEAE Aphelandra hirta (Klotzsch) Wassh.","BHCB052798","splink","BHCB","Mota, R.C.","1617","Native","2002","Mota, R.C.","0-0-0","Bronze","Ouro",,"Marliéria","Parque Estadual do Rio Doce"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","hirta","(Klotzsch) Wassh.","ACANTHACEAE Aphelandra hirta (Klotzsch) Wassh.","US02867065","splink","US","Lombardi, J.A.","1582","Native","1997",,,"Latão","Ouro",,,"Trilha de Lagoa Preta, Parque Estadual do Rio Doce, Marliéra-MG."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","18873","x","VIC","Bortoluzzi, R.L.C.","187","Native","1998","Profice, S.R.",,"Ouro","Ouro",,,"Parque Estadual do Rio Doce (PERD), Trilha da Lagoa do Meio."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","RB00712100","x","RB","Bovini, M.G.","1519","Native","1998","Profice, S.",,"Ouro","Ouro",,,"trilha da Campolina. Parque Estadual do Rio Doce"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","32802","x","BHCB","Lombardi, J.A.","1265","Native","1996","Profice, S.R.",,"Ouro","Ouro",,,"Parque Estadual do Rio Doce"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","BHCB052871","splink","BHCB","Costa, L.V.","s.n.","Native","1994","Wasshausen, D.","1997","Ouro","Ouro",,"Marliéria","Parque Estadual do Rio Doce, Trilha do Vinhático."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","BHCB052870","splink","BHCB","Grandi, T.S.M.","s.n.","Native","1988","Kameyama, C.","1999","Ouro","Ouro",,"Marliéria","Parque Estadual do Rio Doce"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Chamaeranthemum","beyrichii","Nees","ACANTHACEAE Chamaeranthemum beyrichii Nees","BHZB00000007",,"BHZB","Ordones, J.","1762","Native","2006","Giacomim, L.","2006","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/bhzb/bhzb/0/0/0/7/bhzb00000007.jpg","Marliéria","Parque Estadual do Rio Doce, Campolina"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Chamaeranthemum","beyrichii","Nees","ACANTHACEAE Chamaeranthemum beyrichii Nees","MBM420875",,"MBM","Mazziero, F.F.F.","4148","Native","2019","Mazziero, F.F.F.","2019","Bronze","Ouro",,"Marliéria","Parque Estadual do Rio Doce."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Chamaeranthemum","beyrichii","Nees","ACANTHACEAE Chamaeranthemum beyrichii Nees","PERD01097","splink","PERD","Ordones, J.","1762","Native","2006",,,"Latão","Ouro",,"Marliéria","Parque Estadual do Rio Doce, Trilha da Campolina"
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Chamaeranthemum","beyrichii","Nees","ACANTHACEAE Chamaeranthemum beyrichii Nees","US 3433692","x","US","Lombardi, J.A.","3351","Native","1999",,,"Latão","Ouro",,,"Brasil. Parque Estadual do Rio Doce, Marliéra-MG, trilha da Campolina."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Justicia","scheidweileri","V.A.W.Graham","ACANTHACEAE Justicia scheidweileri V.A.W.Graham","RB00692640","x","RB","Bovini, M.G.","1523","Native","1998","Profice",,"Ouro","Ouro",,,"Parque Estadual do Rio Doce trilha da Campolina."
"PARQUE ESTADUAL RIO DOCE","Angiosperms","Acanthaceae","Justicia","scheidweileri","V.A.W.Graham","ACANTHACEAE Justicia scheidweileri V.A.W.Graham","19235","x","VIC","Bortoluzzi, R.L.C.","91","Native","1998","Braz, D.M.","1999","Ouro","Ouro",,,"Parque Estadual do Rio Doce (PERD), Trilha da Mombaça."
