"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Asteraceae","Baccharis","itatuauae","Wawra","ASTERACEAE Baccharis itatuauae Wawra","UFG0061555","splink","UFG","Mendonca, J.G.F.","221",,"2016","Teles, A.M.","2017","Ouro","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","CESJ067592","splink","CESJ","Mendonca, J.G.F.","224",,"2016","Trevisan, R.","2016","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Pico do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","FLOR0064708","splink","FLOR","Mendonca, J.G.F.","224",,"2016","Trevisan, R.","2016","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Pico do Papagaio. Coordenadas originais apontam à cidade de Aiuruoca - MG em vez da informada na ficha (Baependi)."
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","BHCB060791","splink","BHCB","Viana, P.L.","3269",,"2007","Alves, K.","2022","Bronze","Ouro",,"Alagoa","Parque Estadual da Serra do Papagaio, Subida para a Pedra do Garrafão, da pousada Campo de Altitude"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Lamiaceae","Inocephalus",,,"LAMIACEAE Inocephalus sp.","FVD00025","splink","FVD",,,,"2015","Karstedt, F.","2015","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Melastomataceae","Pleroma","oleifolia","(DC.) R.Romero & Versiane","MELASTOMATACEAE Pleroma oleifolia (DC.) R.Romero & Versiane","209616","x","BHCB","Dittrich, V.A.O.","2019",,"2015","Justino, L.L.",,"Bronze","Ouro",,,"Parque Estadual da Serra do Papagaio, Estrada de acesso à sede (Fazenda Santa Rita)"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Melastomataceae","Tibouchina","faveolata","(Naud.) Cogn.","MELASTOMATACEAE Tibouchina faveolata (Naud.) Cogn.","CESJ062513","splink","CESJ","Santiago, D.S.","490",,"2013","Justino, L.L.","0-0-0","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária, próximo a antiga estrada para Alagoa."
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Melastomataceae","Tibouchina","faveolata","(Naud.) Cogn.","MELASTOMATACEAE Tibouchina faveolata (Naud.) Cogn.","CESJ062945","splink","CESJ","Santiago, D.S.","567",,"2013","Justino, L.L.","2013","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária proxima a antiga estrada para Alagoa"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Melastomataceae","Tibouchina","faveolata","(Naud.) Cogn.","MELASTOMATACEAE Tibouchina faveolata (Naud.) Cogn.","CESJ061120","splink","CESJ","Santiago, D.S.","373",,"2012","Justino, L.L.","2013","Bronze","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Interior da Mata de Araucária, localizada a 1.800 - 2.000 metros de altitude."
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,,"Amanita",,,"NA Amanita sp.","SHPR-FUNGOS003704",,"SHPR-FUNGOS","Biral, L.","4003",,"2022",,,"Latão","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio. Contorno de morro floresta, a partir de subida para o Chapadão do Baependi, e volta acessando a trilha da Cachoeira do Charco. Parque Estadual da Serra do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,,"Amanita",,"Pers.","NA Amanita sp. Pers.","SHPR003704","splink","SHPR","Biral, L.","4003",,"2022",,,"Latão","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Onagraceae","Schradera|Fuchsia",,"Vahl|L.","ONAGRACEAE Schradera Vahl|Fuchsia L.","CESJ065857","splink","CESJ","Ribeiro, J.H.C.","462",,"2014",,"0-0-0","Latão","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Fazenda Santa Rita"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Orchidaceae","Oncidium","barceniae","Lindl.","ORCHIDACEAE Oncidium barceniae Lindl.","CESJ067422","splink","CESJ","Mendonca, J.G.F.","151",,"2015","Menini Neto, L.","2016","Ouro","Ouro",,"Baependi","Parque Estadual da Serra do Papagaio, Trilha para a Serra da Careta"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Rosaceae|Asteraceae","Agrimonia|Eupatorium",,"L.","ROSACEAE|ASTERACEAE Agrimonia L.|Eupatorium L.","R010061593",,"R","Alves, R.J.V.","s/n",,"2012",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/61/59/3/r010061593.jpg",,"Trilha para cachoeira Aiuruoca. Parque Estadual da Serra do Papagaio"
"PARQUE ESTADUAL SERRA DO PAPAGAIO",,"Rosaceae|Asteraceae","Agrimonia|Eupatorium",,"L.","ROSACEAE|ASTERACEAE Agrimonia L.|Eupatorium L.","R010061593","splink","R","Alves, R.J.V.","s.n.",,"2012",,,"Latão","Ouro",,,"Parque Estadual da Serra do Papagaio"
