"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Acanthaceae","Indet",,,"ACANTHACEAE Indet. sp.","BHCB052860","splink","BHCB","Salino, A.","10378",,"2005",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Trilha da mata."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Acanthaceae","Pogonospermum","laetum","(S.Moore) I.Darbysh. & Kiel","ACANTHACEAE Pogonospermum laetum (S.Moore) I.Darbysh. & Kiel","BHCB053040","splink","BHCB","Salino, A.","10381",,"2005","Echternacht, L.A.","2006","Bronze","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Anemiaceae","Indet",,,"ANEMIACEAE Indet. sp.","BHCB01107442",,"BHCB","Salino, A.","9641",,"2004",,,"Latão","Ouro",,,"RPPN Mata Samuel de Paula."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","99670","splink","BHCB","Salino, A.","10625",,"2005",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","BHCB006330","splink","BHCB","Salino, A.","9665",,"2004",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Trilha principal que atravessa a Reserva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Asteraceae","Indet",,,"ASTERACEAE Indet. sp.","BHCB006345","splink","BHCB","Salino, A.","9657",,"2004",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Trilha principal que atravessa a Reserva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","100997","x","BHCB","Salino, A.","9650",,"2004",,,"Latão","Ouro",,,"RPPN Mata Samuel de Paula, Trilha principal que atravessa a Reserva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA","Ferns and Lycophytes","Dennstaedtiaceae","Hypolepis","aquilinaris","(Fée) Christ","DENNSTAEDTIACEAE Hypolepis aquilinaris (Fée) Christ","99616","splink","BHCB","Salino, A.","10571",,"2005","Salino, A.","2005","Bronze","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA","Angiosperms","Lamiaceae","Vitex",,"Tour. ex L.","LAMIACEAE Vitex Tour. ex L.","101061","x","BHCB","Salino, A.","9877",,"2004",,,"Latão","Ouro",,,"RPPN Mata Samuel de Paula, Na trilha principal que atravessa a Reserva"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA","Angiosperms","Malpighiaceae","Tetrapterys",,"Cav.","MALPIGHIACEAE Tetrapterys Cav.","99658","x","BHCB","Salino, A.","10613",,"2005",,,"Latão","Ouro",,,"RPPN Mata Samuel de Paula"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Oxalidaceae","Indet",,,"OXALIDACEAE Indet. sp.","BHCB069125","splink","BHCB","Salino, A.","10624",,"2005",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Phyllanthaceae","Indet",,,"PHYLLANTHACEAE Indet. sp.","BHCB042742","splink","BHCB","Salino, A.","10629",,"2005",,"2011","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Fragmento de Florestal Estacional Semidecidual Montana. Córrego dos Cristais."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Phyllanthaceae","Indet",,,"PHYLLANTHACEAE Indet. sp.","BHCB058787","splink","BHCB","Salino, A.","9658",,"2004",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Na trilha principal que atravessa a Reserva. Floresta Estacional Semidecidual Montana."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA","Angiosperms","Plantaginaceae",,,"Juss.","PLANTAGINACEAE Plantaginaceae Juss.","99428","x","BHCB","Salino, A.","10383",,"2005","Sobral, M.","2018","Prata","Ouro",,,"RPPN Mata Samuel de Paula, Fragmento de Floresta Estacional Semidecidual Montana"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Rubiaceae","Indet",,,"RUBIACEAE Indet. sp.","BHCB012262","splink","BHCB","Salino, A.","9872",,"2004","Delprete, P.G.","2012","Ouro","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Na trilha principal que atravessa a Reserva."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA SAMUEL DE PAULA",,"Urticaceae","Phenax","orgunense","Glaz.","URTICACEAE Phenax orgunense Glaz.","99398","splink","BHCB","Salino, A.","10353",,"2005",,"0-0-0","Latão","Ouro",,"Nova Lima","RPPN Mata Samuel de Paula, Na trilha principal que corta a mata."
