"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Urochloa","brizantha","(Hochst. ex A.Rich.) R.D.Webster","POACEAE Urochloa brizantha (Hochst. ex A.Rich.) R.D.Webster","IBGE00048970","splink","IBGE","Lemos, M.T.O.","s.n","Native","1999","Filgueiras, T.S.","2003","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Vereda 4. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Paspalum","lineare","Trin.","POACEAE Paspalum lineare Trin.","IBGE00046190","splink","IBGE","Barbosa, A.A.A.","1067","Native","1998","Filgueiras, T.S.","1999","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Vereda 3. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Setaria","paucifolia","(Morong) Lindm.","POACEAE Setaria paucifolia (Morong) Lindm.","IBGE00046161","splink","IBGE","Araujo, G.M.","2197","Native","1998","Filgueiras, T.S.","1999","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga, meio direito da Vereda 4. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Paspalum","dedeccae","Quarín","POACEAE Paspalum dedeccae Quarín","IBGE00046231","splink","IBGE","Araujo, G.M.","1797","Native","1997","Oliveira, R.C.","2004","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Paspalum","polyphyllum","Nees","POACEAE Paspalum polyphyllum Nees","IBGE00046191","splink","IBGE","Cardoso, G.L.","s.n","Native","1997","Oliveira, R.C.","2004","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Vereda Sul. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Eriochrysis","holcoides","(Nees) Kuhlm.","POACEAE Eriochrysis holcoides (Nees) Kuhlm.","IBGE00046215","splink","IBGE","Araujo, G.M.","1795","Native","1997","Filgueiras, T.S.","1999","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Aristida","riparia","Trin.","POACEAE Aristida riparia Trin.","IBGE00032997","splink","IBGE","Barbosa, A.A.A.","846 B","Native","1994","Filgueiras, T.S.","1994","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Sorghastrum","minarum","(Nees) Hitchc.","POACEAE Sorghastrum minarum (Nees) Hitchc.","IBGE00033000","splink","IBGE","Barbosa, A.A.A.","847","Native","1994","Filgueiras, T.S.","1994","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Eragrostis","solida","Nees","POACEAE Eragrostis solida Nees","IBGE00033001","splink","IBGE","Barbosa, A.A.A.","507","Native","1992","Filgueiras, T.S.",,"Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Coordenada calculada. RPPN Reserva Ecológica Panga"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA DO PANGA","Angiosperms","Poaceae","Anthaenantia","lanata","(Kunth) Benth.","POACEAE Anthaenantia lanata (Kunth) Benth.","IBGE00032393","splink","IBGE","Feep","329","Native","1992","Filgueiras, T.S.","1999","Ouro","Ouro",,"Uberlândia","Estação Ecológica do Panga. Folha SE-22-Z-B. Coordenada calculada. RPPN Reserva Ecológica Panga"
