"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Orchidaceae","Cleistes","exilis","Hoehne","ORCHIDACEAE Cleistes exilis Hoehne","CEN00113086",,"CEN","Batista, J.A.N.","3581","Native","2018","Batista, J.A.N.","2018","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/30/86/cen00113086.dzi","Catas Altas","RPPN Santuário do Caraça, Campo de Fora."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Lamiaceae",,,"Martinov","LAMIACEAE Lamiaceae Martinov","HUEFS00239626",,"HUEFS","Antar, G.M.","1423","Native","2017",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/huefs/huefs/0/23/96/26/huefs00239626.dzi","Catas Altas","Reserva Particular do Patrimônio Natural Santuário do Caraça. Trilha para o Pico da Conceição."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Lamiaceae","Hyptidendron","claussenii","(Benth.) Harley","LAMIACEAE Hyptidendron claussenii (Benth.) Harley","CEN00124233",,"CEN","Antar, G.M.","1429","Native","2017","Antar, G.M.","2017","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/12/42/33/cen00124233.dzi","Catas Altas","Reserva Particular do Patrimônio Natural Santuário do Caraça. Trilha para o Mirante da Piscina (Mirante do Caraça)."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Fabaceae","Centrosema",,"(DC.) Benth.","FABACEAE Centrosema (DC.) Benth.","HUFU00071233",,"HUFU","Lima, H.C.","8234","Native","2016",,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/12/33/hufu00071233.dzi","Catas Altas","RPPN Santuário do Caraça. Santuário do Caraça, km 16-18 após portão de entrada para o mosteiro.."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Asteraceae","Dasyphyllum","sprengelianum","(Gardner) Cabrera","ASTERACEAE Dasyphyllum sprengelianum (Gardner) Cabrera","HUFU00071746",,"HUFU","Castro, M.","224","Native","2016","Nakajima, J.N.","2019","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/17/46/hufu00071746.dzi","Catas Altas","RPPN Santuário do Caraça. Trilha caminho para a capelinha.. Afloramento rochoso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Eriocaulaceae","Paepalanthus","mollis","Kunth","ERIOCAULACEAE Paepalanthus mollis Kunth","HUFU00060706",,"HUFU","Echternacht, L.","1939","Native","2016","Echternacht, L.","2016","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/6/7/6/hufu00060706.dzi","Catas Altas","RPPN Santuário do Caraça ; Caminho para o Pico do Sol."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Fabaceae","Mimosa","aurivillus","Mart.","FABACEAE Mimosa aurivillus Mart.","ALCB041052",,"ALCB","Lima, H.C.","8238","Native","2016","Lima, H.C.","2016","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/10/52/alcb00041052.dzi","Catas Altas","RPPN Santuário do Caraça. Santuário do Caraça, trilha para a Cascatinha."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Angiosperms","Fabaceae","Mimosa","aurivillus","Mart.","FABACEAE Mimosa aurivillus var. aurivillus Mart.","CEN00111731",,"CEN","Lima, H.C.","8238","Native","2016","Lima, H.C.","2016","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/cen/cen/0/11/17/31/cen00111731.dzi","Catas Altas","RPPN Santuário do Caraça, trilha para a Cascatinha."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Ferns and Lycophytes","Fabaceae","Pityrocarpa","leptostachya","(Benth.) L.P.Queiroz & P.G.Ribeiro","FABACEAE Pityrocarpa leptostachya (Benth.) L.P.Queiroz & P.G.Ribeiro","ALCB041051",,"ALCB","Lima, H.C.","8231","Native","2016","Lima, H.C.","2016","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/10/51/alcb00041051.dzi","Catas Altas","RPPN Santuário do Caraça. Santuário do Caraça, Km 16-18 após o portão de entrada para o mosteiro."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DO CARAÇA","Ferns and Lycophytes","Fabaceae","Tachigali","friburgensis","(Harms) L.G.Silva & H.C.Lima","FABACEAE Tachigali friburgensis (Harms) L.G.Silva & H.C.Lima","ALCB041043",,"ALCB","Lima, H.C.","8241","Native","2016","Lima, H.C.","2016","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/10/43/alcb00041043.dzi","Catas Altas","RPPN Santuário do Caraça. Santuário do Caraça, trilha para a Cascatinha, ca. 800 metros antes da Cascatinha. Capão de mata baixa de encosta."
