"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Malpighiaceae","Byrsonima","coccolobifolia","Kunth","MALPIGHIACEAE Byrsonima coccolobifolia Kunth","INPA0284068","splink","INPA","Giacomin, L.L.","3155","Naturalized","2019","Amorim, A.M.","2023","Ouro","Ouro",,"Santarém","APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Rubiaceae","Chomelia","ribesioides","Benth. ex A.Gray","RUBIACEAE Chomelia ribesioides Benth. ex A.Gray","RB01416577","x","RB","Giacomin, L.L.","3174","Native","2019","Delprete, P.G.","2022","Ouro","Ouro",,,"APA Alter do Chão. Vegetação savânica as margens da rodovia Everaldo Martins (PA-457), ca. de 500 m após a comunidade de São Pedro."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Connaraceae","Connarus","erianthus","Benth. ex Baker","CONNARACEAE Connarus erianthus Benth. ex Baker","RB01417086","x","RB","Giacomin, L.L.","3176","Native","2019","Toledo, C.A.P.","2019","Ouro","Ouro",,,"APA de Alter do Chão."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Solanaceae","Solanum","stramoniifolium","Jacq.","SOLANACEAE Solanum stramoniifolium Jacq.","HSTM012395",,"HSTM","Giacomin, L.L.","3148","Native","2018","Giacomin, L.L.","2018","Ouro","Ouro",,"Santarém","Distrito de Alter do Chão; rua Turiano Meira, ca. 500 m após cruzamento com Tarcísio Garcia APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Eunotiaceae","Torgania","coronata","L.G.C.Canani & D.M.Talgatti","EUNOTIACEAE Torgania coronata L.G.C.Canani & D.M.Talgatti","HSTM-Algas014332",,"HSTM-Algas","Canani, L.G.C.","s.n.","Native","2016","Canani, L.G.C.","2020","Ouro","Ouro",,"Santarém","Lago do Itapari, próximo à margem. Perifíton sobre folha de palmeira submersa; 10 cm profundidade. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Dilleniaceae","Davilla","pedicellaris","Benth.","DILLENIACEAE Davilla pedicellaris Benth.","RB01416327","x","RB","Giacomin, L.L.","2704","Native","2015","Fraga","2021","Ouro","Ouro",,,"APA Alter do Chão, em savana às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão, mancha de savana próximo a comunidade de São Pedro."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Asteraceae","Ichthyothere",,"Mart.","ASTERACEAE Ichthyothere Mart.","RB01416890","x","RB","Giacomin, L.L.","3175","Native","2019","Bueno, V.R.",,"Bronze","Ouro",,,"APA de Alter do Chão. Vegetação savânica ás margens da rodovia Everaldo Martins (PA-457), ca. de 500 m após a comunidade de são Pedro."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Apocynaceae","Tabernaemontana","coriacea","Link ex Roem. & Schult.","APOCYNACEAE Tabernaemontana coriacea Link ex Roem. & Schult.","HSTM013208",,"HSTM","Giacomin, L.L.","3170","Native","2019","Fernandes, G.E.A.","2024","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Euphorbiaceae","Microstachys","corniculata","(Vahl) Griseb.","EUPHORBIACEAE Microstachys corniculata (Vahl) Griseb.","HSTM013196",,"HSTM","Giacomin, L.L.","3182","Native","2019","Soares, M.V.B.","2024","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Fabaceae","Chamaecrista","curvifolia","(Vogel) Afr.Fern. & E.P.Nunes","FABACEAE Chamaecrista curvifolia (Vogel) Afr.Fern. & E.P.Nunes","HSTM013194",,"HSTM","Giacomin, L.L.","3180","Native","2019","Soares, M.V.B.","2023","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Myrtaceae","Myrcia","guianensis","(Aubl.) DC.","MYRTACEAE Myrcia guianensis (Aubl.) DC.","INPA0284062","splink","INPA","Giacomin, L.L.","3184","Native","2019","Sobral, M.E.G.","2023","Bronze","Ouro",,"Santarém","APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Rubiaceae","Tocoyena","formosa","(Cham. & Schltdl.) K.Schum.","RUBIACEAE Tocoyena formosa (Cham. & Schltdl.) K.Schum.","RB01417662","x","RB","Giacomin, L.L.","3153","Native","2019","Borges, R.","2023","Bronze","Ouro",,,"APA de Alter do Chão."
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Cyperaceae","Cyperus","filifolius","Willd. ex Kunth","CYPERACEAE Cyperus filifolius Willd. ex Kunth","HSTM013176",,"HSTM","Giacomin, L.L.","3161",,"2019","Nunes, C.S.","2022","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Apocynaceae","Himatanthus","drasticus","(Mart.) Plumel","APOCYNACEAE Himatanthus drasticus (Mart.) Plumel","HSTM013168",,"HSTM","Giacomin, L.L.","3152","Native","2019","Spina, A.D.","2021","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Cyperaceae","Bulbostylis","junciformis","(Kunth) C.B.Clarke","CYPERACEAE Bulbostylis junciformis (Kunth) C.B.Clarke","HSTM013181",,"HSTM","Giacomin, L.L.","3165","Native","2019","Maciel-Silva, J.F.","2021","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Algae","Cyperaceae","Cyperus","aggregatus","(Willd.) Endl.","CYPERACEAE Cyperus aggregatus (Willd.) Endl.","HSTM013183",,"HSTM","Giacomin, L.L.","3167",,"2019","Gil, A.","2019","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Algae","Cyperaceae","Cyperus","laxus","Lam.","CYPERACEAE Cyperus laxus Lam.","HSTM013175",,"HSTM","Giacomin, L.L.","3160",,"2019","Gil, A.","2019","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Fabaceae","Tachigali","vulgaris","L.G.Silva & H.C.Lima","FABACEAE Tachigali vulgaris L.G.Silva & H.C.Lima","HSTM013173",,"HSTM","Giacomin, L.L.","3158","Native","2019","Chuquimaco, I.H.","2019","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Ferns and Lycophytes","Myrtaceae","Eugenia","biflora","(L.) DC.","MYRTACEAE Eugenia biflora (L.) DC.","HSTM013199",,"HSTM","Giacomin, L.L.","3185","Native","2019","Luber, J.","2019","Bronze","Ouro",,"Santarém","Vegetação savânica às margens da Rodovia Everaldo Martins (PA-457). Ca. de 500 m após a comunidade de São Pedro; estrada vicinal às margens direita da estrada, sentido Alter do Chão, 1,5 km após a entrada. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Annonaceae","Guatteria","punctata","(Aubl.) R.A.Howard","ANNONACEAE Guatteria punctata (Aubl.) R.A.Howard","HSTM013427",,"HSTM","Silva, J.G.","8","Native","2018","Giacomin, L.L.","2019","Bronze","Ouro",,"Santarém","Comunidade de São Vicente. As margens da PA-457 em frente a Escola do Campo. APA de Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Marantaceae","Thalia","geniculata","L.","MARANTACEAE Thalia geniculata L.","HSTM012191",,"HSTM",",, M.A.B.-A.","462","Native","2018","Andre, T.","2018","Bronze","Ouro",,"Santarém","Alter do Chão; dentro da vilha proximo ao lago verde. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Marantaceae","Thalia",,"L.","MARANTACEAE Thalia L.","RB01472149","x","RB","Buitrago-A, M.A.","462","Native","2018","Andre, T.","2018","Bronze","Ouro",,,"APA Alter do Chão. Alter do Chão; dentro da vilha próximo ao lago verde"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Apocynaceae",,,"Juss.","APOCYNACEAE Apocynaceae Juss.","HSTM012132","x","HSTM","Giacomin, L.L.","2701","Native","2015","Pereira, A.S.S.",,"Bronze","Ouro",,,"Em savana às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão. Mancha de savana próxima a comunidade de São Pedro. Em estrada vicinal, ca. 1 km da Rodovia. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Loranthaceae","Psittacanthus","eucalyptifolius","(Kunth) G.Don","LORANTHACEAE Psittacanthus eucalyptifolius (Kunth) G.Don","HSTM012158",,"HSTM","Giacomin, L.L.","2694","Native","2015","Fadini, R.F.","2015","Bronze","Ouro",,"Santarém","Em savana às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão. Mancha de savana próxima a comunidade de São Pedro. Em estrada vicinal, ca. 1 km da Rodovia. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO",,"Loranthaceae","Psittacanthus","nodosissimus","Rizzini","LORANTHACEAE Psittacanthus nodosissimus Rizzini","HSTM012161",,"HSTM","Giacomin, L.L.","2706",,"2015","Fadini, R.F.","2015","Bronze","Ouro",,"Santarém","Às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão. Em vegetação secundária, marginal a estrada. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Loranthaceae","Psittacanthus","plagiophyllus","Eichler","LORANTHACEAE Psittacanthus plagiophyllus Eichler","HSTM012159",,"HSTM","Giacomin, L.L.","2700","Native","2015","Fadini, R.F.","2015","Bronze","Ouro",,"Santarém","Em savana às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão. Mancha de savana próxima a comunidade de São Pedro. Em estrada vicinal, ca. 1 km da Rodovia. APA Alter do Chão"
"ÁREA DE PROTEÇÃO AMBIENTAL ALTER DO CHÃO","Angiosperms","Loranthaceae","Psittacanthus","robustus","(Mart.) Mart.","LORANTHACEAE Psittacanthus robustus (Mart.) Mart.","RB01416329","x","RB","Giacomin, L.L.","2706","Native","2015","Fadini, R.F.","2015","Bronze","Ouro",,,"APA Alter do Chão, em savana às margens da Rodovia PA-457 (Everaldo Martins), que liga Santarém a Alter do Chão."
