"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Annonaceae","Duguetia","echinophora","R.E.Fr.","ANNONACEAE Duguetia echinophora R.E.Fr.","MG082082",,"MG","Rosario, C.S.","116","Native","1982","Maas, P.J.M.","1990","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mg/mg/0/8/20/82/mg00082082.dzi","Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Connaraceae","Connarus","perrottetii","(DC.) Planch.","CONNARACEAE Connarus perrottetii (DC.) Planch.","MG062184",,"MG","Bastos, M.N.C.","34","Native","1978","Toledo, C.A.P.","2016","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mg/mg/0/6/21/84/mg00062184.dzi","Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Fabaceae","Jupunba","cochleata","(Willd.) M.V.B.Soares et al.","FABACEAE Jupunba cochleata (Willd.) M.V.B.Soares et al.","MG062172",,"MG","Bastos, M.N.C.","22","Native","1978","Barneby","1989","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mg/mg/0/6/21/72/mg00062172.dzi","Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Chrysobalanaceae","Leptobalanus","octandrus","(Hoffmanns. ex Roem. & Schult.) Sothers & Prance","CHRYSOBALANACEAE Leptobalanus octandrus (Hoffmanns. ex Roem. & Schult.) Sothers & Prance","MG052031",,"MG","Rosa, N.A.","916","Native","1976","Prance, G.T.","1980","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mg/mg/0/5/20/31/mg00052031.dzi","Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Chrysobalanaceae","Licania","blackii","Prance","CHRYSOBALANACEAE Licania blackii Prance","IAN132113",,"IAN","Pena, B.S.","62","Native","1969","Prance, G.T.","1973","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ian/ian/0/13/21/13/ian00132113.dzi","Salvaterra","Joanes, Passagem Grande, campo cerrado."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Polygalaceae","Senega","trichosperma","(Jacq.) J.F.B.Pastore","POLYGALACEAE Senega trichosperma (Jacq.) J.F.B.Pastore","IAN187807","splink","IAN","Costa, C.S.","468","Native","2010","Costa, C.S.",,"Ouro","Prata",,"Salvaterra","Joanes,Ilha do Marajó."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Annonaceae","Duguetia","furfuracea","(A.St.-Hil.) Saff.","ANNONACEAE Duguetia furfuracea (A.St.-Hil.) Saff.","MBM099388",,"MBM","Rosario, C.S.","116","Native","1982","Pontes, A.F.",,"Ouro","Prata",,"Salvaterra","Joanes."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Myrtaceae","Eugenia","pseudopsidium","Jacq.","MYRTACEAE Eugenia pseudopsidium Jacq.","ASU0034656","x","ASU","Rosario, C.S.","117","Native","1982","Holst",,"Ouro","Prata",,"Salvaterra","Joanes, Municipio de Salvaterra, Marajo."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Erythroxylaceae","Erythroxylum","leptoneurum","O.E.Schulz","ERYTHROXYLACEAE Erythroxylum leptoneurum O.E.Schulz","INPA0136097","splink","INPA","Rosa, N.A.","3649","Native","1980","Costa-Lima, J.L.","2017","Ouro","Prata",,"Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Symplocaceae","Symplocos","guianensis","(Aubl.) Gürke","SYMPLOCACEAE Symplocos guianensis (Aubl.) Gürke","INPA0136078","splink","INPA","Rosa, N.A.","3626",,"1980","Bida, A.","1996","Ouro","Prata",,"Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Euphorbiaceae","Hevea","camargoana","Pires","EUPHORBIACEAE Hevea camargoana Pires","INPA0097284","splink","INPA","Rosa, N.A.","3604","Native","1980","Schultes, R.E.","1994","Ouro","Prata",,"Salvaterra","Campos de Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Moraceae","Dorstenia","brasiliensis","Lam.","MORACEAE Dorstenia brasiliensis Lam.","HF00001366",,"HF","Bastos, N.C.","24","Native","1978","Berg, C.C.","1980","Ouro","Prata",,"Salvaterra","Joanes."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Poaceae","Streptostachys","asperifolia","Desv.","POACEAE Streptostachys asperifolia Desv.","INPA0093640","splink","INPA","Rosa, N.A.","924","Native","1976","Filgueiras, T.S.","2014","Ouro","Prata",,"Salvaterra","Campos de Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Santalaceae","Phoradendron","crassifolium","(Pohl ex DC.) Eichler","SANTALACEAE Phoradendron crassifolium (Pohl ex DC.) Eichler","INPA0078800","splink","INPA","Rosa, N.A.","945","Native","1976","Caires, C.S.","2009","Ouro","Prata",,"Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Rubiaceae","Mitracarpus","strigosus","(Thunb.) P.L.R.Moraes, De Smedt & Hjertson","RUBIACEAE Mitracarpus strigosus (Thunb.) P.L.R.Moraes, De Smedt & Hjertson","INPA0077879","splink","INPA","Penha, E.F.","11","Native","1976","Souza, E.B.","2008","Ouro","Prata",,"Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Connaraceae","Connarus","angustifolius","(Radlk.) G.Schellenb.","CONNARACEAE Connarus angustifolius (Radlk.) G.Schellenb.","INPA0077869","splink","INPA","Carmo, N.C.",,"Native","1976","Forero, E.","1982","Ouro","Prata",,"Salvaterra","Joanes"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Myrtaceae","Myrcia","cuprea","(O.Berg) Kiaersk.","MYRTACEAE Myrcia cuprea (O.Berg) Kiaersk.","132114","splink","IAN","Sena, B.S.","63","Native","1969","Kawasaki, M.L.","1989","Ouro","Prata",,"Salvaterra","Joanes,Ilha do Marajó, Passagem Grande."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","132145","splink","IAN","Pena, B.S.","94","Native","1969","Thomas, W.W.","1986","Ouro","Prata",,"Salvaterra","Rio Paracauarí. Sítio Caçador, terra firme, beira do campo de pastagem."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Fabaceae","Crudia","tomentosa","(Aubl.) J.F.Macbr.","FABACEAE Crudia tomentosa (Aubl.) J.F.Macbr.","MBM100917","splink","MBM","Rosa, N.A.","3637","Native",,"Rosa, N.A.",,"Prata","Prata",,"Salvaterra","Joanes, Marajó."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Plumbaginaceae","Plumbago","scandens","L.","PLUMBAGINACEAE Plumbago scandens L.","MBM100859","splink","MBM","Rosa, N.A.","3648","Native",,"Rosa, N.A.",,"Prata","Prata",,"Salvaterra","Joanes, Marajó."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPÉLAGO DO MARAJÓ","Angiosperms","Myrtaceae","Eugenia","lambertiana","DC.","MYRTACEAE Eugenia lambertiana DC.","MBM100640","splink","MBM","Rosa, N.A.","3640","Native","1980","Rosa, N.A.",,"Prata","Prata",,"Salvaterra","Joanes."
