"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Malvaceae","Sida",,"L.","MALVACEAE Sida L.","HF00005210",,"HF","Magno, M.","27","Native","2024","Cardoso, J.M.","2024","Bronze","Ouro",,"Juruti","Comunidade Monte Moriá. em cima de morro. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Rubiaceae","Borreria","verticillata","(L.) G.Mey.","RUBIACEAE Borreria verticillata (L.) G.Mey.","HF00005214",,"HF","Magno, M.","31",,"2024","Reis, J.P.S.","2024","Bronze","Ouro",,"Juruti","Comunidade Monte Moriá. em cima de morro. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Solanaceae","Solanum","crinitum","Lam.","SOLANACEAE Solanum crinitum Lam.","HF00005219",,"HF","Magno, M.","36",,"2024","Magno, M.","2024","Bronze","Ouro",,"Juruti","Estrada para comunidade Tucunaré. borda de mata. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Solanaceae","Solanum","monachophyllum","Dunal","SOLANACEAE Solanum monachophyllum Dunal","HF00005208",,"HF","Magno, M.","25",,"2024","Magno, M.","2024","Bronze","Ouro",,"Juruti","Comunidade Alemanha. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Bignoniaceae",,,"Juss.","BIGNONIACEAE Bignoniaceae Juss.","HF00005220",,"HF","Magno, M.","37","Native","2024",,,"Latão","Ouro",,"Juruti","Estrada para comunidade Tucunaré. borda de mata. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Fabaceae",,,"Lindl.","FABACEAE Fabaceae Lindl.","HF00005211",,"HF","Magno, M.","28","Native","2024",,,"Latão","Ouro",,"Juruti","Comunidade Monte Moriá. em cima de morro. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Fabaceae","Mimosa",,"L.","FABACEAE Mimosa L.","HF00005212",,"HF","Magno, M.","29",,"2024",,,"Latão","Ouro",,"Juruti","Comunidade Monte Moriá. em cima de morro. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Heliotropiaceae","Euploca","filiformis","(Lehm.) J.I.M.Melo & Semir","HELIOTROPIACEAE Euploca filiformis (Lehm.) J.I.M.Melo & Semir","HF00005216",,"HF","Magno, M.","33","Native","2024",,,"Latão","Ouro",,"Juruti","Comunidade Monte Moriá. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Lamiaceae","Hyptis",,"Jacq.","LAMIACEAE Hyptis Jacq.","HF00005217",,"HF","Magno, M.","34",,"2024",,,"Latão","Ouro",,"Juruti","Ás margens do igarapé Juruti Grande. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Malvaceae","Hibiscus",,"L.","MALVACEAE Hibiscus L.","HF00005218",,"HF","Magno, M.","35",,"2024",,,"Latão","Ouro",,"Juruti","Ás margens do igarapé Juruti Grande. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Rubiaceae","Hexasepalum",,"Bartl. ex DC.","RUBIACEAE Hexasepalum Bartl. ex DC.","HF00005215",,"HF","Magno, M.","32",,"2024",,,"Latão","Ouro",,"Juruti","Comunidade Monte Moriá. APA Jará"
"ÁREA DE PROTEÇÃO AMBIENTAL JARÁ","Angiosperms","Rubiaceae",,,"Juss.","RUBIACEAE Rubiaceae Juss.","HF00005213",,"HF","Magno, M.","30","Native","2024",,,"Latão","Ouro",,"Juruti","Comunidade Monte Moriá. em cima de morro. APA Jará"
