"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","UPCB00069764",,"UPCB","Forzza, R.C.","11777",,"2022","Azevedo, I.H.F.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/97/64/upcb00069764.dzi","São Félix do Xingu","Trilha de Monitoramento do ICMBio. Parque Nacional da Serra do Pardo"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Acanthaceae","Justicia","cayennensis","(Nees) Lindau","ACANTHACEAE Justicia cayennensis (Nees) Lindau","UPCB00068801",,"UPCB","Labiak, P.H.","7983",,"2022","Azevedo, I.H.F.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/88/1/upcb00068801.dzi","São Félix do Xingu","Parque Nacional Serra do Pardo. Rio Xingu. Próximo à casa do Nica."
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","UPCB00070404",,"UPCB","Labiak, P.","7945",,"2022","Azevedo, I.H.F.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/7/4/4/upcb00070404.dzi","São Félix do Xingu","Trilha de Monitoramento do ICMBio. Parque Nacional Serra do Pardo"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Annonaceae","Unonopsis","guatterioides","(A.DC.) R.E.Fr.","ANNONACEAE Unonopsis guatterioides (A.DC.) R.E.Fr.","UPCB00066973",,"UPCB","Forzza, R.C.","11833",,"2022","Lobao, A.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/69/73/upcb00066973.dzi","São Félix do Xingu","Parque Nacional da Serra do Pardo. Trilha do Barreiro, saindo da casa do Nica."
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Fabaceae","Canavalia","grandiflora","Benth.","FABACEAE Canavalia grandiflora Benth.","UPCB00069910",,"UPCB","Forzza, R.C.","11819","Native","2022","Lima, H.C.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/99/10/upcb00069910.dzi","São Félix do Xingu","Estrada entre a sede do parque e a praia de areia na margem do Rio Xingu. Parque Nacional da Serra do Pardo"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Fabaceae","Dalbergia","monetaria","L.f.","FABACEAE Dalbergia monetaria L.f.","UPCB00069882",,"UPCB","Forzza, R.C.","11823","Native","2022","Lima, H.C.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/98/82/upcb00069882.dzi","São Félix do Xingu","Estrada entre a sede do parque e a praia de areia na margem do Rio Xingu. Parque Nacional da Serra do Pardo"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Fabaceae","Hymenaea","courbaril","L.","FABACEAE Hymenaea courbaril L.","UPCB00067056",,"UPCB","Labiak, P.H.","7935",,"2022","Lima, H.C.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/70/56/upcb00067056.dzi","São Félix do Xingu","Parque Nacional Serra do Pardo. Margens do rio Xingu e ilha do Pontal."
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Malvaceae","Byttneria","filifolia","Gerace & Colli-Silva","MALVACEAE Byttneria filifolia Gerace & Colli-Silva","UPCB00060485",,"UPCB","Forzza, R.C.","11870","Native","2022",,"2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/4/85/upcb00060485.dzi","São Félix do Xingu","Parque Nacional da Serra do Pardo. Subindo o Rio Xingu a partir da sede do ICMBio"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Salicaceae","Casearia","selloana","Eichler","SALICACEAE Casearia selloana Eichler","UPCB00069780",,"UPCB","Forzza, R.C.","11773","Native","2022","Marquete, R.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/97/80/upcb00069780.dzi","São Félix do Xingu","Trilha de Monitoramento do ICMBio. Parque Nacional da Serra do Pardo"
"PARQUE NACIONAL SERRA DO PARDO","Angiosperms","Salicaceae","Ryania","canescens","Eichler","SALICACEAE Ryania canescens Eichler","UPCB00068695",,"UPCB","Labiak, P.H.","7982",,"2022","Marquete, R.","2024","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/6/86/95/upcb00068695.dzi","São Félix do Xingu","Rio Xingu. Próximo à casa do Nica. Parque Nacional Serra do Pardo"
