"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL UTINGA",,"Passifloraceae","Passiflora","acuminata","DC.","PASSIFLORACEAE Passiflora acuminata DC.","MFS001375",,"MFS","Silva, E.O.","10",,,"Silva, E.O.",,"Ouro","Ouro",,"Belém","Parque Estadual do Utinga."
"PARQUE ESTADUAL UTINGA","Angiosperms","Passifloraceae","Passiflora","vespertilio","L.","PASSIFLORACEAE Passiflora vespertilio L.","MFS001376",,"MFS","Silva, E.O.","21","Native",,"Silva, E.O.",,"Ouro","Ouro",,"Belém","Parque Estadual do Utinga."
"PARQUE ESTADUAL UTINGA",,"Urticaceae","Cecropia","palmata","Willd.","URTICACEAE Cecropia palmata Willd.","HF00007524",,"HF","Nascimento, C.","8",,"2024","Aguiar, D.P.P.","2024","Ouro","Ouro",,"Belém","Parque Estadual do Utinga."
"PARQUE ESTADUAL UTINGA",,"Melastomataceae","Clidemia","bullosa","DC.","MELASTOMATACEAE Clidemia bullosa DC.","UPCB0089296",,"UPCB","Reginato, M.","1857",,"2023",,"2025","Ouro","Ouro",,"Belém","Parque Estadual do Utinga"
"PARQUE ESTADUAL UTINGA",,"Myrtaceae","Eugenia","biflora","(L.) DC.","MYRTACEAE Eugenia biflora (L.) DC.","ALCB080075","splink","ALCB","Guedes, M.L.","34199",,"2023","Stadnik, A.","2024","Ouro","Ouro",,"Belém","Parque Estadual de Utinga."
"PARQUE ESTADUAL UTINGA","Ferns and Lycophytes","Melastomataceae","Pterolepis","glomerata","(Rottb.) Miq.","MELASTOMATACEAE Pterolepis glomerata (Rottb.) Miq.","UPCB0088523",,"UPCB","Reginato, M.","1853","Native","2023","Goldenberg, R.","2023","Ouro","Ouro",,"Belém","Parque Estadual do Utinga"
"PARQUE ESTADUAL UTINGA","Angiosperms","Orchidaceae","Vanilla","odorata","C.Presl","ORCHIDACEAE Vanilla odorata C.Presl","MG246283","x","MG","Ferreira, L.V.","s.n.","Native","2022","Koch, A.K.","2022","Ouro","Ouro",,,"Parque Estadual do Utinga"
"PARQUE ESTADUAL UTINGA","Angiosperms","Loranthaceae","Psittacanthus","eucalyptifolius","(Kunth) G.Don","LORANTHACEAE Psittacanthus eucalyptifolius (Kunth) G.Don","MFS005765",,"MFS","Pastore, M.","1256","Native","2019","Dettke, G.A.","2020","Ouro","Ouro",,"Belém","Parque Estadual do Utinga. Mocambo. Borda de Floresta de Terra Firme."
"PARQUE ESTADUAL UTINGA",,"Chrysobalanaceae","Parinari","rodolphii","Huber","CHRYSOBALANACEAE Parinari rodolphii Huber","RB01164358","x","RB","Barbosa-Silva, R.G.","573",,"2016",,,"Ouro","Ouro",,,"Trilha posterior a dos macacos seguindo a estrada. Parque Estadual do Utinga"
"PARQUE ESTADUAL UTINGA","Angiosperms","Hypericaceae","Vismia","guianensis","(Aubl.) Choisy","HYPERICACEAE Vismia guianensis (Aubl.) Choisy","RB01164355","x","RB","Barbosa-Silva, R.G.","571","Native","2016","Martins, M.V.","2018","Ouro","Ouro",,,"Borda de mata, Estrada da Moça Bonita. Parque Estadual do Utinga"
