"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","cyatheoides","(Desv.) K.U.Kramer","CYATHEACEAE Cyathea cyatheoides (Desv.) K.U.Kramer","CCAA00000357","splink","CCAA","Tavares, R.S.","26","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Reserva Particular do Patrimônio Natural Klagesi, margem da PA-140."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","cyatheoides","(Desv.) K.U.Kramer","CYATHEACEAE Cyathea cyatheoides (Desv.) K.U.Kramer","99719","x","UFP","Tavares, R.S.","26","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Santo Antônio do Tauá, Reserva Particular do Patrimônio Natural Klagesi, margem da PA-140."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","cyatheoides","(Desv.) K.U.Kramer","CYATHEACEAE Cyathea cyatheoides (Desv.) K.U.Kramer","FURB57240","splink","FURB","Tavares, R.S.","26","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Margem da PA-140. RPPN Klagesi"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","cyatheoides","(Desv.) K.U.Kramer","CYATHEACEAE Cyathea cyatheoides (Desv.) K.U.Kramer","HUCS000899","splink","HUCS","Tavares, R.S.","26","Native","2007","Pietrobom, M.R.S.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Reserva Particular do Patrimônio Natural Klagesi, margem da PA-140"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","surinamensis","(Miq.) Domin","CYATHEACEAE Cyathea surinamensis (Miq.) Domin","18429","splink","NX","Tavares, R.S.","15","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Reserva Particular do Patrimônio Natural do Klagesi, margem da PA-140"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","surinamensis","(Miq.) Domin","CYATHEACEAE Cyathea surinamensis (Miq.) Domin","FUEL032310","splink","FUEL","Tavares, R.S.","15","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Reserva particular do patrimônio natural Klagesi, margem da PA-140"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Cyatheaceae","Cyathea","surinamensis","(Miq.) Domin","CYATHEACEAE Cyathea surinamensis (Miq.) Domin","HBRA0008094","splink","HBRA","Tavares, R.S.","15","Native","2007","Tavares, R.S.","2007","Bronze","Ouro",,"Santo Antônio do Tauá","RPPN KLAGESI"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Dryopteridaceae","Cyclodium","meniscioides","(Willd.) C.Presl","DRYOPTERIDACEAE Cyclodium meniscioides var. meniscioides (Willd.) C.Presl","FUEL032371","splink","FUEL","Tavares, R.S.","44","Native","2007","Pietrobom, M.R.","2012","Bronze","Ouro",,"Santo Antônio do Tauá","Reserva particular do patrimônio natural Klagesi, margem PA 140"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Dryopteridaceae","Cyclodium","meniscioides","(Willd.) C.Presl","DRYOPTERIDACEAE Cyclodium meniscioides var. meniscioides (Willd.) C.Presl","11985","x","HBRA","Tavares, R.S.","135","Native","2007","Pietrobom, M.R.","2011","Bronze","Ouro",,,"Rppn klagesi"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KLAGESI","Ferns and Lycophytes","Dryopteridaceae","Elaphoglossum","discolor","(Kuhn) C.Chr.","DRYOPTERIDACEAE Elaphoglossum discolor (Kuhn) C.Chr.","11907","splink","NX","Costa, J.M.","412","Native","2006","Costa, J.M.","2006","Bronze","Ouro",,"Santo Antônio do Tauá","RPPN KLAGESI"
