"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Alstroemeriaceae","Alstroemeria",,"L.","ALSTROEMERIACEAE Alstroemeria L.","175214","x","HUEFS","Conceicao, A.A.","4022","Native","2011","Campos-Rocha, A.","2014","Bronze","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Alstroemeriaceae","Alstroemeria",,"L.","ALSTROEMERIACEAE Alstroemeria L.","K001245612","x","K","Martinelli, G.","16285","Native","2009",,,"Latão","Ouro",,,"(PI), Caracol, Parque Nacional da Serra das Confusões. Lajedos do Canto Verde, Caatinga, sobre afloramentos."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Bignoniaceae","Mansoa","paganuccii","M.M.Silva-Castro","BIGNONIACEAE Mansoa paganuccii M.M.Silva-Castro","175213","x","HUEFS","Conceicao, A.A.","4021","Native","2011","Silva-Castro, M.M.","2012","Ouro","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Cordiaceae","Cordia","superba","Cham.","CORDIACEAE Cordia superba Cham.","K006109736","x","K","Martinelli, G.","18028","Native","2013",,,"Latão","Ouro",,,"(PI), Caracol. Parque Nacional da Serra das Confusões, entre o Portal do Parque e a descida da Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Fabaceae","Chamaecrista",,"(L.) Moench","FABACEAE Chamaecrista (L.) Moench","175225","x","HUEFS","Conceicao, A.A.","4033","Native","2011",,,"Latão","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Fabaceae","Chamaecrista",,"(L.) Moench","FABACEAE Chamaecrista (L.) Moench","K000839988","x","K","Martinelli, G.","16127","Native","2007",,,"Latão","Ouro",,,"Serra da Água Brava, 2Km ao N do povoado de Água Branca, 5 Km do limite do Parque Nacional da Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Fabaceae","Deguelia","nitidula","(Benth.) A.M.G.Azevedo & R.A.Camargo","FABACEAE Deguelia nitidula (Benth.) A.M.G.Azevedo & R.A.Camargo","175228","x","HUEFS","Conceicao, A.A.","4036","Native","2011","Queiroz, L.P.","2014","Ouro","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Malpighiaceae","Banisteriopsis",,"C.B.Rob. ex Small","MALPIGHIACEAE Banisteriopsis C.B.Rob. ex Small","175221","x","HUEFS","Conceicao, A.A.","4029","Native","2011",,,"Latão","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Malpighiaceae","Byrsonima","correifolia","A.Juss.","MALPIGHIACEAE Byrsonima correifolia A.Juss.","200513","x","HUEFS","Siqueira Filho, J.A.","2979","Native","2013","Francener, A.","2015","Ouro","Ouro",,,"Parque Nacional da Serra das Confusões, Alto da Toca do Riacho dos Bois."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Malpighiaceae","Peixotoa","jussieuana","A.Juss.","MALPIGHIACEAE Peixotoa jussieuana A.Juss.","175218","x","HUEFS","Conceicao, A.A.","4026","Native","2011","Amorim, A.M.","2012","Ouro","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Turneraceae","Piriqueta","sidifolia","(Cambess.) Urb.","TURNERACEAE Piriqueta sidifolia (Cambess.) Urb.","175219","x","HUEFS","Conceicao, A.A.","4027","Native","2011","Rocha, L.N.G.","2012","Bronze","Ouro",,,"PARNA Serra das Confusões."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Verbenaceae","Lippia","origanoides","Kunth","VERBENACEAE Lippia origanoides Kunth","199177","x","HUEFS","Siqueira Filho, J.A.","3005","Native","2013","Santana, I.N.","2018","Bronze","Ouro",,,"Parque Nacional Serra das Confusões, Olho dágua do Pinga, arreodres do acampamento."
"PARQUE NACIONAL SERRA DAS CONFUSÕES","Angiosperms","Vochysiaceae","Callisthene","microphylla","Warm.","VOCHYSIACEAE Callisthene microphylla Warm.","K003881566","splink","K","Martinelli, G.","16241","Native","2009",,,"Latão","Ouro",,,"(PI), Caracol, Parque Nacional das Serra das Confusões. Baixão do Canto verde, Caatinga."
