"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA DO PORTINHO",0,0,0,0
"ESTAÇÃO ECOLÓGICA CHAPADA DA SERRA BRANCA",0,0,0,0
"ESTAÇÃO ECOLÓGICA URUÇUÍ - UNA",0,0,0,0
"ESTAÇÃO ECOLÓGICA URUÇUÍ-UNA",14,14,0,0
"FLORESTA NACIONAL PALMARES",0,0,0,0
"MONUMENTO NATURAL ESTADUAL ITANS",0,0,0,0
"MONUMENTO NATURAL FLORESTA FÓSSIL DO RIO POTI",0,0,0,0
"PARQUE ESTADUAL CÂNION DO RIO POTI",0,0,0,0
"PARQUE ESTADUAL RANGEL",2,2,0,0
"PARQUE ESTADUAL SERRA DE SANTO ANTÔNIO",0,0,0,0
"PARQUE ESTADUAL ZOOBOTÂNICO",0,0,0,0
"PARQUE NACIONAL SERRA DA CAPIVARA",3,3,0,0
"PARQUE NACIONAL SERRA DAS CONFUSÕES",69,69,0,0
"PARQUE NACIONAL SETE CIDADES",31,31,0,0
"PARQUE NATURAL MUNICIPAL HORTO FLORESTAL",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BOQUEIRÃO DOS FRADES",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CENTRO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARVÃO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DA SERRA NEGRA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA MARIA DE TAPUÃ",0,0,0,0
