"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Dicliptera","squarrosa","Nees","ACANTHACEAE Dicliptera squarrosa Nees","UEC038409","splink","UEC","Spina, A.P.","287","Native","1994","Kameyama, C.","1999","Ouro","Ouro",,"Campinas","Barão de Geraldo, Fazenda santa Genebra."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Dicliptera","squarrosa","Nees","ACANTHACEAE Dicliptera squarrosa Nees","SPF00110269",,"SPF","Bernacci, L.C.","575","Native","1994","Hirao, Y.V.","10/5/12","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/11/2/69/spf00110269.dzi","Campinas","ARIE Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Dicliptera","squarrosa","Nees","ACANTHACEAE Dicliptera squarrosa Nees","UEC021355","splink","UEC","Spina, A.P.","293","Native","1994","Spina, A.P.",,"Bronze","Ouro",,"Campinas","Barão Geraldo, Fazenda Santa Genebra."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","UEC022134","splink","UEC","Thomann, P.","26108","Native","1992","Kameyama, C.","1999","Ouro","Ouro",,"Campinas","Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","124252","x","CEN","Antar, G.M.","2817","Native","2019","Silva, F.A.","2021","Bronze","Ouro",,,"Área de relevante interesse ecológico Mata de Santa Genebra. Distrito de Barão Geraldo, bairro Bosque do Barão Geraldo. Trilha central."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","RB01464960","x","RB","Antar, G.M.","2817","Native","2019","Silva, F.A.","2021","Bronze","Ouro",,,"Área de Relevante Interesse Ecológico Mata de Santa Genebra, Distrito de Barão Geraldo, bairro Bosque de Barão Geraldo, trilha central"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","UEC097877","splink","UEC","Grombone-Guaratini, M.T.","186","Native","1996","Buzato, S.",,"Bronze","Ouro",,"Campinas","Reserva Municipal de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","UEC097885","splink","UEC","Grombone-Guaratini, M.T.","187","Native","1996","Buzato, S.",,"Bronze","Ouro",,"Campinas","Reserva Municipal de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","UEC097910","splink","UEC","Buzato, S.","21578","Native","1989","Buzato, S.","1997","Bronze","Ouro",,"Campinas","Fazenda Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","47245","x","UEC","Gentry, A.","58705","Native","1987","Buzato, S.","1997","Bronze","Ouro",,"Campinas","Santa Genebra Forest Reserve, Barão geraldo near Campinas."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Mendoncia","puberula","Mart.","ACANTHACEAE Mendoncia puberula Mart.","UEC097871","splink","UEC","Arruda, V.L.V.","19847","Native","1986","Buzato, S.","1997","Bronze","Ouro",,"Campinas","Faz. Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","UEC097755","splink","UEC","Pacheco, A.M.F.","26152","Native","1992","Kameyama, C.",,"Ouro","Ouro",,"Campinas","Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","UEC097759","splink","UEC","Ferreira, H.","26118","Native","1992","Kameyama, C.","1999","Ouro","Ouro",,"Campinas","Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","UEC097756","splink","UEC","Andrade, S.C.S.","26168","Native","1992","Kameyama, C.","1999","Ouro","Ouro",,"Campinas","Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","UEC097757","splink","UEC","Thomann, P.","26113","Native","1992","Kameyama, C.","1999","Ouro","Ouro",,"Campinas","Mata de Santa Genebra"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","brevifolia","(Pohl) C.Ezcurra","ACANTHACEAE Ruellia brevifolia (Pohl) C.Ezcurra","MO0100430229","splink","MO","Gentry, A.H.","58771","Native","1987","Wasshausen, D.",,"Ouro","Ouro",,"Campinas","Santa Genebra Forest Reserve, Barão Geraldo near Campinas, disturbed semideciduous forest."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","jussieuoides","Schltdl. & Cham.","ACANTHACEAE Ruellia jussieuoides Schltdl. & Cham.","UEC039114","splink","UEC","Spina, A.P.","233","Native","1994","Fernandes, U.G.","2015","Bronze","Ouro",,"Campinas","Barão de Geraldo, Fazenda Santa Genebra."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Acanthaceae","Ruellia","jussieuoides","Schltdl. & Cham.","ACANTHACEAE Ruellia jussieuoides Schltdl. & Cham.","MBM299210","splink","MBM","Spina, A.P.","107","Native","1993","Spina, A.P.",,"Bronze","Ouro",,"Campinas","Distrito de Barão Geraldo, Fazenda Santa Genebra."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Amaranthaceae","Chamissoa","altissima","(Jacq.) Kunth","AMARANTHACEAE Chamissoa altissima (Jacq.) Kunth","UEC080796","splink","UEC","Leitao Filho, H.F.","9405","Native","1979","Siqueira, J.C.","1980","Ouro","Ouro",,"Campinas","Mata Santa Genebra."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Amaranthaceae","Chamissoa","altissima","(Jacq.) Kunth","AMARANTHACEAE Chamissoa altissima (Jacq.) Kunth","737715","x","MO","Gentry, A.H.","58784","Native","1987","Gentry, A.","1989","Prata","Ouro",,"Campinas","Santa Genebra Forest Reserve, Barão Geraldo near Campinas, disturbed semideciduous forest. Transect 5"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Angiosperms","Amaranthaceae","Chamissoa","altissima","(Jacq.) Kunth","AMARANTHACEAE Chamissoa altissima (Jacq.) Kunth","2487","splink","CPMA","Santos, H.",,"Native","2014","Tamashiro",,"Bronze","Ouro",,"Campinas","Mata Santa Genebra"
