"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","UEC044645","splink","UEC","Kozera, C.","744",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás, Trilha de acesso pelo sítio do Sr. João Caçador, no Km 78 da Rodovia Pariquera-Iguape, no trecho com floresta de restinga apresentando fortes sinais de perturbação antrópica."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Asteraceae","Baccharis",,"L.","ASTERACEAE Baccharis L.","RB00425792","x","RB","Martinelli, G.","15866",,"1999",,,"Latão","Ouro",,,"Estação Ecológica dos Chauás, Barra da Ilha Grande. Estação Ecológica dos Chauás"
"ESTAÇÃO ECOLÓGICA CHAÚAS",,"Bromeliaceae","Aechmea","ornata","(Gaudich.) Baker","BROMELIACEAE Aechmea ornata (Gaudich.) Baker","374519","x","SP","Sousa, G.M.","387",,"2000","Sousa, G.M.",,"Ouro","Ouro",,,"Estação Ecológica Chauás, Trilha de chão de flores."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Cyperaceae","Fuirena",,"Rottb.","CYPERACEAE Fuirena Rottb.","UEC094209","splink","UEC",,"65",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás"
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Juncaceae","Juncus",,"L.","JUNCACEAE Juncus L.","SPSF00024724","splink","SPSF","Kozera, C.","732",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Juncaceae","Juncus",,"L.","JUNCACEAE Juncus L.","SPSF00024725","splink","SPSF","Kozera, C.","750",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Juncaceae","Juncus",,"L.","JUNCACEAE Juncus L.","UEC096302","splink","UEC","Kozera, C.","732",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás, Floresta Ombrófila Densa. Trilha de acesso pelo sítio do Sr. João caçador, no km 78 da Rodovia Pariquera-Iguape, no trecho com Floresta de Restinga apresentando fortes sinais de perturbação antrópica."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Juncaceae","Juncus",,"L.","JUNCACEAE Juncus L.","UEC096301","splink","UEC","Kozera, C.","750",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás, Floresta Ombrófila Densa. Trilha de acesso pelo sítio do Sr. João caçador, no km 78 da Rodovia Pariquera-Iguape, no trecho com Floresta de Restinga apresentando fortes sinais de perturbação antrópica."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Ferns and Lycophytes","Lindsaeaceae","Lindsaea",,"Pic.Serm.","LINDSAEACEAE Lindsaea Pic.Serm.","UEC052258","splink","UEC","Kozera, C.","748",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás, Trilha de acesso pelo sítio do Sr. João Caçador, no km78 da Rodovia Pariquera-Iguape."
"ESTAÇÃO ECOLÓGICA CHAÚAS",,"Myrtaceae","Myrcia","tenondeporan","M.F. Santos & E. Barretto","MYRTACEAE Myrcia tenondeporan M.F. Santos & E. Barretto","UEC063693","splink","UEC","Gorenstein, M.R.","51",,"1999","Francischetti, R.J.","2023","Ouro","Ouro",,"Iguape","Estação Ecológica de Chauás. Floresta Ombrófila densa. Trilha de acesso pelo sítio do Sr. João caçador, no Km 78 da Rodovia Pariquera-Iguarape."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Poaceae","Oplismenus",,"P.Beauv.","POACEAE Oplismenus P.Beauv.","UEC096638","splink","UEC","Batista, E.R.","53",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecológica de Chauás, Floresta Ombrófila Densa. Restinga mais preservada."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Rubiaceae","Malanea",,"Aubl.","RUBIACEAE Malanea Aubl.","UEC105989","splink","UEC","Batista, E.R.","94",,"1999",,,"Latão","Ouro",,"Iguape","Estação Ecologica de Chauás, acesso ao caxetal pelo povoado Capuava do Mumunha."
"ESTAÇÃO ECOLÓGICA CHAÚAS","Angiosperms","Rubiaceae","Margaritopsis","astrellantha","(Wernham) L.Andersson","RUBIACEAE Margaritopsis astrellantha (Wernham) L.Andersson","RB00790413","x","RB","Kozera, C.","803",,"1999","Souza, V.C.","2012","Prata","Ouro",,,"Estação Ecológica de Chauás. Trilha de Capauava do Mumuna."
