"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Acanthaceae","Mendoncia","velloziana","Mart.","ACANTHACEAE Mendoncia velloziana Mart.","552152","x","SP","Rossi, L.","3052","Native","2017","Rossi, L.","2017","Prata","Ouro",,,"Estação Ecológica de Itapeti, Trilha do Rato do Bambu"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Asteraceae","Chromolaena","squalida","(DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena squalida (DC.) R.M.King & H.Rob.","551919","splink","SP","Rossi, L.","3056","Native","2017","Bianchini, R.S.","2017","Bronze","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, trilha do Rato do Bambu"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Asteraceae","Lepidaploa","canescens","(Kunth) H.Rob.","ASTERACEAE Lepidaploa canescens (Kunth) H.Rob.","551924","splink","SP","Rossi, L.","3071","Native","2017","Bianchini, R.S.","2017","Bronze","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, trilha do Rato do Bambu"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Asteraceae","Vernonanthura","hilairiana","(Gardner) A.J.Vega & M.Dematt.","ASTERACEAE Vernonanthura hilairiana (Gardner) A.J.Vega & M.Dematt.","551918","splink","SP","Rossi, L.","3055","Native","2017","Bianchini, R.S.","2017","Bronze","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, trilha do Rato do Bambu"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Cactaceae","Rhipsalis","puniceodiscus","G.Lindb.","CACTACEAE Rhipsalis puniceodiscus G.Lindb.","551915","splink","SP","Rossi, L.","3041","Native","2017","Rossi, L.","2017","Prata","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, Trilha do Sagui"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Cactaceae","Rhipsalis","teres","(Vell.) Steud.","CACTACEAE Rhipsalis teres (Vell.) Steud.","551913","splink","SP","Rossi, L.","3010","Native","2017","Rossi, L.","2017","Prata","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, trilha do Palmital"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Cannabaceae","Celtis","iguanaea","(Jacq.) Sarg.","CANNABACEAE Celtis iguanaea (Jacq.) Sarg.","SPSF00052692","splink","SPSF","Rossi, L.","3044","Unknown","2017","Souza, H.B.Z.",,"Bronze","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti."
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Commelinaceae","Dichorisandra","pubescens","Mart. ex Schult. f.","COMMELINACEAE Dichorisandra pubescens Mart. ex Schult. f.","551922","x","SP","Rossi, L.","3062","Native","2017","Rossi, L.","2017","Bronze","Ouro",,,"Estação Ecológica de Itapeti, Trilha do Compressor"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Euphorbiaceae","Acalypha","amblyodonta","(Müll.Arg.) Müll.Arg.","EUPHORBIACEAE Acalypha amblyodonta (Müll.Arg.) Müll.Arg.","551912","x","SP","Rossi, L.","3002","Native","2017","Sousa, A.A.C.","2017","Ouro","Ouro",,,"Estação Ecológica de Itapeti, trilha do Palmital"
"ESTAÇÃO ECOLÓGICA ITAPETI","Angiosperms","Fabaceae","Leucochloron","incuriale","(Vell.) Barneby & J.W.Grimes","FABACEAE Leucochloron incuriale (Vell.) Barneby & J.W.Grimes","551921","splink","SP","Rossi, L.","3059","Native","2017","Ivanauskas, N.M.","2017","Prata","Ouro",,"Mogi das Cruzes","Estação Ecológica de Itapeti, trilha do Rato do Bambu"
