"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","340598","x","SP","Garcia, R.J.F.","1814","Native","2000","Kameyama, C.","2007","Ouro","Ouro",,,"Estação Ecológica Juréia-Itatins, Trilha do Imperador, mata de encosta, clareira"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","340599","x","SP","Garcia, R.J.F.","1870","Native","2000","Kameyama, C.","2007","Ouro","Ouro",,,"Estação Ecológica Juréia-Itatins, Trilha do Imperador, mata de encosta"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","275134","splink","SP","Melo, M.M.R.F.","1034","Native","1997","Kameyama, C.","1997","Ouro","Ouro",,"Iguape","Estação Ecológica Juréia-Itatins, às margens do rio Verde próximo ao alojamento"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","311201","splink","SP","Labiak, P.","350","Native","1996","Kameyama, C.","1996","Ouro","Ouro",,"Iguape","Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha da figueira"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","268719","splink","SP","Anunciacao, E.A.","416","Native","1993","Kameyama, C.","1997","Ouro","Ouro",,"Iguape","Estação Ecológica Juréia-Itatins, Caminho do Imperador em direção à praia do rio Verde"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","340602","x","SP","Garcia, R.J.F.","1896","Native","2000","Kameyama, C.","2007","Ouro","Ouro",,,"Estação Ecológica Juréia-Itatins, Trilha para Cachoeira do Salto"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","251830","x","SP","Rossi, L.","1018","Native","1991","Kameyama, C.","1997","Ouro","Ouro",,,"Estação Ecológica Juréia-Itatins, Trilha para a Cachoeira do Salto"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","247540","splink","SP","Cordeiro, I.","784","Native","1990","Kameyama, C.","1997","Ouro","Ouro",,"Iguape","Estação Ecológica Juréia-Itatins, Trilha para a Cachoeira do Salto"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Aphelandra","prismatica","(Vell.) Hiern","ACANTHACEAE Aphelandra prismatica (Vell.) Hiern","PMSP006054","x","PMSP","Garcia, R.J.F.","1896","Native","2000","Indriunas, A.","2009","Bronze","Ouro",,,"Estação Ecológica Jureia-Itatins. Trilha para a Cachoeira do Salto. Mata de planície."
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Angiosperms","Acanthaceae","Herpetacanthus","chalarostachyus","Indriunas & Kameyama","ACANTHACEAE Herpetacanthus chalarostachyus Indriunas & Kameyama","SP004833","splink","SP","Indriunas, A.","43","Native","2010","Indriunas, A.","2011","Ouro","Ouro",,"Peruíbe","Estação Ecológica Juréia-Itatins, Núcleo Arpoador, trilha do Fundão, descida do morro após o segundo riacho"
