"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO",,"Cucurbitaceae","Lagenaria","sphaerica","E.Mey.","CUCURBITACEAE Lagenaria sphaerica E.Mey.","RFFP35736",,"RFFP","Damasceno, D.B.M.","547",,"2024","Machado, D.N.S.","2024","Prata","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soarinho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Granada, RJ-116 (Rodovia Presidente João Goulart), km 16, 22º37´´55""S - 42º43´´24""W, 30 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO",,"Cucurbitaceae","Lagenaria","sphaerica","E.Mey.","CUCURBITACEAE Lagenaria sphaerica E.Mey.","RFFP35784",,"RFFP","Damasceno, D.B.M.","608",,"2024","Machado, D.N.S.","2024","Prata","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Monumento Natural Municipal da Serra do Soarinho, Núcleo Granada, RJ-116 (Rodovia Presidente João Goulart), km 16, 22º37´´55""S - 42º43´´24""W, 30 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO",,"Cucurbitaceae","Lagenaria","sphaerica","E.Mey.","CUCURBITACEAE Lagenaria sphaerica E.Mey.","RFFP35853",,"RFFP","Damasceno, D.B.M.","718",,"2024","Damasceno, D.B.M.","2024","Bronze","Ouro",,"Cachoeiras de Macacu","Japuíba, Monumento Natural Municipal da Serra do Soarinho, Núcleo Bertholdo, margem do Rio Macacu, 22º33´´32""S - 42º41´´34""W, 22 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO",,"Cucurbitaceae","Lagenaria","sphaerica","E.Mey.","CUCURBITACEAE Lagenaria sphaerica E.Mey.","RFFP35562",,"RFFP","Damasceno, D.B.M.","294",,"2023","Damasceno, D.B.M.","2023","Bronze","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soainho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Granada, RJ-116 (Rodovia Presidente João Goulart), km 16, 22º37´´55""S - 42º43´´24""W, 30 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Angiosperms","Loganiaceae","Strychnos",,"L.","LOGANIACEAE Strychnos L.","RFFP35775",,"RFFP","Damasceno, D.B.M.","596",,"2024",,,"Latão","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soarinho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Soarinho, área da Janela do Céu, 22°37´´00""S, 42°41´´01""W, 185 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Angiosperms","Loganiaceae","Strychnos",,"L.","LOGANIACEAE Strychnos L.","RFFP35775","splink","RFFP","Damasceno, D.B.M.","596",,"2024",,,"Latão","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soarinho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Soarinho, área da Janela do Céu, 22°37´´00""S, 42°41´´01""W, 185 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Ferns and Lycophytes","Lomariopsidaceae","Lomariopsis",,"Fée","LOMARIOPSIDACEAE Lomariopsis Fée","RFFP35642",,"RFFP","Damasceno, D.B.M.","403",,"2023",,,"Latão","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soarinho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Soarinho, 22°37´´00""S, 42°41´´01""W, 185 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Angiosperms","Malpighiaceae","Janusia","mediterranea","(Vell.) W.R.Anderson","MALPIGHIACEAE Janusia mediterranea (Vell.) W.R.Anderson","RFFP35776",,"RFFP","Damasceno, D.B.M.","597",,"2024","Almeida, R.F.","2024","Ouro","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Monumento Natural Municipal da Serra do Soarinho, Núcleo Cavada, trilha para a parte alta com acesso pelo Parque Terra Santa, 22º35´´12""S - 42°41´´15""W, 358 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Angiosperms","Malpighiaceae","Janusia","mediterranea","(Vell.) W.R.Anderson","MALPIGHIACEAE Janusia mediterranea (Vell.) W.R.Anderson","RFFP35776","splink","RFFP","Damasceno, D.B.M.","597",,"2024","Almeida, R.F.","2024","Ouro","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Monumento Natural Municipal da Serra do Soarinho, Núcleo Cavada, trilha para a parte alta com acesso pelo Parque Terra Santa, 22º35´´12""S - 42°41´´15""W, 358 msm."
"MONUMENTO NATURAL MUNICIPAL DA SERRA DO SOARINHO","Angiosperms","Malpighiaceae","Janusia","mediterranea","(Vell.) W.R.Anderson","MALPIGHIACEAE Janusia mediterranea (Vell.) W.R.Anderson","RFFP35684",,"RFFP","Damasceno, D.B.M.","468",,"2023","Almeida, R.F.","2023","Ouro","Ouro",,"Cachoeiras de Macacu","Brasil, Estado do Rio de Janeiro, Município de Cachoeiras de Macacu, Soarinho, Monumento Natural Municipal da Serra do Soarinho, Núcleo Cavada, trilha para a parte alta com acesso pelo Parque Terra Santa, 22º35´´12""S - 42°41´´15""W, 358 msm."
