"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","UPCB00081486","x","UPCB","Engels, M.E.","12461",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","UPCB00081485","x","UPCB","Engels, M.E.","12460",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","UPCB00081484","x","UPCB","Engels, M.E.","12459",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","111341","x","UPCB","Engels, M.E.","12459",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","111342","x","UPCB","Engels, M.E.","12460",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Ferns and Lycophytes","Dryopteridaceae","Polybotrya",,"Willd.","DRYOPTERIDACEAE Polybotrya Willd.","111343","x","UPCB","Engels, M.E.","12461",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Angiosperms","Meliaceae","Cabralea",,"A.Juss.","MELIACEAE Cabralea A.Juss.","116396","x","UPCB","Engels, M.E.","12451",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings."
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Angiosperms","Meliaceae","Cabralea",,"A.Juss.","MELIACEAE Cabralea A.Juss.","UPCB0102495",,"UPCB","Engels, M.E.","12451",,"2022","Engels, M.E.","2022","Bronze","Ouro",,"São Bernardo do Campo","Parque Estadual Águas da Billings."
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Angiosperms","Monimiaceae","Mollinedia",,"Ruiz & Pav.","MONIMIACEAE Mollinedia Ruiz & Pav.","117077","x","UPCB","Engels, M.E.","12442",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS",,,"Trematodon",,,"NA Trematodon sp.","HUCP00027134","splink","HUCP","Engels, M.E.","s.n.",,"2022","Canestraro, B.K.","2022","Bronze","Ouro",,"São Bernardo do Campo","Parque Estadual Águas da Billings"
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Angiosperms","Salicaceae","Casearia",,"Jacq.","SALICACEAE Casearia Jacq.","116397","x","UPCB","Engels, M.E.","12450",,"2022","Engels, M.E.","2022","Bronze","Ouro",,,"Parque Estadual Águas da Billings."
"PARQUE ESTADUAL ÁGUAS DA BILLINGS","Angiosperms","Salicaceae","Casearia",,"Jacq.","SALICACEAE Casearia Jacq.","UPCB0102548",,"UPCB","Engels, M.E.","12450",,"2022","Engels, M.E.","2022","Bronze","Ouro",,"São Bernardo do Campo","Parque Estadual Águas da Billings."
