"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Araliaceae","Dendropanax","exilis","(Toledo) S.L.Jung","ARALIACEAE Dendropanax exilis (Toledo) S.L.Jung","SPF00189550",,"SPF","Pastore, J.A.","1098","Native","2002","Fiaschi, P.","5/6","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/18/95/50/spf00189550.dzi","São Vicente","Parque Estadual Xixová-Japuí"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Picramniaceae","Picramnia","ciliata","Mart.","PICRAMNIACEAE Picramnia ciliata Mart.","SPF00159214",,"SPF","Pastore, J.A.","1102","Native","2002","Pirani, J.R.","2003","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/15/92/14/spf00159214.dzi","São Vicente","Parque Estadual Xixová-Japuí, Trilha da pedreira, segundo acesso sentido costeira, caminho para o Morro Japuí, na mata."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Meliaceae","Guarea","macrophylla","(Vell.) T.D.Penn.","MELIACEAE Guarea macrophylla subsp. tuberculata (Vell.) T.D.Penn.","SPF00194603",,"SPF","Pastore, J.A.","1087","Native","2001","Pastore, J.A.","31/8/1","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/19/46/3/spf00194603.dzi","São Vicente","Parque Estadual Xixová-Japuí"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Poaceae","Urochloa","mutica","(Forssk.) T.Q.Nguyen","POACEAE Urochloa mutica (Forssk.) T.Q.Nguyen","553072","splink","SP","Shirasuna, R.T.","5069","Naturalized","2022",,,"Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, praia de Itaquitanduva"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Begoniaceae","Begonia","cucullata","Willd.","BEGONIACEAE Begonia cucullata Willd.","HUSC011429","splink","HUSC","Almeida, O.J.G.","31","Native","2016","Kollmann, L.","2016","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Erythroxylaceae","Erythroxylum","catharinense","Amaral","ERYTHROXYLACEAE Erythroxylum catharinense Amaral","PMSP012592","x","PMSP","Pastore, J.A.","1243","Native","2003","Mendonca, J.O.",,"Ouro","Ouro",,,"Parque Estadual Xixová-Japuí, região de Paranapuã, trilha atrás do CECOF, mata. Coord. S 23°58'37''-24°02'06'' W 46°22'19''-46°24'42''."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Myrtaceae","Myrcia","loranthifolia","(DC.) G.P.Burton & E.Lucas","MYRTACEAE Myrcia loranthifolia (DC.) G.P.Burton & E.Lucas","SPSF00035306","splink","SPSF","Moura, C.","54","Native","2003","Aguiar, O.T.","2018","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Asteraceae","Vernonanthura","discolor","(Spreng.) H.Rob.","ASTERACEAE Vernonanthura discolor (Spreng.) H.Rob.","UEC017864","splink","UEC","Pastore, J.A.","1267","Native","2003","Monge, M.","2015","Ouro","Ouro",,"São Vicente","parque estadual Xixová-Japui.Estrada de acesso á região de Paranapuã, em barranco."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Myrtaceae","Eugenia","arvensis","Vell.","MYRTACEAE Eugenia arvensis Vell.","BHCB019785","splink","BHCB","Pastore, J.A.","1255","Native","2003","Sobral, M.","2014","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, Trilha da Pedreira, primeiro acesso após o mirante, topo de morro"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Moraceae","Ficus","adhatodifolia","Schott in Spreng.","MORACEAE Ficus adhatodifolia Schott in Spreng.","367190","splink","SP","Pastore, J.A.","1274","Native","2003","Pederneiras, L.C.","2011","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, Paranapuã"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Melastomataceae","Miconia","prasina","(Sw.) DC.","MELASTOMATACEAE Miconia prasina (Sw.) DC.","UPCB00020772","x","UPCB","Pastore, J.A.","1241","Native","2003","Goldenberg, R.","2005","Ouro","Ouro",,,"Parque Estadual Xixová-Japuí."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Solanaceae","Solanum","diploconos","(Mart.) Bohs","SOLANACEAE Solanum diploconos (Mart.) Bohs","HPL011021","splink","HPL","Mouta, C.","31","Native","2003","Stehmann, J.R.","2005","Ouro","Ouro",,"São Vicente","Coletado no Parque Estadual Xixová-Japuí, no morro do Japuí; em área de mata de encosta. S 23° 58' 37"" - 24° 02' 06""; W 46° 22' 19"" - 46° 24' 42"""
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Malpighiaceae","Stigmaphyllon","ciliatum","(Lam.) A.Juss.","MALPIGHIACEAE Stigmaphyllon ciliatum (Lam.) A.Juss.","SP021137","splink","SP","Pastore, J.A.","1277","Native","2003","Mamede, M.C.H.","2004","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, Região de Paranapuã, costão próximo da praia"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Malvaceae","Triumfetta","semitriloba","Jacq.","MALVACEAE Triumfetta semitriloba Jacq.","366448","splink","SP","Pastore, J.A.","1284","Native","2003","Esteves, G.L.","2004","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Acanthaceae","Herpetacanthus","pauciflorus","Indriunas & Kameyama","ACANTHACEAE Herpetacanthus pauciflorus Indriunas & Kameyama","SPSF00029194","splink","SPSF","Pastore, J.A.","1103","Native","2002",,,"Ouro","Ouro",,"São Vicente","Trilha da Pedreira Parque Estadual Xixová-Japuí"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Lauraceae","Licaria","armeniaca","(Nees) Kosterm.","LAURACEAE Licaria armeniaca (Nees) Kosterm.","150387","x","BHCB","Pastore, J.A.","1120","Native","2002","Baitello, J.B.",,"Ouro","Ouro",,,"Parque Estadual Xixová-Japuí, Região de Paranapuã, trilha da caixa d´gua na mata"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Melastomataceae","Leandra","reversa","(DC.) Cogn.","MELASTOMATACEAE Leandra reversa (DC.) Cogn.","UPCB00014410","x","UPCB","Pastore, J.A.","1157","Native","2002","Goldenberg, R.",,"Ouro","Ouro",,,"Parque Estadual Xixová-Japuí."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Piperaceae","Piper","rivinoides","Kunth","PIPERACEAE Piper rivinoides Kunth","RB00370811","x","RB","Pastore, J.A.","1110","Native","2002","Monteiro, D.",,"Ouro","Ouro",,,"Parque Estadual Xixová-Japuí. Trilha da pedreira, segundo acesso sentido costeira, caminho para o Morro Japuí."
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Myrtaceae","Myrceugenia","myrcioides","(Cambess.) O.Berg","MYRTACEAE Myrceugenia myrcioides (Cambess.) O.Berg","SPSF00030116","splink","SPSF","Pastore, J.A.","1190","Native","2002","Aguiar, O.T.","2022","Ouro","Ouro",,"São Vicente","Região de Paranapuã, Trilha da Caixa D´água, margem do caminho. Parque Estadual Xixová-Japui"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Moraceae","Ficus","arpazusa","Casar.","MORACEAE Ficus arpazusa Casar.","396860","splink","SP","Pastore, J.A.","1121","Native","2002","Pelissari, G.","2015","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã, início da trilha da caixa d#?#água"
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Angiosperms","Malpighiaceae","Bunchosia","maritima","(Vell.) J.F.Macbr.","MALPIGHIACEAE Bunchosia maritima (Vell.) J.F.Macbr.","SP013773","splink","SP","Pastore, J.A.","1155","Native","2002","Mamede, M.C.H.","2013","Ouro","Ouro",,"São Vicente","Parque Estadual Xixová-Japuí, Praia de Paranapuã, baixa encosta"
