"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","UEC160635","splink","UEC","Pedreira, L.O.L.","1","Native","2017","Castello, A.C.D.","2018","Ouro","Ouro",,"Rio de Janeiro","Parque Natural Municipal Paisagem Carioca. Morro do Leme. Forte do Leme, junto a estrada que sobe para a bandeira, a esquerda da subida, área de encosta, ocorrência natural, face LesteSudeste."
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Aristolochiaceae","Aristolochia","cynanchifolia","Mart. & Zucc.","ARISTOLOCHIACEAE Aristolochia cynanchifolia Mart. & Zucc.","RB01193838","x","RB","Cardoso, L.J.T.","1701","Native","2012","Freitas, J.","2022","Ouro","Ouro",,"Rio de Janeiro","Botafogo, vertente norte do Morro São João, próximo ao cume, na trilha que desce do cume em direção a Botafogo, na margem da trilha. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Dioscoreaceae","Dioscorea","piperifolia","Humb. & Bonpl. ex Willd.","DIOSCOREACEAE Dioscorea piperifolia Humb. & Bonpl. ex Willd.","RB01142886","x","RB","Cardoso, L.J.T.","919","Native","2009","Couto, R.S.",,"Ouro","Ouro",,"Rio de Janeiro","Leme, Morro do Leme, Forte Duque de Caxias, caminho para o Forte (topo do morro) Parque Natural Municipal da Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Solanaceae","Solanum","caavurana","Vell.","SOLANACEAE Solanum caavurana Vell.","RB01142904","x","RB","Cardoso, L.J.T.","898","Native","2009","Knapp, S.",,"Ouro","Ouro",,"Rio de Janeiro","Leme, Morro do Leme, Forte Duque de Caxias, caminho para o Forte (topo do morro). Floresta Ombrófila Densa submontana/Thicket Lenhoso Atlântico (sensu Rizzini). Parque Natural Municipal da Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Oxalidaceae","Oxalis","fruticosa","Raddi","OXALIDACEAE Oxalis fruticosa Raddi","RB01184877","x","RB","Cardoso, L.J.T.","614","Native","2008","Fiaschi, P.","2024","Ouro","Ouro",,,"Divisa entre os Bairros de Botafogo e Copacabana, próximo a cumeeira do Morro São João, subindo pelo Parque da Chacrinha (Copacabana). Coordenadas aproximadas da população (WGS84). Floresta de encosta, em nível sucessional médio-avançado, trecho de mata nativa. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Asteraceae","Chromolaena","maximiliani","(Schrad. ex DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena maximiliani (Schrad. ex DC.) R.M.King & H.Rob.","RBR00044323",,"RBR","Pedreira, L.O.L.","28","Native","2018","Santana, C.A.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/4/43/23/rbr00044323.jpg","Rio de Janeiro","Ilha de Cotunduba. Ilha de Cotunduba. Setor Cotunduba. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Bignoniaceae","Fridericia","conjugata","(Vell.) L.G.Lohmann","BIGNONIACEAE Fridericia conjugata (Vell.) L.G.Lohmann","RBR00044316",,"RBR","Pedreira, L.O.L.","32","Native","2018","Sena, R.R.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/4/43/16/rbr00044316.jpg","Rio de Janeiro","Ilha de Cotunduba. Ilha de Cotunduba. Setor Cotunduba. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Clusiaceae","Clusia","fluminensis","Planch. & Triana","CLUSIACEAE Clusia fluminensis Planch. & Triana","RBR00044326",,"RBR","Pedreira, L.O.L.","29","Native","2018","Pedreira, L.O.L.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/4/43/26/rbr00044326.jpg","Rio de Janeiro","Ilha de Cotunduba. Ilha de Cotunduba. Setor Cotunduba. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Fabaceae","Senegalia","polyphylla","(DC.) Britton & Rose","FABACEAE Senegalia polyphylla (DC.) Britton & Rose","RBR00055474",,"RBR","Pedreira, L.O.L.","27","Native","2018","Sena, R.R.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/54/74/rbr00055474.jpg","Rio de Janeiro","Parque Natural Municipal Paisagem Carioca. Ilha de Cotunduba. Setor Cotunduba."
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Fabaceae","Senna","pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","FABACEAE Senna pendula (Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","RBR00055475",,"RBR","Pedreira, L.O.L.","33","Native","2018","Sena, R.R.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/54/75/rbr00055475.jpg","Rio de Janeiro","Parque Natural Municipal Paisagem Carioca. Ilha de Cotunduba. Setor Cotunduba."
