"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LITORAL NORTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MORRO FERRABRAZ - ARARICÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA ARACURI-ESMERALDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA TAIM",7,1,0,1,6,6,6,6,4,0
"FLORESTA NACIONAL CANELA",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL PASSO FUNDO",0,0,0,0,NA,NA,NA,NA,NA,NA
"FLORESTA NACIONAL SÃO FRANCISCO DE PAULA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL MUNICIPAL CAPÃO DA AMIZADE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PALEONTOLÓGICO SANGA DA ALEMOA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL CAMAQUÃ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL DELTA DO JACUÍ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL ESPIGÃO ALTO",3,0,0,2,2,2,2,2,0,0
"PARQUE ESTADUAL ESPINILHO",3,2,0,0,3,3,3,2,1,0
"PARQUE ESTADUAL IBITIRIÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL ITAPEVA",1,0,0,0,1,1,1,1,1,0
"PARQUE ESTADUAL ITAPUÃ",5,2,1,0,5,5,4,3,2,0
"PARQUE ESTADUAL PAPAGAIO-CHARÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL PODOCARPUS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL QUARTA COLÔNIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL TAINHAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL TURVO",13,2,0,1,10,10,10,6,7,0
"PARQUE MUNICIPAL NATURAL MATA DO RIO URUGUAI TEIXEIRA SOARES",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NACIONAL LAGOA DO PEIXE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL APERTADO",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL BANHADO DA IMPERATRIZ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL BARRA DO RIO GRANDE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CASCATA DO SALSO",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL LOGEMANN",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MANUEL DE BARROS PEREIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MATA LESTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MORRO JOSÉ LUTZENBERGER",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL MORROS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PAMPA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PINHEIROS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL RONDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL SAINT HILAIRE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL SERTÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BANHADO DO MAÇARICO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE BANHADO DOS PACHECOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ILHA DOS LOBOS",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MOLHE LESTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA BIOPAMPA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA DÁRVIN JOÃO GEREMIA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA ESTADUAL MATA PALUDOSA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA IBICUÍ MIRIM",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA IBIRAPUITÃ",8,2,0,2,4,4,4,3,0,0
"RESERVA BIOLÓGICA LAMI JOSÉ LUTZENBERGER",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA MATO GRANDE",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA SÃO DONATO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA BIOLÓGICA SERRA GERAL",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA VISTA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOSQUE DE CANELA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHACARA SANANDUVA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COSTA DO SERRO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL BARBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL MO'Ã",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL PASSO DO BURACO",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL SALTO FORQUETA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA SANTA IZABEL DO BUTUÍ",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA SANTA RITA",0,0,0,0,NA,NA,NA,NA,NA,NA
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FARROUPILHA",0,0,0,0,NA,NA,NA,NA,NA,NA
