"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Dictyotaceae","Zonaria","tournefortii","(J.V. Lamour.) Mont.","DICTYOTACEAE Zonaria tournefortii (J.V. Lamour.) Mont.","HUNI00005412","splink","HUNI","Mitchell, G.J.P.",,"Native","1993","Mitchell, G.J.P.",,"Bronze","Ouro",,"Macaé","Área de Proteção Ambiental do Arquipélago de Santana (APA do Arquipélago de Santana)"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA",,"Dictyotaceae","Dictyota","menstrualis","(Hoyt) Schnetter, Hörnig & Weber-Peukert","DICTYOTACEAE Dictyota menstrualis (Hoyt) Schnetter, Hörnig & Weber-Peukert","HUNI00005081","splink","HUNI","Mitchell, G.J.P.",,,"1992","Lopes Filho, E.A.P.","2016","Bronze","Ouro",,"Macaé","Área de Proteção Ambiental do Arquipélago de Santana (APA Arquipélago de Santana)"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Bromeliaceae","Billbergia","tweedieana","Baker","BROMELIACEAE Billbergia tweedieana Baker","R010005082",,"R","Wendt, T.","562","Native",,"Costa, A.F.",,"Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/5/8/2/r010005082.jpg","Macaé","Ilha de Santana. Em cultivo com T. Wendt (RFA)"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Fabaceae","Machaerium","robsonianum","Filardi & H.C.Lima","FABACEAE Machaerium robsonianum Filardi & H.C.Lima","MBM404900",,"MBM","Filardi, F.L.R.","706","Native","2007","Filardi, F.","2014","Ouro","Prata","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/0/mbm00404900.dzi|jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/0/mbm00404900.dzi|jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/0/mbm00404900.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/0/mbm00404900-0.dzi|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/40/49/0/mbm00404900-1.dzi","Macaé","Ilha Santana, Ca. 8km da costa da praia de Imbetiba. Subida para o Farol."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Angiosperms","Myrtaceae","Campomanesia","eugenioides","(Cambess.) D.Legrand ex Landrum","MYRTACEAE Campomanesia eugenioides (Cambess.) D.Legrand ex Landrum","HUEFS0162633","splink","HUEFS","Lima, H.C.","6503","Native","2007","Souza, M.C.","2007","Ouro","Prata",,"Macaé","Ilha de Santana. 269"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Angiosperms","Piperaceae","Piper","amalago","L.","PIPERACEAE Piper amalago L.","RB01228764","x","RB","Araujo, D.","8669","Native","1988","Guimaraes, E.F.",,"Ouro","Prata",,"Macaé","Município de Macaé, Ilha de Santana, na trilha para o farol, em vegetação arbustiva;"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Angiosperms","Capparaceae","Monilicarpa","brasiliana","(Banks ex DC.) Cornejo & Iltis","CAPPARACEAE Monilicarpa brasiliana (Banks ex DC.) Cornejo & Iltis","VIES004972",,"VIES","Araujo, D.S.D.","8646","Native","1988","Soares Neto, R.L.","2014","Ouro","Prata",,"Macaé","Ilha de Santana."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Rubiaceae","Coussarea","capitata","(Benth.) Müll.Arg.","RUBIACEAE Coussarea capitata (Benth.) Müll.Arg.","UFACPZ036278","splink","UFACPZ","Araujo, D.","8661","Native","1988","Gomes, M.","1998","Ouro","Prata",,"Macaé","Ilha de santana, na trilha para o farol."
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Fabaceae","Centrosema",,"(DC.) Benth.","FABACEAE Centrosema (DC.) Benth.","RFA17650",,"RFA","Superiores, A.V.",,"Native","1985","Queiroz, R.T.","2009","Ouro","Prata",,"Macaé","Ilha de Santana (12 milhas náuticas a leste de Macaé)"
"ÁREA DE PROTEÇÃO AMBIENTAL ARQUIPELAGO DE SANTANA","Algae","Ebenaceae","Diospyros","inconstans","Jacq.","EBENACEAE Diospyros inconstans Jacq.","NIT00010790",,"NIT","Araujo, D.","8659","Native","1988","Lopes, R.C.","1996","Bronze","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/nit/nit/0/1/7/90/nit00010790.jpg","Macaé","Ilha de Santana. No solo arenoso no final da praia, crescendo em vegetação arbustiva."
