"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","RBR00009961",,"RBR","Nettesheim, F.C.","55","Native","2004","Braz, D.M.","2016","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/0/99/61/rbr00009961.jpg","Mangaratiba","Ilha da Marambaia, Ilha da Marambaia, Ma de encosta, linha 16 da fitosociologia lado noroeste."
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","RBR00005814",,"RBR","Siqueira, G.M.","67","Native","2002","Braz, D.M.","2016","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/0/58/14/rbr00005814.jpg","Mangaratiba","Ilha da Marambaia, Acima da gruta. Floresta de encosta."
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acanthaceae","Aphelandra","longiflora","(Lindl.) Profice","ACANTHACEAE Aphelandra longiflora (Lindl.) Profice","RBR00005815",,"RBR","Conde, M.M.S.","625","Native","2002","Braz, D.M.","2016","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/0/58/15/rbr00005815.jpg","Mangaratiba","Ilha da Marambaia, Ilha da Marambaia, mata de encosta, linha 7, rumo SONE, avulso."
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acanthaceae","Justicia","plumbaginifolia","Jacq.","ACANTHACEAE Justicia plumbaginifolia Jacq.","RBR00038432",,"RBR",,"s.n.","Native",,,,"Latão","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/3/84/32/rbr00038432.jpg","Mangaratiba","Ilha da Marambaia, Brasil, RJ, Município de Mangaratiba, Marambaia"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acanthaceae","Justicia","plumbaginifolia","Jacq.","ACANTHACEAE Justicia plumbaginifolia Jacq.","RBR00038433",,"RBR","Cysneiros, V.C.","s.n.","Native",,,,"Latão","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/3/84/33/rbr00038433.jpg","Mangaratiba","Ilha da Marambaia, Brasil, RJ, Município de Mangaratiba, Marambaia"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acinetosporaceae","Feldmannia","irregularis","(Kütz.) Hamel","ACINETOSPORACEAE Feldmannia irregularis (Kütz.) Hamel","R000189905","splink","R-ALGAE","Cassano, V.",,"Native","1994","Cassano, V.",,"Bronze","Prata",,"Mangaratiba","Conceição de Jacareí"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acinetosporaceae","Feldmannia","irregularis","(Kütz.) Hamel","ACINETOSPORACEAE Feldmannia irregularis (Kütz.) Hamel","R000189906","splink","R-ALGAE","Cassano, V.",,"Native","1994","Cassano, V.",,"Bronze","Prata",,"Mangaratiba","Conceição de Jacareí"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acinetosporaceae","Feldmannia","irregularis","(Kütz.) Hamel","ACINETOSPORACEAE Feldmannia irregularis (Kütz.) Hamel","R000189903","splink","R-ALGAE","Cassano, V.",,"Native","1993","Cassano, V.",,"Bronze","Prata",,"Mangaratiba","Conceição de Jacareí"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Angiosperms","Acinetosporaceae","Feldmannia","irregularis","(Kütz.) Hamel","ACINETOSPORACEAE Feldmannia irregularis (Kütz.) Hamel","R000189904","splink","R-ALGAE","Cassano, V.",,"Native","1993","Cassano, V.",,"Bronze","Prata",,"Mangaratiba","Conceição de Jacareí"
"ÁREA DE PROTEÇÃO AMBIENTAL MANGARATIBA","Ferns and Lycophytes","Acinetosporaceae","Feldmannia","irregularis","(Kütz.) Hamel","ACINETOSPORACEAE Feldmannia irregularis (Kütz.) Hamel","HRJ00007795",,"HRJ","Cassano, V.","s.n.","Native","1994",,,"Latão","Prata",,"Mangaratiba","Conceição de Jacareí."
