"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Sapindaceae","Serjania",,"Mill.","SAPINDACEAE Serjania Mill.","RBR00055949",,"RBR","Medeiros, H.","4492","Native","2021",,,"Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/59/49/rbr00055949.jpg","Maricá","Reserva Ecológica de Jacarepiá. APA de Massambaba."
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Fabaceae","Marlimorimia","contorta","(DC.) L.P.Queiroz & P.G.Ribeiro","FABACEAE Marlimorimia contorta (DC.) L.P.Queiroz & P.G.Ribeiro","RBR00045909",,"RBR","Mendonca Junior, J.O.","s/n","Native","2015","Morim, M.P.","2018","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/4/59/9/rbr00045909.jpg","Saquarema","Parque Estadual Costa do Sol. APA de Massambaba / PE Costa do Sol"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Apocynaceae","Ditassa","maricaensis","Fontella & E.A.Schwarz","APOCYNACEAE Ditassa maricaensis Fontella & E.A.Schwarz","SPF00200523",,"SPF","Carvalho, D.A.","90","Native","2009","Pereira, J.F.","9/12/9","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/20/5/23/spf00200523.dzi","Arraial do Cabo","APA de Massambaba, Restinga arbustiva aberta."
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Myrtaceae","Eugenia","selloi","(O. Berg) B.D. Jacks.","MYRTACEAE Eugenia selloi (O. Berg) B.D. Jacks.","SPF00206458",,"SPF","Carvalho, D.A.","75","Native","2009","Souza, M.","20/10/10","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/20/64/58/spf00206458.dzi","Arraial do Cabo","Área de Proteção Ambiental de Massambaba"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Loranthaceae","Psittacanthus","dichroos","(Mart.) Mart.","LORANTHACEAE Psittacanthus dichroos (Mart.) Mart.","SPF00200548",,"SPF","Carvalho, D.A.","96","Native","2009","Dettke, G.A.","2019","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/20/5/48/spf00200548.dzi","Arraial do Cabo","Área de Proteção Ambiental de Massambaba"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Celastraceae","Peritassa","calypsoides","(Cambess.) A.C. Sm.","CELASTRACEAE Peritassa calypsoides (Cambess.) A.C. Sm.","SPF00189687",,"SPF","Fonseca-Kruel, V.S.","714","Native","2005","Lombardi, J.A.","9/14","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/18/96/87/spf00189687.dzi","Arraial do Cabo","Área de Proteção Ambiental de Massambaba"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Myrtaceae","Neomitranthes","obscura","(DC.) N.Silveira","MYRTACEAE Neomitranthes obscura (DC.) N.Silveira","RBR00061999",,"RBR","Oliveira, C.A.L.","1555","Native","2005","Souza, M.C.","2006","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/6/19/99/rbr00061999.jpg","Araruama","Praia Seca, Estrada de Arraial do Cabo, RJ 102, terreno da sede do Centro de Informações da APA Massambaba. APA de Massambaba"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Cactaceae","Rhipsalis","lindbergiana","K.Schum.","CACTACEAE Rhipsalis lindbergiana K.Schum.","R010028966",,"R","Freitas, M.F.","215","Native","1991","Zappi, D.","2014","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/28/96/6/r010028966.jpg","Saquarema","APA de Massambaba, Comoros da Lagoa Vermelha, zona de vida silvestre."
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Myrtaceae","Eugenia","gaudichaudiana","O.Berg","MYRTACEAE Eugenia gaudichaudiana O.Berg","RBR00035070",,"RBR","Somner, G.V.","675","Native","1991","Souza, M.C.","2011","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/3/50/70/rbr00035070.jpg","Saquarema","APA de Massambaba"
"ÁREA DE PROTEÇÃO AMBIENTAL MASSAMBABA","Angiosperms","Sapindaceae","Thinouia","restingae","Ferrucci & Somner","SAPINDACEAE Thinouia restingae Ferrucci & Somner","RB01440015","x","RB","Medeiros, H.","4491","Native","2021",,,"Ouro","Ouro",,,"Reserva Ecológica de Jacarepiá. APA de Massambaba."
