"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Fabaceae","Mimosa","schomburgkii","Benth.","FABACEAE Mimosa schomburgkii Benth.","MBM342685",,"MBM","Lima, H.C.","6607","Native","2007","Lima, H.C.","2007","Ouro","Ouro","imagens1.jbrj.gov.br/fsi/server?type=image&source=mbm/04-2016/MBM/0/34/26/85/MBM342685.JPG|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/34/26/85/mbm00342685.dzi","Petrópolis","Área de Proteção Ambiental da Região Serrana de Petrópolis. BR-040, KM 65ca. 100m antes da entrada para o Vale do Sossego."
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Ferns and Lycophytes","Fabaceae","Erythrina","speciosa","Andrews","FABACEAE Erythrina speciosa Andrews","RB01587581","x","RB","Salim, M.V.C.","196","Native","2024","Lima, H.C.",,"Ouro","Ouro",,,"Bonfim. Coletado no sítio da Sra. Magda. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Primulaceae","Cybianthus","brasiliensis","(Mez) G.Agostini","PRIMULACEAE Cybianthus brasiliensis (Mez) G.Agostini","RB01527668","x","RB","Nunes, D.","1964","Native","2024","Freitas, M.F.","2025","Ouro","Ouro",,,"Início da trilha para a Pedra do Retiro, a partir da Rua Anton Raps. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Loranthaceae","Struthanthus","salicifolius","(Mart.) Mart.","LORANTHACEAE Struthanthus salicifolius (Mart.) Mart.","HVC00009599","splink","HVC","Nunes, D.","1970","Native","2024","Caires, C.S.","2024","Ouro","Ouro",,"Petrópolis","Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Picramniaceae","Picramnia","glazioviana","Engl.","PICRAMNIACEAE Picramnia glazioviana Engl.","RB01527692","x","RB","Nunes, D.","1988","Native","2024","Pirani, J.R.","2024","Ouro","Ouro",,,"Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Rubiaceae","Manettia","mitis","(Vell.) K.Schum.","RUBIACEAE Manettia mitis (Vell.) K.Schum.","RB01527669","x","RB","Nunes, D.","1965","Native","2024","Gomes, M.","2024","Ouro","Ouro",,,"Início da trilha para a Pedra do Retiro, a partir da Rua Anton Raps. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Rubiaceae","Psychotria","nemorosa","Gardner","RUBIACEAE Psychotria nemorosa Gardner","RB01527675","x","RB","Nunes, D.","1971","Native","2024","Gomes, M.","2024","Ouro","Ouro",,,"Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Rubiaceae","Psychotria","stachyoides","Benth.","RUBIACEAE Psychotria stachyoides Benth.","RB01527685","x","RB","Nunes, D.","1981","Native","2024","Gomes, M.","2024","Ouro","Ouro",,,"Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Rubiaceae","Psychotria","suterella","Müll.Arg.","RUBIACEAE Psychotria suterella Müll.Arg.","RB01527699","x","RB","Nunes, D.","1995","Native","2024","Gomes, M.","2024","Ouro","Ouro",,,"No platô antes da subida final da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Rubiaceae","Rudgea","coronata","(Vell.) Müll.Arg.","RUBIACEAE Rudgea coronata (Vell.) Müll.Arg.","RB01527681","x","RB","Nunes, D.","1977","Native","2024","Gomes, M.","2024","Ouro","Ouro",,,"Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Malpighiaceae","Niedenzuella","poeppigiana","(A.Juss.) W.R.Anderson","MALPIGHIACEAE Niedenzuella poeppigiana (A.Juss.) W.R.Anderson","SP122545","splink","SP","Pellegrini, M.O.O.","490","Native","2016","Almeida, R.F.","2016","Ouro","Ouro",,"Petrópolis","APA da Região Serrana de Petrópolis. Moinho Preto, entrada da trilha para a Pedra do Retiro"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Fabaceae","Leucochloron","incuriale","(Vell.) Barneby & J.W.Grimes","FABACEAE Leucochloron incuriale (Vell.) Barneby & J.W.Grimes","K003120910","splink","K","Lima, H.C.","7070","Native","2009",,,"Ouro","Ouro",,"Petrópolis","Petrópolis. Área de Proteçao Ambiental da Regiao Serrana de Petrópolis. Itaiava, Vale do sossego, Condomínio Vale so Sossego, final da rua R."
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Araliaceae","Hydrocotyle","quinqueloba","Ruiz & Pav.","ARALIACEAE Hydrocotyle quinqueloba Ruiz & Pav.","SPF00196453","splink","SPF","Borges, R.","980","Native","2009","Fiaschi, P.","2010","Ouro","Ouro",,"Petrópolis","APA da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Bromeliaceae","Tillandsia","reclinata","E.Pereira & Martinelli","BROMELIACEAE Tillandsia reclinata E.Pereira & Martinelli","SP053045","splink","SP","Martinelli, G.","16217","Native","2008","Martinelli, G.","2008","Ouro","Ouro",,"Petrópolis","APA da Região Serrana de Petrópolis. Vale das videiras, Morro do Cuca, pico do Pindoba, vertente NE. Em cultivo no JBRJ."
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Gesneriaceae","Nematanthus","hirtellus","(Schott) Wiehler","GESNERIACEAE Nematanthus hirtellus (Schott) Wiehler","RB00118716","x","RB","Duarte, A.P.","1553","Native","1948","Chautems, A.","1987","Ouro","Ouro",,"Petrópolis","Serra de Petrópolis. Cerca de Km 60 mais ou menos. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS",,"Melastomataceae","Miconia","racemifera","(DC.) Triana","MELASTOMATACEAE Miconia racemifera (DC.) Triana","UPCB00085307",,"UPCB","Nunes, D.","1994",,"2024","Nunes, D.","2024","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/8/53/7/upcb00085307.dzi","Petrópolis","No platô antes da subida final da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL REGIÃO SERRANA DE PETRÓPOLIS","Angiosperms","Melastomataceae","Miconia","willdenowii","Klotzsch ex Naudin","MELASTOMATACEAE Miconia willdenowii Klotzsch ex Naudin","UPCB00085345",,"UPCB","Nunes, D.","1986","Native","2024","Nunes, D.","2024","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/8/53/45/upcb00085345.dzi","Petrópolis","Na trilha da Pedra do Retiro. Área de Proteção Ambiental da Região Serrana de Petrópolis"
