"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Melastomataceae","Leandra","glazioviana","Cogn.","MELASTOMATACEAE Leandra glazioviana Cogn.","RB00810331","x","RB","Ribeiro, E.A.","34",,"2009","Chiavegatto, B.","2013","Bronze","Ouro",,,"Distrito Agrícola, Bairro de Cachoeira Grande, Serra dos Órgãos, Área de Proteção Ambiental de Suruí, Vale do Rio Itaculumi, Trilha suvindo a margem direita deste rio."
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Araceae","Anthurium","intermedium","Kunth","ARACEAE Anthurium intermedium Kunth","R010104174",,"R","Silva, A.G.O.","376","Native","2013","Nadruz, M.","2014","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/1/4/17/4/r010104174.jpg","Magé","Santo Aleixo. Monjolo. APA de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Araceae","Anthurium","longifolium","(Hoffmanns.) G.Don","ARACEAE Anthurium longifolium (Hoffmanns.) G.Don","R010106370",,"R","Silva, A.G.O.","513","Native","2013","Nadruz, M.","2014","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/1/6/37/0/r010106370.jpg","Magé","Santo Aleixo, Monjolos, APA de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Ferns and Lycophytes","Podostemaceae","Lophogyne","lacunosa","(Gardner) C.P.Bove & C.T.Philbrick","PODOSTEMACEAE Lophogyne lacunosa (Gardner) C.P.Bove & C.T.Philbrick","R010095454",,"R","Bove, C.P.","2305","Native","2013","Bove, C.P.","2013","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/95/45/4/r010095454.jpg","Magé","Santo Aleixo. Pico na Capitão Antero. Córrego das Pedras Negras, ca. de 200 m acima da Cachoeira do Monjolo"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Podostemaceae","Podostemum","scaturiginum","(Mart.) C.T.Philbrick & Novelo","PODOSTEMACEAE Podostemum scaturiginum (Mart.) C.T.Philbrick & Novelo","R010096249",,"R","Bove, C.P.","2308","Native","2013","Bove, C.P.","2013","Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/96/24/9/r010096249.jpg","Magé","Santo Aleixo, Bairro do Pico, rua Capitão Antero, rio do Pico, Toca do Índio"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Bromeliaceae","Neoregelia","carolinae","(Beer) L.B.Sm.","BROMELIACEAE Neoregelia carolinae (Beer) L.B.Sm.","R010005634",,"R","Costa, A.F.","921","Native","2011","Costa, A.F.",,"Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/5/63/4/r010005634.jpg","Magé","Santo Aleixo, Cachoeira Grande, trilha para represa da CEDAE."
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Bromeliaceae","Pitcairnia","flammea","Lindl.","BROMELIACEAE Pitcairnia flammea var. flammea Lindl.","R010006787",,"R","Costa, A.","920","Native","2011","Costa, A.",,"Ouro","Prata","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/6/78/7/r010006787.jpg","Magé","Santo Aleixo. Cachoeira Grande, trilha para represa da CEDAE"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Melastomataceae","Bertolonia","leuzeana","(Bonpl.) DC.","MELASTOMATACEAE Bertolonia leuzeana (Bonpl.) DC.","RFFP32823",,"RFFP","Ribeiro, E.A.","640","Native","2019","Bacci, L.F.","2021","Ouro","Prata",,"Magé","Santo Aleixo, Base Avançada Campo Coruja, Trilha para a Pedra do Demétrio, 23k 701933 E / 7508561 S, 412 msm."
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Rubiaceae","Palicourea",,"Aubl.","RUBIACEAE Palicourea Aubl.","R000077641",,"R","Silva, A.G.O.","769","Native","2014","Delprete, P.G.","2019","Ouro","Prata",,"Magé","Santo Aleixo, APA de Petrópolis"
"ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ","Angiosperms","Myrtaceae","Myrcia","carioca","A.R.Lourenço & E.Lucas","MYRTACEAE Myrcia carioca A.R.Lourenço & E.Lucas","RFFP32870",,"RFFP","Ribeiro, E.A.","769","Native","2013","Souza, M.C.","2019","Ouro","Prata",,"Magé","Santo Aleixo, bairro do Pico, Vale do Rio do Pico, Trilha Beira-Rio, 23K 699550.94 E/ 7505085.99 S."
