"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Acanthaceae","Clistax","brasiliensis","Mart.","ACANTHACEAE Clistax brasiliensis Mart.","HB000010857","splink","HB","Sucre, D.","2711","Native","1968","Wasshausen, D.C.",,"Ouro","Prata",,"Petrópolis","Rocinha."
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Anemiaceae","Anemia","mandioccana","Raddi","ANEMIACEAE Anemia mandioccana Raddi","RFFP19732","splink","RFFP","Sucre, D.","s.n.","Native","1968","Jascone, C.E.",,"Bronze","Prata",,"Petrópolis","Município de Petrópolis, Rocinha, 900 m."
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Apocynaceae","Ruehssia","loniceroides","(Hook.) F.Esp.Santo & Rapini","APOCYNACEAE Ruehssia loniceroides (Hook.) F.Esp.Santo & Rapini","216455","splink","R","Benjamin, D.S.",,"Native","1968","Fontella, J.P.","1976","Bronze","Prata",,"Petrópolis","Rocinha"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Cololobus","rupestris","(Gardner) H.Rob.","ASTERACEAE Cololobus rupestris (Gardner) H.Rob.","HUFU00077355","splink","HUFU","Sucre, D.","2686","Native","1968","Nakajima, J.N.","2008","Ouro","Prata",,"Petrópolis","Rocinha"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Cololobus","rupestris","(Gardner) H.Rob.","ASTERACEAE Cololobus rupestris (Gardner) H.Rob.","MBM431035",,"MBM","Sucre, D.","2686","Native","1968","Nakajima, J.N.","2008","Ouro","Prata",,"Petrópolis","Rocinha"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Cololobus","rupestris","(Gardner) H.Rob.","ASTERACEAE Cololobus rupestris (Gardner) H.Rob.","ALCB071551","splink","ALCB","Sucre, D.","2686","Native","1968","Nakajima, J.N.","2008","Ouro","Prata",,"Petrópolis","Rocinha."
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Lessingianthus","glaziovianus","(Baker) H.Rob.","ASTERACEAE Lessingianthus glaziovianus (Baker) H.Rob.","US01630696","splink","US","Martinelli, G.","8995",,"1983",,,"Latão","Prata",,"Petrópolis","Município de Petrópolis, Morro do Cuca, entre Vale das Videiras e Araras"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Lessingianthus","glaziovianus","(Baker) H.Rob.","ASTERACEAE Lessingianthus glaziovianus (Baker) H.Rob.","US01630696","x","US","Martinelli, G.","8995",,"1983",,,"Latão","Prata",,"Petrópolis","Município de Petrópolis, Morro do Cuca, entre Vale das Videiras e Araras"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Mikania","lanuginosa","DC.","ASTERACEAE Mikania lanuginosa DC.","UB0052490",,"UB","Sucre, D.","2677","Native","1968","Holmes, W.","2000","Bronze","Prata",,"Petrópolis","Rocinha"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Asteraceae","Stevia","organensis","Gardner","ASTERACEAE Stevia organensis Gardner","UB0052477",,"UB","Sucre, D.","2682","Native","1968","Robinson, H.","2016","Ouro","Prata",,"Petrópolis","Rocinha"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Bromeliaceae","Vriesea","crassa","Mez","BROMELIACEAE Vriesea crassa Mez","BHCB188132","splink","BHCB","Machado, T.M.","738","Native","2014",,"0-0-0","Latão","Prata",,"Petrópolis","Morro do Cuca, Araras."
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Cyperaceae","Bulbostylis","capillaris","(L.) C.B.Clarke","CYPERACEAE Bulbostylis capillaris (L.) C.B.Clarke","US02090899","splink","US","Sarahyba, L.","1068",,"1994",,,"Latão","Prata",,"Petrópolis","Mun. Petropolis, Morro do Cuca, in campo de altitude near or on granite outcrops with seeps."
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Cyperaceae","Bulbostylis","hirtella","(Schrad.) Urb.","CYPERACEAE Bulbostylis hirtella (Schrad.) Urb.","NY00500705","splink","NY","Martinelli, G.","9005","Native","1983","Prata, A.P.N.","2003","Ouro","Prata",,"Petrópolis","Morro do Cuca, entre Vale das Videiras e Araras, campo de altitude"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Cyperaceae","Trilepis","ciliatifolia","T.Koyama","CYPERACEAE Trilepis ciliatifolia T.Koyama","374173","splink","SP","Sarahyba, L.S.","1069","Naturalized","1994","Thomas, W.W.","2007","Ouro","Prata",,"Petrópolis","Morro do Cuca"
"MONUMENTO NATURAL ESTADUAL SERRA DA MARIA COMPRIDA","Angiosperms","Cyperaceae","Trilepis","ciliatifolia","T.Koyama","CYPERACEAE Trilepis ciliatifolia T.Koyama","373952","splink","SP","Sarahyba, L.S.","1069","Native","1994","Thomas, W.W.","2007","Ouro","Prata",,"Petrópolis","Morro do Cuca"
