"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Rubiaceae","Emmeorhiza","umbellata","(Spreng.) K.Schum.","RUBIACEAE Emmeorhiza umbellata (Spreng.) K.Schum.","BHCB016884","splink","BHCB","Scatigna, A.V.","218",,"2012","Barbosa, M.R.","2022","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Passifloraceae","Passiflora","speciosa","Gardner","PASSIFLORACEAE Passiflora speciosa Gardner","UEC086775","splink","UEC","Scatigna, A.V.","214","Native","2012","Nunes, T.S.","2020","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Trilha para Pedra das Flores. Vegetação Scrub."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Myrtaceae","Myrcia","venulosa","DC.","MYRTACEAE Myrcia venulosa DC.","UEC086815","splink","UEC","Scatigna, A.V.","233","Native","2012","Proenca, C.","2019","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Pedra das Flores. Afloramento rochoso."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Asteraceae","Baccharis","brevifolia","DC.","ASTERACEAE Baccharis brevifolia DC.","UEC078666","splink","UEC","Scatigna, A.V.","241",,"2012","Heiden, G.","2017","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Campo de altitude acima da Pedra das Flores"
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Malpighiaceae","Heteropterys","umbellata","A.Juss.","MALPIGHIACEAE Heteropterys umbellata A.Juss.","MBML111846",,"MBML","Scatigna, A.V.","225",,"2012","Amorim, A.M.","2016","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Trilha para Pedra das Flores. Vegetação Scrub."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Melastomataceae","Chaetostoma","glaziovii","Cogn.","MELASTOMATACEAE Chaetostoma glaziovii Cogn.","UEC086719","splink","UEC","Scatigna, A.V.","248",,"2012","Versiane, A.F.A.","2016","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Afloramento rochoso."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Asteraceae","Koanophyllon","adamantium","(Gardner) R.M.King & H.Rob.","ASTERACEAE Koanophyllon adamantium (Gardner) R.M.King & H.Rob.","MBML047680","splink","MBML","Scatigna, A.V.","240",,"2012","Teles, A.M.","2015","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Campo de altitude acima da Pedra das Flores."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Apocynaceae","Minaria",,"T.U.P.Konno","APOCYNACEAE Minaria T.U.P.Konno","UEC086716","splink","UEC","Scatigna, A.V.","250","Native","2012","Morokawa, R.","2014","Ouro","Prata",,"São José do Vale do Rio Preto","Serra do Capim."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Velloziaceae","Vellozia","plicata","Mart.","VELLOZIACEAE Vellozia plicata Mart.","UEC074475","splink","UEC","Scatigna, A.V.","244",,"2012","Magri, R.A.","2026","Bronze","Prata",,"São José do Vale do Rio Preto","Serra do Capim."
"MONUIMENTO NATURAL PEDRA DAS FLORES","Angiosperms","Velloziaceae","Vellozia","variegata","Goethart & Henrard","VELLOZIACEAE Vellozia variegata Goethart & Henrard","UEC086722","splink","UEC","Scatigna, A.V.","246",,"2012","Magri, R.A.","2026","Bronze","Prata",,"São José do Vale do Rio Preto","Serra do Capim. Afloramento rochoso."
