"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Acanthaceae","Stenostephanus",,"Nees","ACANTHACEAE Stenostephanus Nees","RB00794949","x","RB","Furtado, M.","24",,"2013",,,"Latão","Ouro",,,"Floresta adjacente ao Lote 10, Rua 1, Quadra A, Loteamento de João Fernandes, limite lateral esquerdo, usando como referência a entrada da casa. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Araceae","Philodendron",,"Schott","ARACEAE Philodendron Schott","RB01121310","x","RB","Ribeiro, M.","1185",,"2015",,,"Latão","Ouro",,,"Vegetação primária conservada sobre afloramento rochoso, composta predominantemente por cactos, dossel com cerca 3 m. Parque Estadual Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Asteraceae|Cyperaceae","Heterocondylus|Bulbostylis",,"R.M.King|Kunth","ASTERACEAE|CYPERACEAE Heterocondylus R.M.King|Bulbostylis Kunth","RB00924559","x","RB","Zimmermann, T.G.","150",,"2014",,"2021","Latão","Ouro",,,"Restinga da Massambaba. indivíduo que germinou em casa de vegetação da coleta do solo no interior da moita de vegetação da restinga. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Bignoniaceae","Bignonia",,"L.","BIGNONIACEAE Bignonia L.","RB01532117","x","RB","Braga, J.M.A.","24-004",,"2024",,,"Latão","Ouro",,,"Caravelas, Condomínio Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Bignoniaceae","Bignonia",,"L.","BIGNONIACEAE Bignonia L.","R010098247","x","R","Braga, J.M.A.","24-004",,"2024",,,"Latão","Ouro",,,"Caravelas, Condomínio Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Bignoniaceae","Bignonia",,"L.","BIGNONIACEAE Bignonia L.","K001992198","x","RB","Braga, J.M.A.","24-004",,"2024",,,"Latão","Ouro",,"Armação dos Búzios","Armação dos Búzios. Parque Estadual da Costa do Sol. Caravelas, Condomínio Caravelas."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Bromeliaceae","Neoregelia",,"L.B.Sm.","BROMELIACEAE Neoregelia L.B.Sm.","RB01382291","x","RB","Baez, C.","1313",,"2017",,,"Latão","Ouro",,,"Estrada das Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Fabaceae","Grona","adscendens","(Sw.) H.Ohashi & K.Ohashi","FABACEAE Grona adscendens (Sw.) H.Ohashi & K.Ohashi","246720","x","HUEFS","Fernandes, R.S.","51",,"2013","Queiroz, L.P.","2025","Ouro","Ouro",,,"Parque Estadual da Costa do Sol. Praia do Braga (entre a Praia do Foguete e a Praia do Forte)."
"PARQUE ESTADUAL COSTA DO SOL",,"Fabaceae","Grona","barbata","(L.) H.Ohashi & K.Ohashi","FABACEAE Grona barbata (L.) H.Ohashi & K.Ohashi","K001891980","splink","K","Fernandes, R.S.","46",,"2013",,,"Latão","Ouro",,,"Parque estadual da Costa do Sol. Praia do Braga (entre a Praia do Foguete e a Praia do Forte)."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Loranthaceae","Struthanthus",,"Mart.","LORANTHACEAE Struthanthus Mart.","CEN00114748","splink","CEN","Agapito, B.","30",,"2019",,,"Latão","Ouro",,"Saquarema","Parque Estadual da Costa do Sol."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Loranthaceae","Struthanthus",,"Mart.","LORANTHACEAE Struthanthus Mart.","MBM00436152",,"MBM","Agapito, B.","30",,"2019",,,"Latão","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/43/61/52/mbm00436152.dzi","Saquarema","Parque Estadual da Costa do Sol."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Malpighiaceae","Stigmaphyllon",,"A.Juss.","MALPIGHIACEAE Stigmaphyllon A.Juss.","RB01385299","x","RB","Baez, C.","1512",,"2018","Amorim, A.","2022","Ouro","Ouro",,,"Distrito de Praia Seca. Restinga da trilha interpretativa atrás da sub-sede do Parque Estadual da Costa do Sol. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Malvaceae","Waltheria",,"L.","MALVACEAE Waltheria L.","RB01385293","x","RB","Baez, C.","1506",,"2018",,,"Latão","Ouro",,,"Distrito de Praia Seca. Trilha interpretativa atrás da sub-sede do Parque Estadual da Costa do Sol. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Moraceae","Sorocea",,"A.St.-Hil.","MORACEAE Sorocea A.St.-Hil.","RB01430222","x","RB","Ferreira, C.D.M.","623",,"2020",,,"Latão","Ouro",,,"Vilatur, Jacarepiá. Estrada de chão que corta o parque. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Poaceae","Lasiacis",,"(Griseb.) Hitchc.","POACEAE Lasiacis (Griseb.) Hitchc.","RB00806057","x","RB","Furtado, M.","41",,"2013",,,"Latão","Ouro",,,"Rente à cerca à direita da casa do caseiro, limite lateral do terreno do Loteamento de João Fernandes, Quadra A, Rua I, Lote 10. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Rhamnaceae","Colubrina",,"Rich. ex Brongn.","RHAMNACEAE Colubrina Rich. ex Brongn.","RB00794940","x","RB","Furtado, M.","30",,"2013",,,"Latão","Ouro",,,"Loteamento de João Fernandes, Quadra A, Rua I, Lote 10. Loteamento de João Fernandes, Quadra A, Rua 1, Lote 10. Limite W da cerca. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001232",,"HUFSP","Marcon, S.F.","71",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001263",,"HUFSP","Marcon, S.F.","79",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001264",,"HUFSP","Marcon, S.F.","76",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001291",,"HUFSP","Marcon, S.F.","72",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001323",,"HUFSP","Marcon, S.F.","73",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","(Vell.) Mull.Arg.","RUBIACEAE Rudgea rudgea sessilis (Vell.) Mull.Arg.","HUFSP00001324",,"HUFSP","Marcon, S.F.","74",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","Mull. Arg.","RUBIACEAE Rudgea rudgea umbrosa Mull. Arg.","HUFSP00001265",,"HUFSP","Marcon, S.F.","77",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","Mull. Arg.","RUBIACEAE Rudgea rudgea umbrosa Mull. Arg.","HUFSP00001266",,"HUFSP","Marcon, S.F.","78",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL",,"Rubiaceae","Rudgea","rudgea","Mull. Arg.","RUBIACEAE Rudgea rudgea umbrosa Mull. Arg.","HUFSP00001292",,"HUFSP","Marcon, S.F.","75",,"2023","Marcon, S.F.","2023","Bronze","Ouro",,"São Pedro da Aldeia","Serra Sapeatiba. Estrada para a torre da TeleRJ. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Rutaceae","Rauia",,"Nees & Mart.","RUTACEAE Rauia Nees & Mart.","RB01385334","x","RB","Baez, C.","1549",,"2018","Paschoalini, G.O.","2023","Bronze","Ouro",,,"Antiga Reserva Ecológica de Jacarepiá (""Vilatur). Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Rutaceae","Rauia",,"Nees & Mart.","RUTACEAE Rauia Nees & Mart.","MBML053585",,"MBML","Baez, C.","1549",,"2018","Paschoalini, G.O.","2022","Bronze","Ouro",,"Saquarema","Parque Estadual da Costa do Sol. Antiga reserva Ecológica de Jacarepiá (“Vilatur”)."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Turneraceae","Piriqueta",,"Aubl.","TURNERACEAE Piriqueta Aubl.","R010080596",,"R","Verdi, M.","7533",,"2017",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/80/59/6/r010080596.jpg","Armação dos Búzios","Parque Estadual da Costa do Sol. APA do Pau-Brasil, estrada das Caravelas para a Praia das Caravelas."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Turneraceae","Piriqueta",,"Aubl.","TURNERACEAE Piriqueta Aubl.","243236","x","R","Verdi, M.","7533",,"2017",,,"Latão","Ouro",,,"Parque Estadual da Costa do Sol. APA do Pau-Brasil, estrada das Caravelas para a Praia das Caravelas."
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Turneraceae","Piriqueta",,"Aubl.","TURNERACEAE Piriqueta Aubl.","RB01392631","x","RB","Verdi, M.","7533",,"2017",,"2022","Latão","Ouro",,,"Área de Proteção Ambiental do Pau-Brasil. Estrada das Caravelas para a Praia das Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Turneraceae","Piriqueta",,"Aubl.","TURNERACEAE Piriqueta Aubl.","HUENF00014055",,"HUENF","Verdi, M.","7533",,"2017",,"2022","Latão","Ouro",,"Armação dos Búzios","Área de Proteção Ambiental do Pau-Brasil. Estrada das Caravelas para a Praia das Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Turneraceae","Piriqueta",,"Aubl.","TURNERACEAE Piriqueta Aubl.","HUENF00014055","splink","HUENF","Verdi, M.","7533",,"2017",,"2022","Latão","Ouro",,"Armação dos Búzios","Área de Proteção Ambiental do Pau-Brasil. Estrada das Caravelas para a Praia das Caravelas. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Urticaceae","Pilea",,"Lindl.","URTICACEAE Pilea Lindl.","RB01385250","x","RB","Baez, C.","1464",,"2018",,,"Latão","Ouro",,,"Pontal do Atalaia. Parque Estadual da Costa do Sol"
"PARQUE ESTADUAL COSTA DO SOL","Angiosperms","Urticaceae","Pilea",,"Lindl.","URTICACEAE Pilea Lindl.","R010082401","x","R","Baez, C.","1464",,"2018",,,"Latão","Ouro",,,"Pontal do Atalaia. Parque Estadual da Costa do Sol"
