"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Asteraceae","Ageratum","fastigiatum","(Gardner) R.M.King & H.Rob.","ASTERACEAE Ageratum fastigiatum (Gardner) R.M.King & H.Rob.","ALCB068402",,"ALCB","Verdi, M.","7625","Native","2018","Roque, N.","2019","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/84/2/alcb00068402.dzi","Valença","Parque Estadual da Serra da Concórdia.Barão de Juparanã. Área ao lado direito da Estrada Parque, em direção ao Parque Municipal Açude da Concórdia."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Fabaceae","Inga","cylindrica","(Vell.) Mart.","FABACEAE Inga cylindrica (Vell.) Mart.","MBM00444782",,"MBM","Baez, C.","1397","Native","2018","Lima, H.C.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/47/82/mbm00444782.dzi","Valença","Parque Estadual da Serra da Concórdia. Fragmento acessado pela estrada Parque que liga o PESC e o PNM Açude da Concórdia. Enconsta íngrime."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Fabaceae","Senna","multijuga","(Rich.) H.S.Irwin & Barneby","FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby","MBM00444840",,"MBM","Baez, C.","1667","Native","2018","Lima, H.C.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/48/40/mbm00444840.dzi","Valença","Parque Estadual da Serra da Concórdia. Estrada para as torres."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Lauraceae","Ocotea","daphnifolia","(Meisn.) Mez","LAURACEAE Ocotea daphnifolia (Meisn.) Mez","MBM00444839",,"MBM","Baez, C.","1659","Native","2018","Quinet, A.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/48/39/mbm00444839.dzi","Valença","Parque Estadual da Serra da Concórdia. Mata após o pasto na fazenda Boa Esperança."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Myrtaceae","Pimenta","pseudocaryophyllus","(Gomes) Landrum","MYRTACEAE Pimenta pseudocaryophyllus (Gomes) Landrum","MBM425743",,"MBM","Baez, C.","1401","Native","2018","Sobral, M.","2018","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/42/57/43/mbm00425743.dzi","Valença","Parque Estadual da Serra da Concórdia, Fragmento acessado pela estrada Parque que liga o PESC e o PNM Açude da Concórdia"
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Piperaceae","Piper","fluminense","Raddi","PIPERACEAE Piper fluminense Raddi","MBM00444775",,"MBM","Baez, C.","1386","Native","2018","Queiroz, G.A.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/47/75/mbm00444775.dzi","Barra do Piraí","Parque Estadual da Serra da Concórdia. Antigo Refúgio da Vida Silvestre, Trilha do caçador."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Rubiaceae","Palicourea","mamillaris","(Müll.Arg.) C.M.Taylor","RUBIACEAE Palicourea mamillaris (Müll.Arg.) C.M.Taylor","MBM00444776",,"MBM","Baez, C.","1387","Native","2018","Gomes, M.","2018","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/44/47/76/mbm00444776.dzi","Barra do Piraí","Parque Estadual da Serra da Concórdia. Antigo Refúgio da Vida Silvestre, Trilha do caçador."
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Salicaceae","Casearia","arborea","(Rich.) Urb.","SALICACEAE Casearia arborea (Rich.) Urb.","MBM425686",,"MBM","Baez, C.","1654","Native","2018","Marquete, R.","2016","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/42/56/86/mbm00425686.dzi","Valença","Parque Estadual da Serra da Concórdia, Mata após o pasto na Fazenda Boa Esperança"
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Lauraceae","Nectandra","oppositifolia","Nees & Mart.","LAURACEAE Nectandra oppositifolia Nees & Mart.","MBM352455",,"MBM","Spolidoro, M.L.C.V.","417","Native","2006","Moraes, P.L.R.","2009","Ouro","Ouro","imagens2.jbrj.gov.br/fsi/server?type=image&source=mbm/MBM/0/35/24/55/MBM352455.JPG|jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/35/24/55/mbm00352455.dzi","Valença","Parque Estadual da Serra da Concórdia, estrada para Santa Mariana"
"PARQUE ESTADUAL SERRA DA CONCÓRDIA","Angiosperms","Fabaceae","Inga","edulis","Mart.","FABACEAE Inga edulis Mart.","R010097831",,"R","Delima, H.C.","5721","Native","2000","Barros, M.","2009","Ouro","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/97/83/1/r010097831.jpg","Valença","Distrito de Juparã, Serra da Concórdia, Curral Santa Mariana.. Parque Estadual da Serra da Concórdia"
