"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Asteraceae","Stifftia","chrysantha","J.C.Mikan","ASTERACEAE Stifftia chrysantha J.C.Mikan","RBR00044289",,"RBR","Pedreira, L.O.L.","26","Native","2018","Pedreira, L.O.L.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/4/42/89/rbr00044289.jpg","Rio de Janeiro","Gávea. Gávea. Beira da estrada para o Museu Histórico da Cidade. Parque Natural Municipal da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Combretaceae","Terminalia","acuminata","(Allemão) Eichler","COMBRETACEAE Terminalia acuminata (Allemão) Eichler","HUEFS0226283","splink","HUEFS","Fernandez, E.P.","223","Native","2016",,,"Latão","Ouro",,"Rio de Janeiro","Parque Natural Municipal da Cidade. Gávea. PNM da cidade, entrada da cachoeira às margens da estrada que cruza o parque."
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Euphorbiaceae","Croton","polyandrus","Spreng.","EUPHORBIACEAE Croton polyandrus Spreng.","FCAB009397","splink","FCAB","Chalub, G.","139","Native","2015",,,"Latão","Ouro",,"Rio de Janeiro","Gávea. Est. Santa Marinha. Parque Natural Municipal da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Malvaceae","Quararibea","turbinata","(Sw.) Poir.","MALVACEAE Quararibea turbinata (Sw.) Poir.","S17-23384","x","S","Baez, C.",,"Native","2016",,,"Latão","Ouro",,,"Brasil, Rio de Janeiro, Rio de Janeiro, Parque Natural Municipal da Cidade."
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rubiaceae","Chomelia","brasiliana","A.Rich.","RUBIACEAE Chomelia brasiliana A.Rich.","US03065657","splink","US","Baez, C.","561","Native",,,,"Latão","Ouro",,"Rio de Janeiro","Rio de Janeiro. Parque Natural Municipal da Cidade."
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","FCAB009396","splink","FCAB","Chalub, G.","120","Native","2015",,,"Latão","Ouro",,"Rio de Janeiro","Gávea. Est. Santa Marinha. Parque Natural Municipal da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","FCAB009399","splink","FCAB","Chalub, G.","210","Native","2015",,,"Latão","Ouro",,"Rio de Janeiro","Gávea. Est. Santa Marinha. Parque Natural Municipal da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","FCAB009400","splink","FCAB","Chalub, G.","225","Native","2015",,,"Latão","Ouro",,"Rio de Janeiro","Est. Santa Marinha. Parque Natural Municipal da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rutaceae","Conchocarpus","grandiflorus","(Engl.) Kallunki & Pirani","RUTACEAE Conchocarpus grandiflorus (Engl.) Kallunki & Pirani","R010071215",,"R","Lourenco, A.R.","432","Native","2020",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/71/21/5/r010071215.jpg","Rio de Janeiro","Gávea, Parque Natural Municipal da Cidade. -22.976726, -43.246156. PMN da Cidade"
"PARQUE NATURAL MUNICIPAL CIDADE","Angiosperms","Rutaceae","Conchocarpus","grandiflorus","(Engl.) Kallunki & Pirani","RUTACEAE Conchocarpus grandiflorus (Engl.) Kallunki & Pirani","US03309283","splink","US","Baez, C.","1193","Native",,,,"Latão","Ouro",,,"Parque Natural Municipal da Cidade. Bairro da Gávea."
