"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","RBR00055767",,"RBR","Pedreira, L.O.L.","1","Native","2017","Senna, P.L.","2017","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/57/67/rbr00055767.jpg","Rio de Janeiro","Morro do Leme. Forte do Leme, junto a estrada que sobe para a bandeira, a esquerda da subida, área de encosta, ocorrência natural, face Leste \ Sudeste. Encosta. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","MBM425590",,"MBM","Pedreira, L.O.L.","1","Native","2017","Senna, P.L.","2017","Bronze","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/42/55/90/mbm00425590.dzi","Rio de Janeiro","Parque Natural Municipal Paisagem Carioca, Morro do Leme. Forte do Leme, junto a estrada que sobe para a bandeira, a esquerda da subida, área de encosta, ocorrência natural, face Leste / Sudeste"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","RB01375518","x","RB","Pedreira, L.O.L.","1","Native","2017","Senna, P.L.","2017","Bronze","Ouro",,,"Morro do Leme. Forte do Leme, junto a estrada que sobe para a bandeira, a esquerda da subida, área de encosta, ocorrência natural, face Leste \ Sudeste. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","R010052363",,"R","Pedreira, L.O.L.",,"Native","2017","Senna, P.L.","2017","Bronze","Ouro",,"Rio de Janeiro","Parque Natural Municipal da Paisagem Carioca. Morro do Leme, junto a estrada que sobe para a bandeira, a esquerda da subida, área de encosta, ocorrência natural, fase Leste/Sudeste"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Apocynaceae","Aspidosperma","gomezianum","A.DC.","APOCYNACEAE Aspidosperma gomezianum A.DC.","R010071227",,"R","Lourenco, A.R.","440","Native","2020",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/herbariumr/r/1/0/71/22/7/r010071227.jpg","Rio de Janeiro","Copacabana, Parque Natural Municipal Paisagem Carioca, Setor Chacrinha. -22.960868°, -43.181848°. PNM Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Araceae","Anthurium","parasiticum","(Vell.) Stellfeld","ARACEAE Anthurium parasiticum (Vell.) Stellfeld","K001186719","splink","K","Cardoso, L.J.T.","630","Native","2008",,,"Latão","Prata",,"Rio de Janeiro","Rio de Janeiro. Copacabana, Morro São João, vertente Sul, Parque Estadual da Chacrinha. Trilha para o topo do Morro são João por detrás da vila militar."
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Asteraceae","Bartlettina","conspicua","(Mart. ex Colla) P.L.R.Moraes & Guglielmone","ASTERACEAE Bartlettina conspicua (Mart. ex Colla) P.L.R.Moraes & Guglielmone","RB00567462","x","RB","Cardoso, L.J.T.","596","Native","2008","Borges, R.A.X.","2009","Ouro","Prata",,"Rio de Janeiro","Copacabana, Morro São João, vertente Sul, Parque Estadual da Chacrinha. Trilha beirando o afloramento rochoso."
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Asteraceae","Chromolaena","maximiliani","(Schrad. ex DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena maximiliani (Schrad. ex DC.) R.M.King & H.Rob.","RBR00055469",,"RBR","Pedreira, L.O.L.","23","Native","2018","Santana, C.A.","2018","Bronze","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rbr/rbr/0/5/54/69/rbr00055469.jpg","Rio de Janeiro","Parque Natural Municipal Paisagem Carioca. Ilha de Cotunduba. Setor Cotunduba."
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Ferns and Lycophytes","Asteraceae","Chromolaena","maximiliani","(Schrad. ex DC.) R.M.King & H.Rob.","ASTERACEAE Chromolaena maximiliani (Schrad. ex DC.) R.M.King & H.Rob.","RB01384999","x","RB","Pedreira, L.O.L.","28","Native","2018","Santana, C.A.","2018","Bronze","Ouro",,,"Ilha de Cotunduba. Setor Cotunduba. Parque Natural Municipal Paisagem Carioca"
"PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA","Angiosperms","Asteraceae","Cololobus","rupestris","(Gardner) H.Rob.","ASTERACEAE Cololobus rupestris (Gardner) H.Rob.","K002546249","splink","K","Cardoso, L.J.T.","477","Native","2008",,,"Latão","Prata",,"Rio de Janeiro","Parque Estadual da Chacrinha. Copacabana, Morro São João, vertente Sul."
