"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Acanthaceae","Mendoncia",,"Vell. ex Vand.","ACANTHACEAE Mendoncia Vell. ex Vand.","NIT00011893","splink","NIT","Lima, R.","8",,"2025",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima. Zona Rural de Lumiar RPPN, Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Acanthaceae","Mendoncia",,"Vell. ex Vand.","ACANTHACEAE Mendoncia Vell. ex Vand.","NIT00011893",,"NIT","Lima, R.","8",,"2025",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/nit/nit/0/1/18/93/nit00011893.jpg","Nova Friburgo","Macaé de Cima. Zona Rural de Lumiar RPPN, Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Araceae",,,"Juss.","ARACEAE Araceae Juss.","NIT00011918","splink","NIT","Lima, R.","33",,"2025",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima. Zona Rural de Lumiar RPPN, Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Araceae",,,"Juss.","ARACEAE Araceae Juss.","NIT00011918",,"NIT","Lima, R.","33",,"2025",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima. Zona Rural de Lumiar RPPN, Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Cactaceae","Rhipsalis",,"Gaertn.","CACTACEAE Rhipsalis Gaertn.","NIT00009911","splink","NIT","Lobao, A.","2744",,"2021",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Cactaceae","Rhipsalis",,"Gaertn.","CACTACEAE Rhipsalis Gaertn.","NIT00009911",,"NIT","Lobao, A.","2744",,"2021",,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/nit/nit/0/0/99/11/nit00009911.jpg","Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Cyperaceae",,,"Juss.","CYPERACEAE Cyperaceae Juss.","NIT00009900","splink","NIT","Lobao, A.","2733",,,,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Angiosperms","Cyperaceae",,,"Juss.","CYPERACEAE Cyperaceae Juss.","NIT00009900",,"NIT","Lobao, A.","2733",,,,,"Latão","Ouro","jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/nit/nit/0/0/99/0/nit00009900.jpg","Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Gleicheniaceae",,,"C.Presl","GLEICHENIACEAE Gleicheniaceae C.Presl","FLOR0082104","splink","FLOR","Fiaschi, P.","5731",,"2024",,,"Latão","Ouro",,"Nova Friburgo","Lumiar, zona rural, caminho a Macaé de Cima, RPPN Vale do Paraíso, Ecovila Alma da Mata."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Lycopodiaceae","Huperzia",,"Bernh.","LYCOPODIACEAE Huperzia Bernh.","NIT00011907","splink","NIT","Lima, R.","22",,"2025",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima. Zona Rural de Lumiar RPPN, Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Lycopodiaceae","Lycopodium",,"L.","LYCOPODIACEAE Lycopodium L.","NIT00009901","splink","NIT","Lobao, A.","2734",,"2021",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Lycopodiaceae","Lycopodium",,"L.","LYCOPODIACEAE Lycopodium L.","NIT00009901",,"NIT","Lobao, A.","2734",,"2021",,,"Latão","Ouro",,"Nova Friburgo","Macaé de Cima, RPPN Vale do paraíso, trilha do tatu"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Lycopodiaceae","Phlegmariurus",,"(Herter) Holub","LYCOPODIACEAE Phlegmariurus (Herter) Holub","NIT00012387","splink","NIT","Lobao, A.","3157",,"2026",,,"Latão","Ouro",,"Nova Friburgo","Zona rural de Lumiar, Macaé de Cima, APA de Macaé de Cima, RPPN Vale do Paraíso."
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARAÍSO","Ferns and Lycophytes","Lycopodiaceae","Phlegmariurus",,"(Herter) Holub","LYCOPODIACEAE Phlegmariurus (Herter) Holub","NIT00012387",,"NIT","Lobao, A.","3157",,"2026",,,"Latão","Ouro",,"Nova Friburgo","Zona rural de Lumiar, Macaé de Cima, APA de Macaé de Cima, RPPN Vale do Paraíso."
