"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Melastomataceae","Macairea","radula","(Bonpl.) DC.","MELASTOMATACEAE Macairea radula (Bonpl.) DC.","SPF00118777",,"SPF","Faria, A.D.","96219","Native","1996","Chiea, S.A.C.","97","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/11/87/77/spf00118777.dzi","Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Rhamnaceae","Gouania","latifolia","Reissek","RHAMNACEAE Gouania latifolia Reissek","SPF00119111",,"SPF","Tamashiro, J.Y.","T182","Native","1994","Lima, R.B.","2000","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/11/91/11/spf00119111.dzi","Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Malpighiaceae","Heteropterys","cochleosperma","A.Juss.","MALPIGHIACEAE Heteropterys cochleosperma A.Juss.","SPF00099638",,"SPF","Tamashiro, J.Y.","T178","Native","1994","Mamede, M.C.H.","97","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/9/96/38/spf00099638.dzi","Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Malvaceae","Pavonia","malacophylla","(Link & Otto) Garcke","MALVACEAE Pavonia malacophylla (Link & Otto) Garcke","SPF00099599",,"SPF","Tamashiro, J.Y.","T187","Native","1994","Esteves, G.L.","96","Ouro","Prata","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/9/95/99/spf00099599.dzi","Bauru","Parque Ecológico de Bauru."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Eriocaulaceae","Eriocaulon","ligulatum","(Vell.) L.B.Sm.","ERIOCAULACEAE Eriocaulon ligulatum (Vell.) L.B.Sm.","SP0305589","splink","SP","Faria, A.D.","96/211","Native","1996","Giulietti, A.M.","2000","Ouro","Prata",,"Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Cyperaceae","Eleocharis","capillacea","Kunth","CYPERACEAE Eleocharis capillacea Kunth","UEC025828","splink","UEC","Faria, A.D.","96232","Native","1996","Faria, A.D.","1998","Ouro","Prata",,"Bauru","Parque Ecológico de Bauru, Aos fundos. Em frente ao bairro José Regina ou Núcleo 25, lado direito da SP 225 no sentido Baurú - Jaú."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Cyperaceae","Eleocharis","filiculmis","Kunth","CYPERACEAE Eleocharis filiculmis Kunth","UEC025723","splink","UEC","Faria, A.D.","96231","Native","1996","Faria, A.D.","1998","Ouro","Prata",,"Bauru","Parque Ecológico de Bauru, Em frente ao bairro José Regina ou Núcleo 25, lado direito da SP 225 no sentido Bauru - Jaú."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Fabaceae","Platypodium","elegans","Vogel","FABACEAE Platypodium elegans Vogel","87586","splink","CEPEC","Tamashiro, J.Y.","177","Native","1994","Tamashiro, J.Y.",,"Ouro","Prata",,"Bauru","Parque Ecológico de Bauru."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Fabaceae","Senna","reticulata","(Willd.) H.S.Irwin & Barneby","FABACEAE Senna reticulata (Willd.) H.S.Irwin & Barneby","UEC005439","splink","UEC","Tamashiro, J.Y.","179","Native","1994",,,"Ouro","Prata",,"Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Myrtaceae","Psidium","myrtoides","O.Berg","MYRTACEAE Psidium myrtoides O.Berg","ASU0010483","splink","ASU","Tamashiro","186","Native","1994","Landrum, L.R.",,"Ouro","Prata",,"Bauru","Bauru. Parque Ecologico do Bauru."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Myrtaceae","Psidium","canum","Mattos","MYRTACEAE Psidium canum Mattos","SPF00099348","splink","SPF","Tamashiro, J.Y.","T186","Native","1994","Faria, J.E.Q.","2012","Ouro","Prata",,"Bauru","Parque Ecológico de Bauru"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Angiosperms","Moraceae","Ficus","guaranitica","Chodat","MORACEAE Ficus guaranitica Chodat","SPF00099312","splink","SPF","Tamashiro, J.Y.","T181","Native","1994","Machado, A.F.P.","2010","Ouro","Prata",,"Bauru","Parque Ecológico de Bauru."
