"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ARA","Angiosperms","Malvaceae","Peltaea","trinervis","(C.Presl) Krapov. & Cristóbal","MALVACEAE Peltaea trinervis (C.Presl) Krapov. & Cristóbal","E00162436",,"E","Riedel, L.",,"Native",,,,"Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/rbge/e/0/16/24/36/e00162436.dzi",,"Prope Araracoaras."
"PARQUE ESTADUAL ARA","Angiosperms","Myrtaceae","Psidium","myrtoides","O.Berg","MYRTACEAE Psidium myrtoides O.Berg","K000018451",,"K","Gardner","1610","Native","1838","A, C.P.","1990","Ouro","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/kew/k/0/0/18/45/1/k000018451.dzi",,"Serra do Araripe - Araca de Viada."
"PARQUE ESTADUAL ARA","Angiosperms","Bonnetiaceae","Archytaea","triflora","Mart.","BONNETIACEAE Archytaea triflora Mart.","M-0111960 / 33145 / 23937","x","BSMvplantscoll","Martius, C.F.P.",,"Native",,,,"Ouro","Ouro",,,"Brasilia prov. Rio Negro. [Habitat in campestribus ad Cataractas fluminis Japurá, prope Arara-Coara in finibus occidentalibus imperii Brasiliensis.]"
"PARQUE ESTADUAL ARA","Angiosperms","Poaceae","Andropogon","hypogynus","Hack.","POACEAE Andropogon hypogynus Hack.","K000632894","splink","K","Riedel","1655","Native",,,,"Ouro","Ouro",,,"[ad Rio Tamanduaté et prope Araracoara]"
"PARQUE ESTADUAL ARA","Angiosperms","Rubiaceae","Paederia","brasiliensis","(Hook.f.) Puff","RUBIACEAE Paederia brasiliensis (Hook.f.) Puff","BR0000005317356","splink","BR-MEISE","Gardner, G.","1698","Native",,,,"Ouro","Ouro",,,"prope Araripe"
"PARQUE ESTADUAL ARA","Angiosperms","Chrysobalanaceae","Leptobalanus","apetalus","(Benth.) Sothers & Prance","CHRYSOBALANACEAE Leptobalanus apetalus var. apertus (Benth.) Sothers & Prance","K001181808","splink","K","Sothers, C.A.","759","Native","1996",,,"Ouro","Ouro",,,"Lateral-Igarapé do Aracá."
"PARQUE ESTADUAL ARA","Angiosperms","Fabaceae","Inga","sertulifera","DC.","FABACEAE Inga sertulifera DC.","K000876300","x","K","Milliken, W.","258","Native","1987","Lewis, G.P.",,"Ouro","Ouro",,,"SEMA Ecological Reserve, Ilha de Maracá, Iagarapé Araracá."
"PARQUE ESTADUAL ARA","Bryophytes","Lejeuneaceae","Pycnolejeunea","papillosa","X.-L. He","LEJEUNEACEAE Pycnolejeunea papillosa X.-L. He","1020915","x","NY","Schuster, R.M.","79-15-807","Native","1979",,,"Ouro","Ouro",,,"Serra Curicuriari, from Igarapé Arabú on Rio Curicuriari to summit (along the Rio Negro between Manaus and São Gabriel"
"PARQUE ESTADUAL ARA","Bryophytes","Sphagnaceae","Sphagnum","amazonicum","H.A.Crum & W.R.Buck","SPHAGNACEAE Sphagnum amazonicum H.A.Crum & W.R.Buck","B195957","x","S-Bryophytes","Buck, W.R.","2501","Native","1979",,,"Ouro","Ouro",,,"Brazil. Amazonas, Slopes and summit of Serra Curicuriari, from Igarapé Arabú of the Rio Curicuriari along the Rio Negro, 00°20’S, 66°50’W, 450 m."
"PARQUE ESTADUAL ARA","Angiosperms","Linaceae","Linum","littorale","A. St.-Hil.","LINACEAE Linum littorale var. littorale A. St.-Hil.","P01900913","splink","P","Saint-Hilaire, A.",,"Native","1816",,,"Ouro","Ouro",,,"Inter gramina rosa prope Ararangua, ad fine prov. S. Catherina et Rio Grande do Sul"
"PARQUE ESTADUAL ARA","Angiosperms","Moraceae","Maclura","tinctoria","(L.) D.Don ex Steud.","MORACEAE Maclura tinctoria (L.) D.Don ex Steud.","MBM207684","splink","MBM","Bertoni, J.E.A.","317","Native",,"Franco, G.A.D.C.",,"Prata","Ouro",,"Campinas","Parque Estadual ARA."
"PARQUE ESTADUAL ARA","Angiosperms","Nyctaginaceae","Guapira","opposita","(Vell.) Reitz","NYCTAGINACEAE Guapira opposita (Vell.) Reitz","MBM207629","x","MBM","Bertoni, J.E.A.","316","Native",,"Franco, G.A.D.C.",,"Prata","Ouro",,,"Parque Estadual Ara"
"PARQUE ESTADUAL ARA","Ferns and Lycophytes","Aspleniaceae","Asplenium","claussenii","Hieron.","ASPLENIACEAE Asplenium claussenii Hieron.","CRI008209","x","CRI","Stival-Santos, A.","629","Native","2009","Gasper, A.L.",,"Bronze","Ouro",,,"Parque Estadual das Araucárias."
