"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","65359","x","SPF","Melo, M.M.R.F.","567","Native","1985","Kameyama, C.","1990","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","216030","x","SP","Melo, M.M.R.F.","567","Native","1985","Kameyama, C.","1990","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso, praia de Ipanema"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","65360","x","SPF","Muniz, C.F.S.","504","Native","1983","Kameyama, C.","1999","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","200825","splink","SP","Muniz, C.F.S.","504","Native","1983","Kameyama, C.","1990","Ouro","Ouro",,"Cananéia","Ilha do Cardoso, Sítio do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","liboniana","Linden ex Hook.f.","ACANTHACEAE Aphelandra liboniana Linden ex Hook.f.","163102","splink","SP","De-Grande, D.A.","361","Native","1979","Kameyama, C.","1990","Ouro","Ouro",,"Cananéia","Ilha do Cardoso, trilha de acesso para a turbina"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","254460","splink","SP","Kirizawa, M.","2626","Native","1992","Kameyama, C.","1994","Ouro","Ouro",,"Cananéia","Parque Estadual da Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","235018","splink","SP","Mamede, M.C.H.","119","Native","1989","Kameyama, C.","1990","Ouro","Ouro",,"Cananéia","Parque Estadual da Ilha do Cardoso, trilha para o Morro da Captação"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","209622","x","SP","Sugiyama, M.","653","Native","1986","Kameyama, C.","1991","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso, morro da Captação"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","65354","x","SPF","Sugiyama, M.","653","Native","1986","Kameyama, C.","1990","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Aphelandra","ornata","(Nees) T.Anderson","ACANTHACEAE Aphelandra ornata (Nees) T.Anderson","205393","splink","SP","Kirizawa, M.","1523","Native","1985","Kameyama, C.","1991","Ouro","Ouro",,"Cananéia","Parque Estadual da Ilha do Cardoso, Morro das Almas"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","083744","x","ESA","Souza, V.C.","29022","Native","2003","Souza, V.C.","1905","Prata","Ouro",,,"Parque Estadual Ilha do Cardoso. Manguezal do Rio Perequê"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","61005","x","SPF","Pirani, J.R.","2018","Native","1987","Pirani, J.R.","1988","Prata","Ouro",,"Cananéia","Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","ESA051589",,"ESA","Libardi, G.S.",,"Native","2005","Colletta, G.D.","2010","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/esa/esa/0/5/15/89/esa00051589.dzi","Cananéia","Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","SPF00077049",,"SPF","Yano, O.","s.n.","Native","1977","Lopes, E.A.","80","Bronze","Ouro","jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/7/70/49/spf00077049.dzi","Cananéia","Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Avicennia","schaueriana","Stapf & Leechm. ex Moldenke","ACANTHACEAE Avicennia schaueriana Stapf & Leechm. ex Moldenke","SAMES00023","splink","SAMES","Libardi, G.","s.n.","Native","2005","Indriunas, A.","2018","Bronze","Ouro",,"Cananéia","Parque Estadual Ilha do Cardoso. Mangue."
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","384179","x","SP","Barros, F.","3115","Native","2005","Kameyama, C.","2006","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso, estrada da captação"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","245359","splink","SP","Barros, F.","1879","Native","1990","Kameyama, C.","1991","Ouro","Ouro",,"Cananéia","Ilha do Cardoso, Estrada para a turbina"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","246253","splink","SP","Kirizawa, M.","2379","Native","1990","Kameyama, C.","1991","Ouro","Ouro",,"Cananéia","Parque Estadual da Ilha do Cardoso, próximo do rio Perequê, sopé do morro da captação de água"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","202444","x","SPF","Barros, F.","1752","Native","1989","Kameyama, C.","1990","Ouro","Ouro",,"Cananéia","Ilha do Cardoso"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","carnea","Lindl.","ACANTHACEAE Justicia carnea Lindl.","237332","x","SP","Barros, F.","1752","Native","1989","Kameyama, C.","1990","Ouro","Ouro",,"Cananéia","Ilha do Cardoso, Morro Três Irmãos"
"PARQUE ESTADUAL ILHA DO CARDOSO","Angiosperms","Acanthaceae","Justicia","kleinii","Wassh. & L.B.Sm.","ACANTHACEAE Justicia kleinii Wassh. & L.B.Sm.","202463","x","SPF","Rossi, L.","519","Native","1989","Kameyama, C.","1999","Ouro","Ouro",,,"Parque Estadual da Ilha do Cardoso"
