"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Asteraceae","Mikania","buddleiaefolia","DC.","ASTERACEAE Mikania buddleiaefolia DC.","HUEFS0264320","splink","HUEFS","Granato, L.","174","Native","2018","Sordi, S.J.","2021","Ouro","Ouro",,"São Paulo","Parque Natural Municipal Bororé."
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Lauraceae","Ocotea","corymbosa","(Meisn.) Mez","LAURACEAE Ocotea corymbosa (Meisn.) Mez","HUFABC004498","splink","HUFABC","Amaral, G.B.","s.n.","Native","2023","Barretto, E.H.P.","2023","Prata","Ouro",,"São Paulo","Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Clusiaceae","Clusia","criuva","Vesque","CLUSIACEAE Clusia criuva subsp. parviflora Vesque","HVC00005240",,"HVC","Garcia, R.J.F.","3686","Native","2014","Barretto, E.H.P.","2014","Prata","Ouro",,"São Paulo","Parque Natural Municipal Bororé, Trilha do Lago."
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Lauraceae","Ocotea","bicolor","Vattimo-Gil","LAURACEAE Ocotea bicolor Vattimo-Gil","SPSF00050410","splink","SPSF","Garcia, R.J.F.","3708","Native","2014","Barretto, E.H.P.","2014","Prata","Ouro",,"São Paulo","Parque Natural Municipal Bororé."
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Poaceae","Pharus","lappulaceus","Aubl.","POACEAE Pharus lappulaceus Aubl.","UFG0061840",,"UFG","Haonda, S.","1059","Native","2012","Garcia, R.J.F.","2012","Bronze","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/ufg/ufg/0/6/18/40/ufg00061840.dzi","São Paulo","Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Ferns and Lycophytes","Dennstaedtiaceae","Hypolepis","stolonifera","Fée","DENNSTAEDTIACEAE Hypolepis stolonifera Fée","100819","x","UFP","Barreto, E.H.P.","2331","Native","2022","Barreto, E.H.P.","2022","Bronze","Ouro",,,"Parque Natural Municipal Bororé, Trilha da Demolição"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Lamiaceae","Ocimum","carnosum","(Spreng.) Link & Otto ex Benth.","LAMIACEAE Ocimum carnosum (Spreng.) Link & Otto ex Benth.","JOI023869","splink","JOI","Barretto, E.H.P.","2219","Native","2022","Honda, S.","2022","Bronze","Ouro",,"São Paulo","Parque Natural Municipal Bororé. Trilha do Aventureiro, mata."
"PARQUE NATURAL MUNICIPAL BORORÉ","Ferns and Lycophytes","Nephrolepidaceae","Nephrolepis","cordifolia","(L.) C.Presl","NEPHROLEPIDACEAE Nephrolepis cordifolia (L.) C.Presl","100843","x","UFP","Barreto, E.H.P.","2239","Naturalized","2022","Barreto, E.H.P.","2022","Bronze","Ouro",,,"Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Ferns and Lycophytes","Pteridaceae","Pteris","decurrens","C.Presl","PTERIDACEAE Pteris decurrens C.Presl","100810","x","UFP","Barreto, E.H.P.","2361","Native","2022","Barreto, E.H.P.","2022","Bronze","Ouro",,,"Parque Natural Municipal Bororé, Trilha do Pavó"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Lauraceae","Endlicheria","paniculata","(Spreng.) J.F.Macbr.","LAURACEAE Endlicheria paniculata (Spreng.) J.F.Macbr.","002359","x","HUFABC","Amaral, G.B.","s.n.","Native","2019","Barreto, E.H.P.","2019","Bronze","Ouro",,,"Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Melastomataceae","Leandra","purpurascens","(DC.) Cogn.","MELASTOMATACEAE Leandra purpurascens (DC.) Cogn.","HVC00005152",,"HVC","Garcia, R.J.F.","3692","Native","2014","Pascalicchio, F.F.","2016","Bronze","Ouro",,"São Paulo","Trilha do lago. Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Peraceae","Pera","glabrata","(Schott) Baill.","PERACEAE Pera glabrata (Schott) Baill.","61640","x","UFG","Garcia, R.J.F.","3700","Native","2014","Barreto, E.H.P.","2014","Bronze","Ouro",,,"Parque Natural Municipal Bororé"
"PARQUE NATURAL MUNICIPAL BORORÉ","Angiosperms","Lamiaceae","Mesosphaerum","sidifolium","(L'Hér.) Harley & J.F.B.Pastore","LAMIACEAE Mesosphaerum sidifolium (L'Hér.) Harley & J.F.B.Pastore","PEL0004799","splink","PEL","Honda, S.","1041","Native","2012","Http:floradobrasil.jbrj.gov.br","2017","Bronze","Ouro",,"São Paulo","Parque Natural Municipal Bororé, Ponto 31 da trilha próxima à futura sede. Bosque do pau-brasil"
