"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","742","splink","HUMC","Melo, R.C.M.","84",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","740","splink","HUMC","Melo, R.C.M.","102",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","744","splink","HUMC","Melo, R.C.M.","62",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","743","splink","HUMC","Melo, R.C.M.","75",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","737","splink","HUMC","Melo, R.C.M.","20",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","746","splink","HUMC","Melo, R.C.M.","101",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","730","splink","HUMC","Melo, R.C.M.","59",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","725","splink","HUMC","Melo, R.C.M.","40",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","728","splink","HUMC","Melo, R.C.M.","39",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",,"Euphorbiaceae","Sebastiana",,,"EUPHORBIACEAE Sebastiana sp.","736","splink","HUMC","Melo, R.C.M.","83",,"2004",,,"Latão","Ouro",,"Mogi das Cruzes","APA do Rio Tietê César de Sousa"
