"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Apocynaceae","Temnadenia","odorifera","(Vell.) J.F.Morales","APOCYNACEAE Temnadenia odorifera (Vell.) J.F.Morales","HUEFS226273","x","HUEFS","Magalhaes, A.M.","74","Native","2015","Quinet, C.G.P.",,"Ouro","Ouro",,,"ARIE das Ilhas Queimada Pequena e Queimada Grande. Ilha Queimada Grande. Capinzal."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Vitaceae","Cissus","verticillata","(L.) Nicolson & C.E.Jarvis","VITACEAE Cissus verticillata (L.) Nicolson & C.E.Jarvis","74079","x","HRCB","Magalhaes","101","Native","2015","Lombardi, J.A.","2016","Ouro","Ouro",,,"ARIE das Ilhas Queimada Pequena e Queimada Grande trilha do farol"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Cactaceae","Coleocephalocereus","fluminensis","(Miq.) Backeb.","CACTACEAE Coleocephalocereus fluminensis (Miq.) Backeb.","RB01039800","x","RB","Magalhaes, A.M.","94","Native","2015","Zappi, D.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. Bela Vista. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Asteraceae","Austroeupatorium","inulaefolium","(Kunth) R.M.King & H.Rob.","ASTERACEAE Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.","RB01043834","x","RB","Magalhaes, A.M.","21","Native","2014","Esteves, R.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. próximo à estação meteorológica, entre o farol e a caixa d?água. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Asteraceae","Chromolaena","odorata","(L.) R.M.King & H.Rob.","ASTERACEAE Chromolaena odorata (L.) R.M.King & H.Rob.","RB01039757","x","RB","Magalhaes, A.M.","24","Native","2014","Esteves, R.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. início do acampamento do Butantan. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Asteraceae","Cyrtocymura","scorpioides","(Lam.) H.Rob.","ASTERACEAE Cyrtocymura scorpioides (Lam.) H.Rob.","RB01039774","x","RB","Magalhaes, A.M.","59","Native","2014","Esteves, R.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. capinzal. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Asteraceae","Mikania","micrantha","Kunth","ASTERACEAE Mikania micrantha Kunth","RB01039767","x","RB","Magalhaes, A.M.","44","Native","2014","Esteves, R.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Fabaceae","Desmodium","incanum","(Sw.) DC.","FABACEAE Desmodium incanum (Sw.) DC.","RB01039768","x","RB","Magalhaes, A.M.","46","Naturalized","2014","Lima, H.C.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Malvaceae","Sida","planicaulis","Cav.","MALVACEAE Sida planicaulis Cav.","RB01039765","x","RB","Magalhaes, A.M.","40","Native","2014","Bovini, M.G.","2015","Ouro","Ouro",,,"Ilha Queimada Grande. entre a estação meteorológica e a caixa d?água. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Malvaceae","Sida","rhombifolia","L.","MALVACEAE Sida rhombifolia L.","490833","x","SP","Magalhaes, A.M.","31","Native","2014","Bovini, M.G.","2015","Ouro","Ouro",,,"Ilha da Queimada Grande, ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Rubiaceae","Chiococca","alba","(L.) Hitchc.","RUBIACEAE Chiococca alba (L.) Hitchc.","MBM410188",,"MBM","Magalhaes, A.M.","61","Native","2014","Gomes, M.","2015","Ouro","Ouro",,"Itanhaém","ARIE das Ilhas Queimada Pequena e Queimada Grande. Ilha Queimada Grande."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Sapotaceae","Sideroxylon","obtusifolium","(Roem. & Schult.) T.D.Penn.","SAPOTACEAE Sideroxylon obtusifolium (Roem. & Schult.) T.D.Penn.","VIES028601","x","VIES","Magalhaes, A.M.","s/n","Native","2015","Kurtz, B.C.",,"Bronze","Ouro",,,"Ilha Queimada Grande. mata. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Convolvulaceae","Distimake","dissectus","(Meisn.) Petrongari & Sim.-Bianch.","CONVOLVULACEAE Distimake dissectus var. edentatus (Meisn.) Petrongari & Sim.-Bianch.","489438","x","SP","Magalhaes, A.M.","85","Native","2015","Bianchini, R.S.","2024","Bronze","Ouro",,,"Ilha da Queimada Grande, ARIE das Ilhas Queimada Pequena e Queimada Grande, início da trilha do farol"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Apocynaceae","Aspidosperma","australe","Müll.Arg.","APOCYNACEAE Aspidosperma australe Müll.Arg.","RB01039802","x","RB","Magalhaes, A.M.","96","Native","2015","Magalhaes, A.M.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Apocynaceae","Gonolobus","rostratus","(Vahl) R.Br. ex Shult.","APOCYNACEAE Gonolobus rostratus (Vahl) R.Br. ex Shult.","RB01039804","x","RB","Magalhaes, A.M.","99","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Cactaceae","Pereskia","aculeata","Mill.","CACTACEAE Pereskia aculeata Mill.","RB01039788","x","RB","Magalhaes, A.M.","76","Native","2015","Vaz, A.S.F.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. Bela Vista. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Commelinaceae","Commelina","obliqua","Vahl","COMMELINACEAE Commelina obliqua Vahl","RB01039801","x","RB","Magalhaes, A.M.","95","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. entre as pedras, no local de desembarque na ilha. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Cyperaceae","Cyperus","ligularis","L.","CYPERACEAE Cyperus ligularis L.","RB01039789","x","RB","Magalhaes, A.M.","78","Native","2015","Alves, M.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. capinzal. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Marantaceae","Maranta","divaricata","Roscoe","MARANTACEAE Maranta divaricata Roscoe","RB01039803","x","RB","Magalhaes, A.M.","97","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Digitaria","ciliaris","(Retz.) Koeler","POACEAE Digitaria ciliaris (Retz.) Koeler","RB01039799","x","RB","Magalhaes, A.M.","93","Naturalized","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. capinzal. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Digitaria","insularis","(L.) Fedde","POACEAE Digitaria insularis (L.) Fedde","RB01039796","x","RB","Magalhaes, A.M.","90","Naturalized","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. área em recuperação, entre a mata do farol e o capinzal. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Eleusine","indica","(L.) Gaertn.","POACEAE Eleusine indica (L.) Gaertn.","RB01039793","x","RB","Magalhaes, A.M.","87","Naturalized","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. pedra na trilha de subida para o farol (local onde tem que ter quatro apoios). ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Paspalum","virgatum","L.","POACEAE Paspalum virgatum L.","RB01039797","x","RB","Magalhaes, A.M.","91","Native","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Sporobolus","virginicus","(L.) Kunth","POACEAE Sporobolus virginicus (L.) Kunth","RB01039798","x","RB","Magalhaes, A.M.","92","Native","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. Bela Vista. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Poaceae","Stenotaphrum","secundatum","(Walter) Kuntze","POACEAE Stenotaphrum secundatum (Walter) Kuntze","RB01039792","x","RB","Magalhaes, A.M.","86","Native","2015","Rodrigues, R.S.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. acampamento do desembarque. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Portulacaceae","Portulaca","oleracea","L.","PORTULACACEAE Portulaca oleracea L.","RB01039786","x","RB","Magalhaes, A.M.","73","Naturalized","2015","Kurtz, B.C.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. desembarque do acampamento. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Rubiaceae","Rudgea","minor","(Cham.) Standl.","RUBIACEAE Rudgea minor (Cham.) Standl.","MBM410191","splink","MBM","Magalhaes, A.M.","71","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,"Itanhaém","ARIE das Ilhas Queimada Pequena e Queimada Grande. Ilha Queimada Grande. Acampamento Butantan."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Sapindaceae","Cardiospermum","halicacabum","L.","SAPINDACEAE Cardiospermum halicacabum L.","RB01039807","x","RB","Magalhaes, A.M.","102","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. próximo ao local de desembarque, início da trilha do farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Talinaceae","Talinum","paniculatum","(Jacq.) Gaertn.","TALINACEAE Talinum paniculatum (Jacq.) Gaertn.","MBM410194","splink","MBM","Magalhaes, A.M.","100","Native","2015","Kurtz, B.C.","2015","Bronze","Ouro",,"Itanhaém","ARIE das Ilhas Queimada Pequena e Queimada Grande, Ilha Queimada Grande, trilha do Farol."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Amaryllidaceae","Hippeastrum","reticulatum","(L'Hér.) Herb.","AMARYLLIDACEAE Hippeastrum reticulatum (L'Hér.) Herb.","RB01039781","x","RB","Magalhaes, A.M.","66","Native","2014","Buneker, H.M.","2017","Bronze","Ouro",,,"Ilha Queimada Grande. segunda mata. ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Acanthaceae","Justicia","kleinii","Wassh. & L.B.Sm.","ACANTHACEAE Justicia kleinii Wassh. & L.B.Sm.","491050","splink","SP","Magalhaes, A.M.","65","Native","2014","Kurtz, B.C.","2015","Bronze","Ouro",,"Itanhaém","ARIE das Ilhas Queimada Pequena e Queimada Grande"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Amaranthaceae","Cyathula","prostrata","Blume","AMARANTHACEAE Cyathula prostrata Blume","MBM410189",,"MBM","Magalhaes, A.M.","38","Native","2014","Kurtz, B.C.","2015","Bronze","Ouro",,"Itanhaém","ARIE das Ilhas Queimada Pequena e Queimada Grande. Ilha Queimada Grande, entre a estação meteorológica e a caixa d´água."
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","RB01039770","x","RB","Magalhaes, A.M.","51","Native","2014","Magalhaes, A.M.","2015","Bronze","Ouro",,,"Ilha Queimada Grande. farol. ARIE das Ilhas Queimada Pequena e Queimada Grande"
