"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Asteraceae","Vernonanthura",,"H.Rob.","ASTERACEAE Vernonanthura H.Rob.","SPSF00048606","splink","SPSF","Baitello, J.B.","2611",,"2014","Monge, M.",,"Ouro","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Asteraceae","Vernonanthura",,"H.Rob.","ASTERACEAE Vernonanthura H.Rob.","SPSF00048599","splink","SPSF","Baitello, J.B.","2604",,"2014",,,"Latão","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","SPSF00048597","splink","SPSF","Baitello, J.B.","2602",,"2014","Monge, M.","2014","Ouro","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Asteraceae","Vernonia",,"Schreb.","ASTERACEAE Vernonia Schreb.","SPSF00048607","splink","SPSF","Baitello, J.B.","2612",,"2014","Monge, M.","2014","Ouro","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Cyperaceae","Rhynchospora",,"Vahl","CYPERACEAE Rhynchospora Vahl","SPSF00048842","splink","SPSF","Arzolla, F.A.R.D.P.","1687",,,"Baitello, J.B.",,"Bronze","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Lamiaceae","Cyanocephalus",,"(Pohl ex Benth.) Harley & J.F.B.Pastore","LAMIACEAE Cyanocephalus (Pohl ex Benth.) Harley & J.F.B.Pastore","SPSF00048840","splink","SPSF","Arzolla, F.A.R.D.P.","1685",,"2014","Antar, G.M.","2017","Ouro","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Lamiaceae","Cyanocephalus",,"(Pohl ex Benth.) Harley & J.F.B.Pastore","LAMIACEAE Cyanocephalus (Pohl ex Benth.) Harley & J.F.B.Pastore","SPSF00048805","splink","SPSF","Cielo Filho, R.","1428",,"2014","Antar, G.M.","2017","Ouro","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ",,"Melastomataceae","Pleroma","pulchrum","(Cham.) Triana","MELASTOMATACEAE Pleroma pulchrum (Cham.) Triana","SPSF00048604","splink","SPSF","Baitello, J.B.","2609",,,"Monge, M.","2014","Bronze","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ",,"Melastomataceae","Pleroma","pulchrum","(Cham.) Triana","MELASTOMATACEAE Pleroma pulchrum (Cham.) Triana","SPSF00048613","splink","SPSF","Baitello, J.B.","2618",,"2014","Monge, M.","2014","Bronze","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Rubiaceae","Faramea",,"Aubl.","RUBIACEAE Faramea Aubl.","SPSF00043952","splink","SPSF","Arzolla, F.A.R.D.P.","1451",,"2010",,,"Latão","Ouro",,"Avaré","Estação Ecológica de Avaré."
"ESTAÇÃO ECOLÓGICA AVARÉ","Angiosperms","Sapindaceae","Serjania",,"Mill.","SAPINDACEAE Serjania Mill.","SPSF00048803","splink","SPSF","Baitello, J.B.","2649",,"2014","Franco, G.A.D.C.",,"Prata","Ouro",,"Avaré","Estação Ecológica de Avaré."
