"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","ESA133178","splink","ESA","Scatigna, A.V.","876","Native","2015","Souza, V.C.","2015","Prata","Ouro",,"Piracicaba","Estação Ecológica de Ibicatu. Clareira em Floresta Estacional Semidecidual."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","ESA133393","splink","ESA","Toledo, C.A.P.","93","Native","2015","Souza, V.C.","2015","Prata","Ouro",,"Piracicaba","Estação ecológica de Ibicatú. Fragmento de Floresta Estacional Semidecidual perturbado por gado."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","ESA133148","splink","ESA","Scatigna, A.V.","980","Native","2015","Souza, V.C.","2015","Prata","Ouro",,"Piracicaba","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual Aluvial. Margem de córrego."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","UB0352400","splink","UB","Scatigna, A.V.","980","Native","2015","Souza, V.C.","2015","Prata","Ouro",,"Piracicaba","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual Aluvial"
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Aphelandra","schottiana","(Nees) Profice","ACANTHACEAE Aphelandra schottiana (Nees) Profice","RB01057665","x","RB","Scatigna, A.V.","876","Native","2015","Souza, V.C.","2015","Prata","Ouro",,,"Estação Ecológica de Ibicatu."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","SPSF00051582","splink","SPSF","Scatigna, A.V.","869","Native","2015","Gissi, D.S.","2015","Bronze","Ouro",,"Piracicaba","Estação ecológica de Ibicatu."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","UEC118434","splink","UEC","Scatigna, A.V.","ESA133171","Native","2015","Gissi, D.S.","2015","Bronze","Ouro",,"Piracicaba","Estação ecológica Ibicatu."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","RB01056679","x","RB","Scatigna, A.V.","869","Native","2015","Gissi, D.S.","2015","Bronze","Ouro",,,"Estação Ecológica de Ibicatu."
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","RB01182101","x","RB","Scatigna, A.V.","869","Native","2015","Carneiro, D.S.","2015","Bronze","Ouro",,,"Estação Ecológica de Ibicatu. Área degradada em borda de Floresta Estacional Semidecidual próximo à casa abandonada. 22,778681 / 47,825389"
"ESTAÇÃO ECOLÓGICA IBICATU","Angiosperms","Acanthaceae","Justicia","lythroides","(Pohl ex Nees) V.A.W.Graham","ACANTHACEAE Justicia lythroides (Pohl ex Nees) V.A.W.Graham","490993","splink","SP","Scatigna, A.V.","869","Native","2015",,,"Latão","Ouro",,"Piracicaba","Estação Ecológica de Ibicatu"
